,Unnamed: 0,year,regtyp,pld0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,Urban regions,Very often,0.04423,673,22016,0.04181,0.04642
1,1,2003,Urban regions,Often,0.07097,1105,22016,0.06773,0.07412
2,2,2003,Urban regions,Sometimes,0.09281,1389,22016,0.08859,0.09729
3,3,2003,Urban regions,Seldom,0.16169,2438,22016,0.15637,0.16682
4,4,2003,Urban regions,Never,0.63029,9025,22016,0.61835,0.64065
5,5,2003,Rural regions,Very often,0.05125,367,22016,0.04724,0.05531
6,6,2003,Rural regions,Often,0.08866,678,22016,0.08376,0.09326
7,7,2003,Rural regions,Sometimes,0.11771,904,22016,0.11166,0.12421
8,8,2003,Rural regions,Seldom,0.18993,1482,22016,0.18198,0.19727
9,9,2003,Rural regions,Never,0.55245,3955,22016,0.54178,0.56608
10,10,2008,Urban regions,Very often,0.04538,600,19187,0.04249,0.04908
11,11,2008,Urban regions,Often,0.08123,1035,19187,0.07737,0.08717
12,12,2008,Urban regions,Sometimes,0.09582,1231,19187,0.09056,0.10027
13,13,2008,Urban regions,Seldom,0.16507,2099,19187,0.15934,0.17078
14,14,2008,Urban regions,Never,0.6125,7624,19187,0.60115,0.62393
15,15,2008,Rural regions,Very often,0.06118,404,19187,0.05611,0.06833
16,16,2008,Rural regions,Often,0.10263,680,19187,0.09595,0.10966
17,17,2008,Rural regions,Sometimes,0.11029,753,19187,0.1047,0.11692
18,18,2008,Rural regions,Seldom,0.19076,1255,19187,0.18079,0.19917
19,19,2008,Rural regions,Never,0.53515,3506,19187,0.52098,0.55036
20,20,2013,Urban regions,Very often,0.05302,1041,25355,0.04873,0.05634
21,21,2013,Urban regions,Often,0.08918,1707,25355,0.0845,0.09463
22,22,2013,Urban regions,Sometimes,0.09549,1699,25355,0.08967,0.10113
23,23,2013,Urban regions,Seldom,0.17329,2768,25355,0.16745,0.18194
24,24,2013,Urban regions,Never,0.58903,8876,25355,0.57516,0.60137
25,25,2013,Rural regions,Very often,0.05754,656,25355,0.05163,0.06263
26,26,2013,Rural regions,Often,0.11022,1135,25355,0.10289,0.11766
27,27,2013,Rural regions,Sometimes,0.12109,1147,25355,0.11308,0.13028
28,28,2013,Rural regions,Seldom,0.19899,1784,25355,0.18963,0.20955
29,29,2013,Rural regions,Never,0.51216,4542,25355,0.49584,0.52855
30,30,2018,Urban regions,Very often,0.0636,1148,25511,0.05976,0.06791
31,31,2018,Urban regions,Often,0.08879,1580,25511,0.08423,0.09408
32,32,2018,Urban regions,Sometimes,0.10543,1715,25511,0.09988,0.11144
33,33,2018,Urban regions,Seldom,0.16775,2694,25511,0.16068,0.17541
34,34,2018,Urban regions,Never,0.57444,9440,25511,0.56061,0.58842
35,35,2018,Rural regions,Very often,0.06582,634,25511,0.06133,0.07095
36,36,2018,Rural regions,Often,0.11338,1044,25511,0.10506,0.12243
37,37,2018,Rural regions,Sometimes,0.12301,1083,25511,0.11465,0.13338
38,38,2018,Rural regions,Seldom,0.18989,1592,25511,0.17817,0.20025
39,39,2018,Rural regions,Never,0.5079,4581,25511,0.49167,0.52472
