year,age_gr,pgisced97,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,Pre-primary Level,Very often,0.06642,38,609,0.04663,0.08621
2003,17-29 y.,Pre-primary Level,Often,0.10080,51,609,0.07687,0.12473
2003,17-29 y.,Pre-primary Level,Sometimes,0.10604,69,609,0.08156,0.13051
2003,17-29 y.,Pre-primary Level,Seldom,0.20313,128,609,0.17115,0.23511
2003,17-29 y.,Pre-primary Level,Never,0.50821,323,609,0.46848,0.54795
2003,17-29 y.,Lower Secondary Level,Very often,0.06382,46,817,0.04705,0.08059
2003,17-29 y.,Lower Secondary Level,Often,0.09331,79,817,0.07336,0.11327
2003,17-29 y.,Lower Secondary Level,Sometimes,0.12127,100,817,0.09887,0.14366
2003,17-29 y.,Lower Secondary Level,Seldom,0.16457,143,817,0.13913,0.19001
2003,17-29 y.,Lower Secondary Level,Never,0.54429,449,817,0.51012,0.57846
2003,17-29 y.,Upper Secondary Level,Very often,0.04292,86,1743,0.03340,0.05243
2003,17-29 y.,Upper Secondary Level,Often,0.08588,152,1743,0.07272,0.09904
2003,17-29 y.,Upper Secondary Level,Sometimes,0.11850,187,1743,0.10332,0.13368
2003,17-29 y.,Upper Secondary Level,Seldom,0.21026,365,1743,0.19113,0.22940
2003,17-29 y.,Upper Secondary Level,Never,0.53965,953,1743,0.51625,0.56306
2003,17-29 y.,Post-secondary Non-tertiary Level,Sometimes,0.10962,31,231,0.06925,0.15000
2003,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.12430,43,231,0.08166,0.16694
2003,17-29 y.,Post-secondary Non-tertiary Level,Never,0.60521,157,231,0.54203,0.66838
2003,17-29 y.,First Stage of Tertiary Education,Never,0.43133,47,47,0.28820,0.57445
2003,17-29 y.,Second Stage of Tertiary Education,Seldom,0.19898,40,153,0.13551,0.26245
2003,17-29 y.,Second Stage of Tertiary Education,Never,0.60144,113,153,0.52361,0.67928
2003,30-45 y.,Primary Level,Never,0.72234,56,56,0.60398,0.84070
2003,30-45 y.,Lower Secondary Level,Sometimes,0.05850,35,384,0.03499,0.08200
2003,30-45 y.,Lower Secondary Level,Seldom,0.14263,67,384,0.10761,0.17765
2003,30-45 y.,Lower Secondary Level,Never,0.68367,282,384,0.63709,0.73024
2003,30-45 y.,Upper Secondary Level,Very often,0.05342,191,3563,0.04604,0.06081
2003,30-45 y.,Upper Secondary Level,Often,0.09432,321,3563,0.08472,0.10392
2003,30-45 y.,Upper Secondary Level,Sometimes,0.11342,418,3563,0.10301,0.12383
2003,30-45 y.,Upper Secondary Level,Seldom,0.19658,688,3563,0.18353,0.20963
2003,30-45 y.,Upper Secondary Level,Never,0.53713,1945,3563,0.52075,0.55350
2003,30-45 y.,Post-secondary Non-tertiary Level,Very often,0.05926,34,544,0.03940,0.07911
2003,30-45 y.,Post-secondary Non-tertiary Level,Often,0.11045,53,544,0.08408,0.13681
2003,30-45 y.,Post-secondary Non-tertiary Level,Sometimes,0.17317,77,544,0.14134,0.20500
2003,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.19310,110,544,0.15990,0.22630
2003,30-45 y.,Post-secondary Non-tertiary Level,Never,0.46403,270,544,0.42208,0.50597
2003,30-45 y.,First Stage of Tertiary Education,Very often,0.07977,48,698,0.05966,0.09989
2003,30-45 y.,First Stage of Tertiary Education,Often,0.12606,90,698,0.10142,0.15071
2003,30-45 y.,First Stage of Tertiary Education,Sometimes,0.11425,87,698,0.09064,0.13787
2003,30-45 y.,First Stage of Tertiary Education,Seldom,0.19501,139,698,0.16560,0.22443
2003,30-45 y.,First Stage of Tertiary Education,Never,0.48228,334,698,0.44519,0.51938
