,Unnamed: 0,year,age_gr,sampreg,pld0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,17-29 y.,West,Very often,0.05527,171,21989,0.04898,0.06333
1,1,2003,17-29 y.,West,Often,0.0913,263,21989,0.08183,0.10226
2,2,2003,17-29 y.,West,Sometimes,0.11606,326,21989,0.10204,0.12831
3,3,2003,17-29 y.,West,Seldom,0.18791,566,21989,0.1757,0.20091
4,4,2003,17-29 y.,West,Never,0.54946,1590,21989,0.52967,0.57106
5,5,2003,17-29 y.,East,Very often,0.05302,51,21989,0.04116,0.06853
6,6,2003,17-29 y.,East,Often,0.07968,82,21989,0.06835,0.09192
7,7,2003,17-29 y.,East,Sometimes,0.10667,119,21989,0.08799,0.12617
8,8,2003,17-29 y.,East,Seldom,0.21094,218,21989,0.19007,0.23665
9,9,2003,17-29 y.,East,Never,0.54969,596,21989,0.51865,0.59565
10,10,2003,30-45 y.,West,Very often,0.06203,339,21989,0.0566,0.06798
11,11,2003,30-45 y.,West,Often,0.10309,545,21989,0.09628,0.11027
12,12,2003,30-45 y.,West,Sometimes,0.11785,632,21989,0.11078,0.12661
13,13,2003,30-45 y.,West,Seldom,0.20228,1084,21989,0.19184,0.21337
14,14,2003,30-45 y.,West,Never,0.51475,2820,21989,0.49991,0.52796
15,15,2003,30-45 y.,East,Very often,0.03072,50,21989,0.02471,0.03857
16,16,2003,30-45 y.,East,Often,0.08493,131,21989,0.07404,0.09485
17,17,2003,30-45 y.,East,Sometimes,0.12424,194,21989,0.11113,0.13982
18,18,2003,30-45 y.,East,Seldom,0.17516,281,21989,0.16168,0.1905
19,19,2003,30-45 y.,East,Never,0.58495,825,21989,0.55215,0.61511
20,20,2003,46-65 y.,West,Very often,0.04059,248,21989,0.03695,0.04484
21,21,2003,46-65 y.,West,Often,0.0719,458,21989,0.06613,0.07735
22,22,2003,46-65 y.,West,Sometimes,0.09473,572,21989,0.08835,0.10188
23,23,2003,46-65 y.,West,Seldom,0.16751,978,21989,0.15881,0.17551
24,24,2003,46-65 y.,West,Never,0.62527,3400,21989,0.61029,0.64268
25,25,2003,46-65 y.,East,Very often,0.02907,54,21989,0.02415,0.03383
26,26,2003,46-65 y.,East,Often,0.05929,118,21989,0.05145,0.06794
27,27,2003,46-65 y.,East,Sometimes,0.09337,183,21989,0.08168,0.10353
28,28,2003,46-65 y.,East,Seldom,0.16752,355,21989,0.15684,0.18098
29,29,2003,46-65 y.,East,Never,0.65076,1159,21989,0.62857,0.67886
30,30,2003,66 and older,West,Very often,0.03995,100,21989,0.03612,0.04351
31,31,2003,66 and older,West,Often,0.04499,143,21989,0.04118,0.04868
32,32,2003,66 and older,West,Sometimes,0.07343,195,21989,0.06743,0.08031
33,33,2003,66 and older,West,Seldom,0.11427,307,21989,0.10712,0.12139
34,34,2003,66 and older,West,Never,0.72736,1964,21989,0.71251,0.74364
35,35,2003,66 and older,East,Often,0.04747,43,21989,0.04137,0.05329
36,36,2003,66 and older,East,Sometimes,0.08039,72,21989,0.07091,0.08974
37,37,2003,66 and older,East,Seldom,0.1523,131,21989,0.13947,0.16431
38,38,2003,66 and older,East,Never,0.71984,626,21989,0.6936,0.74474
39,39,2008,17-29 y.,West,Very often,0.06678,152,19157,0.05577,0.07725
40,40,2008,17-29 y.,West,Often,0.10578,236,19157,0.09552,0.12
41,41,2008,17-29 y.,West,Sometimes,0.09013,210,19157,0.07994,0.10255
42,42,2008,17-29 y.,West,Seldom,0.18405,422,19157,0.16917,0.20059
43,43,2008,17-29 y.,West,Never,0.55326,1297,19157,0.52727,0.57998
44,44,2008,17-29 y.,East,Very often,0.06557,58,19157,0.04667,0.09399
45,45,2008,17-29 y.,East,Often,0.09806,78,19157,0.07238,0.11854
46,46,2008,17-29 y.,East,Sometimes,0.09811,85,19157,0.07795,0.1202
47,47,2008,17-29 y.,East,Seldom,0.16845,145,19157,0.14272,0.19488
48,48,2008,17-29 y.,East,Never,0.56982,457,19157,0.52323,0.61984
49,49,2008,30-45 y.,West,Very often,0.06219,265,19157,0.05424,0.06884
50,50,2008,30-45 y.,West,Often,0.09938,411,19157,0.09165,0.10856
51,51,2008,30-45 y.,West,Sometimes,0.13056,504,19157,0.12064,0.13991
52,52,2008,30-45 y.,West,Seldom,0.18168,740,19157,0.1699,0.19346
53,53,2008,30-45 y.,West,Never,0.5262,2082,19157,0.50757,0.5452
54,54,2008,30-45 y.,East,Very often,0.04094,54,19157,0.03104,0.05067
55,55,2008,30-45 y.,East,Often,0.08649,106,19157,0.0693,0.10598
56,56,2008,30-45 y.,East,Sometimes,0.11362,129,19157,0.09442,0.1327
