year,migback,quintil_oecd,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,1st Quintile,Very often,0.04387,101,2419,0.03571,0.05204
2003,No migration background,1st Quintile,Often,0.06550,179,2419,0.05564,0.07536
2003,No migration background,1st Quintile,Sometimes,0.08411,205,2419,0.07305,0.09517
2003,No migration background,1st Quintile,Seldom,0.15285,378,2419,0.13851,0.16720
2003,No migration background,1st Quintile,Never,0.65366,1556,2419,0.63470,0.67263
2003,No migration background,2nd Quintile,Very often,0.03811,125,3075,0.03134,0.04488
2003,No migration background,2nd Quintile,Often,0.08083,255,3075,0.07119,0.09046
2003,No migration background,2nd Quintile,Sometimes,0.09281,303,3075,0.08256,0.10307
2003,No migration background,2nd Quintile,Seldom,0.16198,518,3075,0.14895,0.17500
2003,No migration background,2nd Quintile,Never,0.62627,1874,3075,0.60917,0.64337
2003,No migration background,3rd Quintile,Very often,0.04833,156,3439,0.04116,0.05550
2003,No migration background,3rd Quintile,Often,0.07299,257,3439,0.06430,0.08169
2003,No migration background,3rd Quintile,Sometimes,0.10502,359,3439,0.09477,0.11527
2003,No migration background,3rd Quintile,Seldom,0.17064,620,3439,0.15807,0.18322
2003,No migration background,3rd Quintile,Never,0.60302,2047,3439,0.58666,0.61937
2003,No migration background,4th Quintile,Very often,0.05244,212,3895,0.04544,0.05944
2003,No migration background,4th Quintile,Often,0.07413,310,3895,0.06590,0.08236
2003,No migration background,4th Quintile,Sometimes,0.11599,452,3895,0.10593,0.12605
2003,No migration background,4th Quintile,Seldom,0.18371,757,3895,0.17154,0.19587
2003,No migration background,4th Quintile,Never,0.57373,2164,3895,0.55820,0.58927
2003,No migration background,5th Quintile,Very often,0.04635,283,5826,0.04095,0.05175
2003,No migration background,5th Quintile,Often,0.08994,543,5826,0.08259,0.09728
2003,No migration background,5th Quintile,Sometimes,0.11159,662,5826,0.10350,0.11967
2003,No migration background,5th Quintile,Seldom,0.18690,1138,5826,0.17689,0.19691
2003,No migration background,5th Quintile,Never,0.56523,3200,5826,0.55250,0.57796
2003,Direct migration background,1st Quintile,Very often,0.04183,32,781,0.02778,0.05588
2003,Direct migration background,1st Quintile,Often,0.04238,43,781,0.02824,0.05652
2003,Direct migration background,1st Quintile,Sometimes,0.07756,65,781,0.05879,0.09633
2003,Direct migration background,1st Quintile,Seldom,0.15573,110,781,0.13028,0.18118
2003,Direct migration background,1st Quintile,Never,0.68250,531,781,0.64983,0.71517
2003,Direct migration background,2nd Quintile,Often,0.07120,42,579,0.05024,0.09217
2003,Direct migration background,2nd Quintile,Sometimes,0.09898,54,579,0.07463,0.12333
2003,Direct migration background,2nd Quintile,Seldom,0.14738,79,579,0.11848,0.17628
2003,Direct migration background,2nd Quintile,Never,0.63520,404,579,0.59595,0.67444
2003,Direct migration background,3rd Quintile,Often,0.06871,31,432,0.04483,0.09259
2003,Direct migration background,3rd Quintile,Sometimes,0.09758,46,432,0.06957,0.12560
2003,Direct migration background,3rd Quintile,Seldom,0.14673,59,432,0.11332,0.18014
2003,Direct migration background,3rd Quintile,Never,0.65308,296,432,0.60814,0.69802
2003,Direct migration background,4th Quintile,Sometimes,0.08703,47,355,0.05767,0.11639
2003,Direct migration background,4th Quintile,Seldom,0.16358,63,355,0.12505,0.20211
2003,Direct migration background,4th Quintile,Never,0.61157,245,355,0.56080,0.66235
2003,Direct migration background,5th Quintile,Often,0.11436,33,328,0.07987,0.14886
2003,Direct migration background,5th Quintile,Sometimes,0.11100,41,328,0.07695,0.14505
2003,Direct migration background,5th Quintile,Seldom,0.14609,49,328,0.10781,0.18437
2003,Direct migration background,5th Quintile,Never,0.58474,205,328,0.53133,0.63815
2003,Indirect migration background,1st Quintile,Seldom,0.15543,33,140,0.09519,0.21566
2003,Indirect migration background,1st Quintile,Never,0.64930,107,140,0.56997,0.72863
2003,Indirect migration background,2nd Quintile,Never,0.55483,100,100,0.45693,0.65273
2003,Indirect migration background,3rd Quintile,Seldom,0.18104,31,124,0.11299,0.24909
2003,Indirect migration background,3rd Quintile,Never,0.61559,93,124,0.52962,0.70156
2003,Indirect migration background,4th Quintile,Never,0.47367,73,73,0.35834,0.58900
2003,Indirect migration background,5th Quintile,Seldom,0.17130,33,116,0.10244,0.24016
2003,Indirect migration background,5th Quintile,Never,0.58723,83,116,0.49725,0.67722
2008,No migration background,1st Quintile,Very often,0.04883,112,2162,0.03974,0.05791
2008,No migration background,1st Quintile,Often,0.07946,175,2162,0.06806,0.09087
2008,No migration background,1st Quintile,Sometimes,0.08495,175,2162,0.07319,0.09670
2008,No migration background,1st Quintile,Seldom,0.14270,304,2162,0.12796,0.15745
2008,No migration background,1st Quintile,Never,0.64406,1396,2162,0.62387,0.66425
2008,No migration background,2nd Quintile,Very often,0.04613,142,2807,0.03837,0.05390
2008,No migration background,2nd Quintile,Often,0.07951,230,2807,0.06950,0.08952
2008,No migration background,2nd Quintile,Sometimes,0.08523,245,2807,0.07490,0.09556
2008,No migration background,2nd Quintile,Seldom,0.16703,483,2807,0.15323,0.18083
2008,No migration background,2nd Quintile,Never,0.62209,1707,2807,0.60415,0.64003
2008,No migration background,3rd Quintile,Very often,0.04643,171,3262,0.03921,0.05365
2008,No migration background,3rd Quintile,Often,0.09096,304,3262,0.08109,0.10083
2008,No migration background,3rd Quintile,Sometimes,0.10916,335,3262,0.09846,0.11986
2008,No migration background,3rd Quintile,Seldom,0.17308,572,3262,0.16009,0.18606
2008,No migration background,3rd Quintile,Never,0.58038,1880,3262,0.56344,0.59731
2008,No migration background,4th Quintile,Very often,0.04626,174,3454,0.03925,0.05326
2008,No migration background,4th Quintile,Often,0.09190,310,3454,0.08227,0.10154
2008,No migration background,4th Quintile,Sometimes,0.10584,370,3454,0.09557,0.11610
2008,No migration background,4th Quintile,Seldom,0.19576,680,3454,0.18252,0.20899
2008,No migration background,4th Quintile,Never,0.56025,1920,3454,0.54369,0.57680
2008,No migration background,5th Quintile,Very often,0.05725,270,4852,0.05071,0.06379
2008,No migration background,5th Quintile,Often,0.09844,485,4852,0.09006,0.10682
2008,No migration background,5th Quintile,Sometimes,0.11720,585,4852,0.10815,0.12625
2008,No migration background,5th Quintile,Seldom,0.19949,915,4852,0.18824,0.21073
2008,No migration background,5th Quintile,Never,0.52762,2597,4852,0.51357,0.54167
2008,Direct migration background,1st Quintile,Often,0.09885,42,568,0.07429,0.12342
2008,Direct migration background,1st Quintile,Sometimes,0.10425,67,568,0.07909,0.12940
2008,Direct migration background,1st Quintile,Seldom,0.13014,84,568,0.10245,0.15783
2008,Direct migration background,1st Quintile,Never,0.62727,375,568,0.58747,0.66707
2008,Direct migration background,2nd Quintile,Sometimes,0.06670,34,361,0.04092,0.09247
2008,Direct migration background,2nd Quintile,Seldom,0.16630,66,361,0.12783,0.20476
2008,Direct migration background,2nd Quintile,Never,0.65541,261,361,0.60632,0.70450
2008,Direct migration background,3rd Quintile,Sometimes,0.10381,40,329,0.07080,0.13682
2008,Direct migration background,3rd Quintile,Seldom,0.12717,54,329,0.09111,0.16322
2008,Direct migration background,3rd Quintile,Never,0.66612,235,329,0.61508,0.71716
2008,Direct migration background,4th Quintile,Sometimes,0.09884,31,245,0.06139,0.13629
2008,Direct migration background,4th Quintile,Seldom,0.25107,61,245,0.19666,0.30548
2008,Direct migration background,4th Quintile,Never,0.55362,153,245,0.49124,0.61600
2008,Direct migration background,5th Quintile,Seldom,0.15858,34,179,0.10492,0.21225
2008,Direct migration background,5th Quintile,Never,0.58145,145,179,0.50897,0.65392
2008,Indirect migration background,1st Quintile,Never,0.57122,107,107,0.47701,0.66544
2008,Indirect migration background,2nd Quintile,Never,0.61073,91,91,0.51000,0.71147
2008,Indirect migration background,3rd Quintile,Never,0.56387,106,106,0.46901,0.65872
2008,Indirect migration background,4th Quintile,Never,0.68493,75,75,0.57909,0.79077
2008,Indirect migration background,5th Quintile,Never,0.56530,82,82,0.45734,0.67325
2013,No migration background,1st Quintile,Very often,0.05929,285,3802,0.05178,0.06679
2013,No migration background,1st Quintile,Often,0.09141,391,3802,0.08224,0.10057
2013,No migration background,1st Quintile,Sometimes,0.09423,376,3802,0.08495,0.10352
2013,No migration background,1st Quintile,Seldom,0.15241,562,3802,0.14099,0.16384
2013,No migration background,1st Quintile,Never,0.60266,2188,3802,0.58710,0.61822
2013,No migration background,2nd Quintile,Very often,0.05097,281,4212,0.04433,0.05762
2013,No migration background,2nd Quintile,Often,0.08644,435,4212,0.07795,0.09492
2013,No migration background,2nd Quintile,Sometimes,0.09988,462,4212,0.09082,0.10894
2013,No migration background,2nd Quintile,Seldom,0.17779,760,4212,0.16624,0.18933
2013,No migration background,2nd Quintile,Never,0.58492,2274,4212,0.57004,0.59981
2013,No migration background,3rd Quintile,Very often,0.05156,290,4182,0.04486,0.05826
2013,No migration background,3rd Quintile,Often,0.09722,512,4182,0.08824,0.10621
2013,No migration background,3rd Quintile,Sometimes,0.10339,452,4182,0.09416,0.11262
2013,No migration background,3rd Quintile,Seldom,0.17267,730,4182,0.16121,0.18412
2013,No migration background,3rd Quintile,Never,0.57516,2198,4182,0.56018,0.59014
2013,No migration background,4th Quintile,Very often,0.05750,282,4319,0.05056,0.06444
2013,No migration background,4th Quintile,Often,0.11518,546,4319,0.10566,0.12470
2013,No migration background,4th Quintile,Sometimes,0.10439,510,4319,0.09527,0.11351
2013,No migration background,4th Quintile,Seldom,0.19554,863,4319,0.18371,0.20738
2013,No migration background,4th Quintile,Never,0.52739,2118,4319,0.51249,0.54228
2013,No migration background,5th Quintile,Very often,0.05358,298,4946,0.04730,0.05985
2013,No migration background,5th Quintile,Often,0.09770,560,4946,0.08943,0.10598
2013,No migration background,5th Quintile,Sometimes,0.11431,618,4946,0.10544,0.12318
2013,No migration background,5th Quintile,Seldom,0.21513,1027,4946,0.20368,0.22658
2013,No migration background,5th Quintile,Never,0.51928,2443,4946,0.50535,0.53320
2013,Direct migration background,1st Quintile,Very often,0.03439,40,964,0.02288,0.04590
2013,Direct migration background,1st Quintile,Often,0.06623,92,964,0.05053,0.08194
2013,Direct migration background,1st Quintile,Sometimes,0.08369,91,964,0.06620,0.10118
2013,Direct migration background,1st Quintile,Seldom,0.14588,127,964,0.12358,0.16817
2013,Direct migration background,1st Quintile,Never,0.66981,614,964,0.64010,0.69951
2013,Direct migration background,2nd Quintile,Very often,0.03941,40,707,0.02506,0.05376
2013,Direct migration background,2nd Quintile,Often,0.06285,75,707,0.04495,0.08076
2013,Direct migration background,2nd Quintile,Sometimes,0.11184,74,707,0.08859,0.13508
2013,Direct migration background,2nd Quintile,Seldom,0.14364,101,707,0.11777,0.16951
2013,Direct migration background,2nd Quintile,Never,0.64226,417,707,0.60690,0.67762
