year,pgisced97,sex,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No answer / don't know,male,Never,0.51442,67,67,0.39384,0.63500
2003,No answer / don't know,female,Never,0.60047,68,68,0.48319,0.71776
2003,Pre-primary Level,male,Seldom,0.18685,56,225,0.13581,0.23790
2003,Pre-primary Level,male,Never,0.54531,169,225,0.48010,0.61052
2003,Pre-primary Level,female,Sometimes,0.09968,39,266,0.06361,0.13575
2003,Pre-primary Level,female,Seldom,0.22679,72,266,0.17637,0.27721
2003,Pre-primary Level,female,Never,0.48627,155,266,0.42610,0.54645
2003,Primary Level,male,Never,0.74190,76,76,0.64287,0.84094
2003,Primary Level,female,Never,0.70324,113,113,0.61864,0.78785
2003,Lower Secondary Level,male,Very often,0.04290,36,903,0.02968,0.05613
2003,Lower Secondary Level,male,Often,0.06431,66,903,0.04830,0.08032
2003,Lower Secondary Level,male,Sometimes,0.10743,102,903,0.08723,0.12764
2003,Lower Secondary Level,male,Seldom,0.14847,140,903,0.12527,0.17168
2003,Lower Secondary Level,male,Never,0.63688,559,903,0.60549,0.66826
2003,Lower Secondary Level,female,Very often,0.04460,81,1807,0.03508,0.05412
2003,Lower Secondary Level,female,Often,0.05876,115,1807,0.04791,0.06961
2003,Lower Secondary Level,female,Sometimes,0.06662,137,1807,0.05512,0.07812
2003,Lower Secondary Level,female,Seldom,0.13877,256,1807,0.12282,0.15471
2003,Lower Secondary Level,female,Never,0.69125,1218,1807,0.66995,0.71256
2003,Upper Secondary Level,male,Very often,0.03680,206,5285,0.03172,0.04187
2003,Upper Secondary Level,male,Often,0.07311,397,5285,0.06609,0.08012
2003,Upper Secondary Level,male,Sometimes,0.09078,512,5285,0.08303,0.09852
2003,Upper Secondary Level,male,Seldom,0.18403,961,5285,0.17358,0.19447
2003,Upper Secondary Level,male,Never,0.61530,3209,5285,0.60218,0.62841
2003,Upper Secondary Level,female,Very often,0.04358,258,5753,0.03830,0.04885
2003,Upper Secondary Level,female,Often,0.07208,431,5753,0.06540,0.07877
2003,Upper Secondary Level,female,Sometimes,0.09881,569,5753,0.09110,0.10652
2003,Upper Secondary Level,female,Seldom,0.15187,935,5753,0.14259,0.16114
2003,Upper Secondary Level,female,Never,0.63366,3560,5753,0.62121,0.64611
2003,Post-secondary Non-tertiary Level,male,Often,0.08911,43,456,0.06293,0.11529
2003,Post-secondary Non-tertiary Level,male,Sometimes,0.12423,50,456,0.09393,0.15454
2003,Post-secondary Non-tertiary Level,male,Seldom,0.18673,101,456,0.15092,0.22254
2003,Post-secondary Non-tertiary Level,male,Never,0.53512,262,456,0.48929,0.58094
2003,Post-secondary Non-tertiary Level,female,Very often,0.06687,46,671,0.04795,0.08578
2003,Post-secondary Non-tertiary Level,female,Often,0.09443,67,671,0.07229,0.11657
2003,Post-secondary Non-tertiary Level,female,Sometimes,0.14168,87,671,0.11527,0.16808
2003,Post-secondary Non-tertiary Level,female,Seldom,0.16584,114,671,0.13767,0.19400
2003,Post-secondary Non-tertiary Level,female,Never,0.53119,357,671,0.49340,0.56898
2003,First Stage of Tertiary Education,male,Very often,0.04447,39,970,0.03149,0.05745
2003,First Stage of Tertiary Education,male,Often,0.08691,92,970,0.06917,0.10464
2003,First Stage of Tertiary Education,male,Sometimes,0.13368,130,970,0.11225,0.15511
2003,First Stage of Tertiary Education,male,Seldom,0.18498,194,970,0.16053,0.20943
2003,First Stage of Tertiary Education,male,Never,0.54996,515,970,0.51863,0.58128
2003,First Stage of Tertiary Education,female,Very often,0.09388,52,707,0.07237,0.11540
2003,First Stage of Tertiary Education,female,Often,0.11109,81,707,0.08791,0.13427
2003,First Stage of Tertiary Education,female,Sometimes,0.08502,63,707,0.06445,0.10560
2003,First Stage of Tertiary Education,female,Seldom,0.17228,130,707,0.14442,0.20013
2003,First Stage of Tertiary Education,female,Never,0.53773,381,707,0.50095,0.57451
2003,Second Stage of Tertiary Education,male,Very often,0.04102,110,2441,0.03315,0.04889
2003,Second Stage of Tertiary Education,male,Often,0.09491,230,2441,0.08328,0.10654
2003,Second Stage of Tertiary Education,male,Sometimes,0.12241,294,2441,0.10941,0.13542
2003,Second Stage of Tertiary Education,male,Seldom,0.21028,515,2441,0.19411,0.22645
2003,Second Stage of Tertiary Education,male,Never,0.53137,1292,2441,0.51157,0.55117
2003,Second Stage of Tertiary Education,female,Very often,0.06421,125,1887,0.05315,0.07527
2003,Second Stage of Tertiary Education,female,Often,0.08016,181,1887,0.06790,0.09241
2003,Second Stage of Tertiary Education,female,Sometimes,0.12838,240,1887,0.11328,0.14348
2003,Second Stage of Tertiary Education,female,Seldom,0.17679,362,1887,0.15957,0.19401
2003,Second Stage of Tertiary Education,female,Never,0.55046,979,1887,0.52801,0.57291
2008,No answer / don't know,male,Never,0.69729,109,109,0.61065,0.78394
2008,No answer / don't know,female,Never,0.54936,96,96,0.44931,0.64942
2008,Pre-primary Level,male,Seldom,0.27387,38,125,0.19538,0.35236
2008,Pre-primary Level,male,Never,0.49235,87,125,0.40436,0.58035
2008,Pre-primary Level,female,Seldom,0.21347,42,142,0.14583,0.28110
2008,Pre-primary Level,female,Never,0.48527,100,142,0.40278,0.56777
2008,Primary Level,male,Never,0.69982,43,43,0.56120,0.83844
2008,Primary Level,female,Never,0.68910,75,75,0.58363,0.79456
2008,Lower Secondary Level,male,Often,0.10906,55,603,0.08416,0.13396
2008,Lower Secondary Level,male,Sometimes,0.10030,75,603,0.07630,0.12429
2008,Lower Secondary Level,male,Seldom,0.13906,99,603,0.11142,0.16670
2008,Lower Secondary Level,male,Never,0.59097,374,603,0.55170,0.63025
2008,Lower Secondary Level,female,Very often,0.04601,57,1364,0.03489,0.05714
2008,Lower Secondary Level,female,Often,0.06040,91,1364,0.04775,0.07305
2008,Lower Secondary Level,female,Sometimes,0.07700,102,1364,0.06285,0.09115
2008,Lower Secondary Level,female,Seldom,0.14892,213,1364,0.13002,0.16782
2008,Lower Secondary Level,female,Never,0.66766,901,1364,0.64265,0.69267
2008,Upper Secondary Level,male,Very often,0.04515,219,4574,0.03913,0.05116
2008,Upper Secondary Level,male,Often,0.08725,401,4574,0.07907,0.09543
2008,Upper Secondary Level,male,Sometimes,0.09718,443,4574,0.08860,0.10577
2008,Upper Secondary Level,male,Seldom,0.17854,804,4574,0.16744,0.18964
2008,Upper Secondary Level,male,Never,0.59188,2707,4574,0.57764,0.60613
2008,Upper Secondary Level,female,Very often,0.04684,281,5092,0.04104,0.05265
2008,Upper Secondary Level,female,Often,0.08362,426,5092,0.07601,0.09122
2008,Upper Secondary Level,female,Sometimes,0.09738,500,5092,0.08923,0.10552
2008,Upper Secondary Level,female,Seldom,0.15993,809,5092,0.14986,0.17000
2008,Upper Secondary Level,female,Never,0.61223,3076,5092,0.59885,0.62562
2008,Post-secondary Non-tertiary Level,male,Often,0.06939,35,414,0.04488,0.09390
2008,Post-secondary Non-tertiary Level,male,Sometimes,0.11105,51,414,0.08075,0.14136
2008,Post-secondary Non-tertiary Level,male,Seldom,0.20177,88,414,0.16306,0.24048
2008,Post-secondary Non-tertiary Level,male,Never,0.55043,240,414,0.50246,0.59841
2008,Post-secondary Non-tertiary Level,female,Very often,0.05189,35,652,0.03485,0.06893
2008,Post-secondary Non-tertiary Level,female,Often,0.12380,81,652,0.09850,0.14910
2008,Post-secondary Non-tertiary Level,female,Sometimes,0.11383,68,652,0.08944,0.13823
2008,Post-secondary Non-tertiary Level,female,Seldom,0.15260,107,652,0.12497,0.18022
2008,Post-secondary Non-tertiary Level,female,Never,0.55788,361,652,0.51973,0.59603
2008,First Stage of Tertiary Education,male,Very often,0.04756,42,826,0.03303,0.06208
2008,First Stage of Tertiary Education,male,Often,0.08442,71,826,0.06545,0.10339
2008,First Stage of Tertiary Education,male,Sometimes,0.11681,89,826,0.09489,0.13873
2008,First Stage of Tertiary Education,male,Seldom,0.20463,184,826,0.17710,0.23216
2008,First Stage of Tertiary Education,male,Never,0.54659,440,826,0.51262,0.58056
2008,First Stage of Tertiary Education,female,Very often,0.07801,43,580,0.05617,0.09986
2008,First Stage of Tertiary Education,female,Often,0.09444,56,580,0.07062,0.11826
2008,First Stage of Tertiary Education,female,Sometimes,0.11252,65,580,0.08678,0.13826
2008,First Stage of Tertiary Education,female,Seldom,0.14516,97,580,0.11647,0.17385
2008,First Stage of Tertiary Education,female,Never,0.56988,319,580,0.52955,0.61020
2008,Second Stage of Tertiary Education,male,Very often,0.04564,105,2282,0.03708,0.05421
2008,Second Stage of Tertiary Education,male,Often,0.09420,211,2282,0.08221,0.10618
2008,Second Stage of Tertiary Education,male,Sometimes,0.10831,271,2282,0.09555,0.12106
2008,Second Stage of Tertiary Education,male,Seldom,0.21754,469,2282,0.20061,0.23447
2008,Second Stage of Tertiary Education,male,Never,0.53431,1226,2282,0.51384,0.55479
2008,Second Stage of Tertiary Education,female,Very often,0.06610,127,1891,0.05489,0.07730
2008,Second Stage of Tertiary Education,female,Often,0.11625,220,1891,0.10180,0.13070
2008,Second Stage of Tertiary Education,female,Sometimes,0.11427,233,1891,0.09993,0.12861
2008,Second Stage of Tertiary Education,female,Seldom,0.18627,335,1891,0.16872,0.20382
2008,Second Stage of Tertiary Education,female,Never,0.51711,976,1891,0.49458,0.53964
2013,No answer / don't know,male,Sometimes,0.15147,32,209,0.10275,0.20019
2013,No answer / don't know,male,Seldom,0.16672,43,209,0.11607,0.21737
2013,No answer / don't know,male,Never,0.58189,134,209,0.51486,0.64893
2013,No answer / don't know,female,Seldom,0.16807,31,144,0.10679,0.22936
2013,No answer / don't know,female,Never,0.56373,113,144,0.48244,0.64501
2013,Pre-primary Level,male,Seldom,0.14647,33,164,0.09219,0.20075
2013,Pre-primary Level,male,Never,0.68486,131,164,0.61354,0.75618
2013,Pre-primary Level,female,Seldom,0.16450,40,150,0.10497,0.22403
2013,Pre-primary Level,female,Never,0.48276,110,150,0.40252,0.56300
2013,Primary Level,male,Never,0.60421,72,72,0.49046,0.71796
2013,Primary Level,female,Never,0.61180,116,116,0.52272,0.70087
2013,Lower Secondary Level,male,Very often,0.03294,33,856,0.02098,0.04491
2013,Lower Secondary Level,male,Often,0.07979,79,856,0.06162,0.09795
2013,Lower Secondary Level,male,Sometimes,0.10428,90,856,0.08380,0.12477
2013,Lower Secondary Level,male,Seldom,0.18639,162,856,0.16029,0.21250
2013,Lower Secondary Level,male,Never,0.59660,492,856,0.56371,0.62948
2013,Lower Secondary Level,female,Very often,0.05117,96,1701,0.04070,0.06164
2013,Lower Secondary Level,female,Often,0.06883,158,1701,0.05679,0.08086
