year,migback,sex,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,male,Very often,0.03351,370,8988,0.02979,0.03723
2003,No migration background,male,Often,0.06636,750,8988,0.06122,0.07151
2003,No migration background,male,Sometimes,0.09101,989,8988,0.08507,0.09696
2003,No migration background,male,Seldom,0.15756,1763,8988,0.15003,0.16509
2003,No migration background,male,Never,0.48755,5116,8988,0.47722,0.49788
2003,No migration background,female,Very often,0.04428,508,9670,0.04018,0.04838
2003,No migration background,female,Often,0.06439,794,9670,0.05950,0.06929
2003,No migration background,female,Sometimes,0.08356,993,9670,0.07805,0.08908
2003,No migration background,female,Seldom,0.13460,1648,9670,0.12780,0.14140
2003,No migration background,female,Never,0.52536,5727,9670,0.51541,0.53532
2003,Direct migration background,male,Very often,0.03689,51,1254,0.02645,0.04732
2003,Direct migration background,male,Often,0.06804,89,1254,0.05409,0.08198
2003,Direct migration background,male,Sometimes,0.07647,126,1254,0.06176,0.09119
2003,Direct migration background,male,Seldom,0.15586,172,1254,0.13578,0.17595
2003,Direct migration background,male,Never,0.60626,816,1254,0.57921,0.63332
2003,Direct migration background,female,Very often,0.04444,68,1337,0.03339,0.05549
2003,Direct migration background,female,Often,0.05962,89,1337,0.04692,0.07231
2003,Direct migration background,female,Sometimes,0.09352,127,1337,0.07791,0.10914
2003,Direct migration background,female,Seldom,0.13104,188,1337,0.11295,0.14914
2003,Direct migration background,female,Never,0.60479,865,1337,0.57858,0.63101
2003,Indirect migration background,male,Seldom,0.07556,69,286,0.04487,0.10624
2003,Indirect migration background,male,Never,0.22435,217,286,0.17592,0.27279
2003,Indirect migration background,female,Often,0.03307,32,351,0.01434,0.05181
2003,Indirect migration background,female,Seldom,0.07432,80,351,0.04684,0.10180
2003,Indirect migration background,female,Never,0.23653,239,351,0.19201,0.28105
2008,No migration background,male,Very often,0.04022,385,7905,0.03589,0.04455
2008,No migration background,male,Often,0.07479,713,7905,0.06899,0.08059
2008,No migration background,male,Sometimes,0.08663,826,7905,0.08043,0.09283
2008,No migration background,male,Seldom,0.16123,1514,7905,0.15312,0.16934
2008,No migration background,male,Never,0.47693,4467,7905,0.46592,0.48794
2008,No migration background,female,Very often,0.04330,484,8634,0.03900,0.04759
2008,No migration background,female,Often,0.07643,792,8634,0.07082,0.08203
2008,No migration background,female,Sometimes,0.08643,885,8634,0.08050,0.09236
2008,No migration background,female,Seldom,0.14153,1440,8634,0.13417,0.14888
2008,No migration background,female,Never,0.50838,5033,8634,0.49783,0.51892
2008,Direct migration background,male,Very often,0.03854,32,875,0.02578,0.05130
2008,Direct migration background,male,Often,0.07330,65,875,0.05602,0.09058
2008,Direct migration background,male,Sometimes,0.08835,95,875,0.06953,0.10716
2008,Direct migration background,male,Seldom,0.16752,149,875,0.14276,0.19227
2008,Direct migration background,male,Never,0.59487,534,875,0.56232,0.62742
2008,Direct migration background,female,Very often,0.05697,55,1010,0.04267,0.07127
2008,Direct migration background,female,Often,0.07212,74,1010,0.05616,0.08808
2008,Direct migration background,female,Sometimes,0.08837,96,1010,0.07085,0.10588
2008,Direct migration background,female,Seldom,0.13487,150,1010,0.11380,0.15595
2008,Direct migration background,female,Never,0.61342,635,1010,0.58337,0.64346
2008,Indirect migration background,male,Sometimes,0.04710,44,316,0.02370,0.07050
2008,Indirect migration background,male,Seldom,0.05954,47,316,0.03341,0.08567
2008,Indirect migration background,male,Never,0.29854,225,316,0.24801,0.34908
2008,Indirect migration background,female,Often,0.05359,41,369,0.03058,0.07661
2008,Indirect migration background,female,Sometimes,0.04933,38,369,0.02721,0.07146
2008,Indirect migration background,female,Seldom,0.07238,54,369,0.04590,0.09885
2008,Indirect migration background,female,Never,0.29869,236,369,0.25193,0.34546
2013,No migration background,male,Very often,0.04137,560,9763,0.03742,0.04532
2013,No migration background,male,Often,0.08233,1069,9763,0.07688,0.08778
2013,No migration background,male,Sometimes,0.08784,1109,9763,0.08223,0.09346
2013,No migration background,male,Seldom,0.16473,1959,9763,0.15737,0.17209
2013,No migration background,male,Never,0.45806,5066,9763,0.44817,0.46794
2013,No migration background,female,Very often,0.05038,876,11701,0.04641,0.05434
2013,No migration background,female,Often,0.08370,1375,11701,0.07868,0.08872
2013,No migration background,female,Sometimes,0.08775,1310,11701,0.08262,0.09287
2013,No migration background,female,Seldom,0.14823,1983,11701,0.14179,0.15466
2013,No migration background,female,Never,0.48277,6157,11701,0.47371,0.49182
2013,Direct migration background,male,Very often,0.02277,54,1205,0.01434,0.03119
2013,Direct migration background,male,Often,0.03644,125,1205,0.02585,0.04702
2013,Direct migration background,male,Sometimes,0.06346,144,1205,0.04969,0.07723
2013,Direct migration background,male,Seldom,0.08640,186,1205,0.07053,0.10227
2013,Direct migration background,male,Never,0.32739,696,1205,0.30088,0.35390
2013,Direct migration background,female,Very often,0.03426,104,1589,0.02531,0.04321
2013,Direct migration background,female,Often,0.05208,171,1589,0.04116,0.06301
2013,Direct migration background,female,Sometimes,0.04332,159,1589,0.03331,0.05334
2013,Direct migration background,female,Seldom,0.08145,230,1589,0.06799,0.09490
2013,Direct migration background,female,Never,0.34694,925,1589,0.32353,0.37035
2013,Indirect migration background,male,Very often,0.01464,40,504,0.00414,0.02514
2013,Indirect migration background,male,Often,0.01621,42,504,0.00517,0.02724
2013,Indirect migration background,male,Sometimes,0.03662,52,504,0.02020,0.05303
2013,Indirect migration background,male,Seldom,0.05474,104,504,0.03486,0.07462
2013,Indirect migration background,male,Never,0.14404,266,504,0.11335,0.17472
2013,Indirect migration background,female,Very often,0.02118,63,593,0.00958,0.03278
2013,Indirect migration background,female,Often,0.02434,60,593,0.01193,0.03675
2013,Indirect migration background,female,Sometimes,0.03377,72,593,0.01922,0.04832
2013,Indirect migration background,female,Seldom,0.03769,90,593,0.02235,0.05303
2013,Indirect migration background,female,Never,0.15291,308,593,0.12392,0.18190
2018,No migration background,male,Very often,0.04793,544,8973,0.04351,0.05235
2018,No migration background,male,Often,0.07977,904,8973,0.07416,0.08538
2018,No migration background,male,Sometimes,0.10126,1047,8973,0.09502,0.10750
2018,No migration background,male,Seldom,0.16639,1690,8973,0.15868,0.17409
2018,No migration background,male,Never,0.46090,4788,8973,0.45059,0.47122
2018,No migration background,female,Very often,0.06183,829,10351,0.05719,0.06647
2018,No migration background,female,Often,0.09045,1150,10351,0.08492,0.09597
2018,No migration background,female,Sometimes,0.09642,1159,10351,0.09073,0.10210
2018,No migration background,female,Seldom,0.14290,1716,10351,0.13616,0.14965
2018,No migration background,female,Never,0.47351,5497,10351,0.46389,0.48312
2018,Direct migration background,male,Very often,0.05175,123,2041,0.04214,0.06136
2018,Direct migration background,male,Often,0.07524,182,2041,0.06379,0.08669
2018,Direct migration background,male,Sometimes,0.07773,180,2041,0.06611,0.08935
2018,Direct migration background,male,Seldom,0.15281,297,2041,0.13719,0.16842
2018,Direct migration background,male,Never,0.52545,1259,2041,0.50378,0.54712
2018,Direct migration background,female,Very often,0.06328,162,2545,0.05382,0.07274
2018,Direct migration background,female,Often,0.07093,214,2545,0.06095,0.08090
2018,Direct migration background,female,Sometimes,0.09498,261,2545,0.08358,0.10637
2018,Direct migration background,female,Seldom,0.11287,302,2545,0.10057,0.12517
2018,Direct migration background,female,Never,0.56367,1606,2545,0.54440,0.58294
2018,Indirect migration background,male,Very often,0.02322,45,742,0.01238,0.03406
2018,Indirect migration background,male,Often,0.04806,76,742,0.03266,0.06346
2018,Indirect migration background,male,Sometimes,0.05028,77,742,0.03454,0.06601
2018,Indirect migration background,male,Seldom,0.09306,132,742,0.07214,0.11397
2018,Indirect migration background,male,Never,0.29192,412,742,0.25918,0.32465
2018,Indirect migration background,female,Very often,0.04902,79,859,0.03457,0.06346
2018,Indirect migration background,female,Often,0.05575,98,859,0.04040,0.07111
2018,Indirect migration background,female,Sometimes,0.04640,74,859,0.03233,0.06048
2018,Indirect migration background,female,Seldom,0.08972,149,859,0.07060,0.10884
2018,Indirect migration background,female,Never,0.27662,459,859,0.24669,0.30655
