"pld0045","year","bildungsniveau","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2003","(noch) kein Abschluss","Westdeutschland","42","0.0629819025145653","0.0449985375093265","0.0809652675198041"
"Sehr oft","2003","(noch) kein Abschluss","Ostdeutschland","9","","",""
"Sehr oft","2003","Hauptschule","Westdeutschland","286","0.039485164333265","0.0349086237504229","0.044061704916107"
"Sehr oft","2003","Hauptschule","Ostdeutschland","39","0.0253850015399535","0.0172326065281303","0.0335373965517767"
"Sehr oft","2003","Realschule","Westdeutschland","211","0.0597142285177976","0.0521432881249849","0.0672851689106102"
"Sehr oft","2003","Realschule","Ostdeutschland","66","0.0395330261893536","0.0309759643197455","0.0480900880589617"
"Sehr oft","2003","(Fach-)Abitur","Westdeutschland","121","0.056093804178455","0.0461037494684353","0.0660838588884747"
"Sehr oft","2003","(Fach-)Abitur","Ostdeutschland","16","","",""
"Sehr oft","2003","AkademikerIn","Westdeutschland","186","0.056052058012356","0.0478793324022507","0.0642247836224612"
"Sehr oft","2003","AkademikerIn","Ostdeutschland","49","0.0354460701183007","0.0253362406334924","0.0455558996031089"
"Oft","2003","(noch) kein Abschluss","Westdeutschland","50","0.0747928557054592","0.0553195972202739","0.0942661141906444"
"Oft","2003","(noch) kein Abschluss","Ostdeutschland","14","","",""
"Oft","2003","Hauptschule","Westdeutschland","501","0.0666617083721433","0.0607999749221792","0.0725234418221073"
"Oft","2003","Hauptschule","Ostdeutschland","84","0.0587026601673523","0.0465191514312503","0.0708861689034543"
"Oft","2003","Realschule","Westdeutschland","325","0.0830171536973883","0.0742016829786294","0.0918326244161471"
"Oft","2003","Realschule","Ostdeutschland","150","0.0766588556033213","0.0649755514219076","0.0883421597847351"
"Oft","2003","(Fach-)Abitur","Westdeutschland","199","0.0954160843359211","0.0826610618989656","0.108171106772877"
"Oft","2003","(Fach-)Abitur","Ostdeutschland","29","","",""
"Oft","2003","AkademikerIn","Westdeutschland","316","0.0987723261931485","0.0881716879181403","0.109372964468157"
