year,regtyp,sex,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Urban regions,male,Very often,0.03291,297,7034,0.02874,0.03708
2003,Urban regions,male,Often,0.05867,517,7034,0.05318,0.06416
2003,Urban regions,male,Sometimes,0.07809,690,7034,0.07182,0.08436
2003,Urban regions,male,Seldom,0.14521,1252,7034,0.13698,0.15345
2003,Urban regions,male,Never,0.50243,4278,7034,0.49074,0.51412
2003,Urban regions,female,Very often,0.03975,376,7625,0.03537,0.04414
2003,Urban regions,female,Often,0.05817,588,7625,0.05292,0.06342
2003,Urban regions,female,Sometimes,0.07478,699,7625,0.06888,0.08069
2003,Urban regions,female,Seldom,0.12169,1189,7625,0.11435,0.12903
2003,Urban regions,female,Never,0.53868,4773,7625,0.52749,0.54987
2003,Rural regions,male,Very often,0.03337,143,3571,0.02748,0.03926
2003,Rural regions,male,Often,0.07793,351,3571,0.06914,0.08672
2003,Rural regions,male,Sometimes,0.10141,454,3571,0.09151,0.11131
2003,Rural regions,male,Seldom,0.16706,752,3571,0.15482,0.17929
2003,Rural regions,male,Never,0.44402,1871,3571,0.42773,0.46032
2003,Rural regions,female,Very often,0.05176,224,3786,0.04471,0.05882
2003,Rural regions,female,Often,0.07003,327,3786,0.06190,0.07816
2003,Rural regions,female,Sometimes,0.09495,450,3786,0.08561,0.10429
2003,Rural regions,female,Seldom,0.14953,727,3786,0.13817,0.16089
2003,Rural regions,female,Never,0.46794,2058,3786,0.45205,0.48384
2008,Urban regions,male,Very often,0.03666,266,5987,0.03190,0.04142
2008,Urban regions,male,Often,0.06847,480,5987,0.06207,0.07487
2008,Urban regions,male,Sometimes,0.08110,599,5987,0.07418,0.08801
2008,Urban regions,male,Seldom,0.14531,1067,5987,0.13638,0.15424
2008,Urban regions,male,Never,0.49466,3575,5987,0.48199,0.50732
2008,Urban regions,female,Very often,0.03889,337,6640,0.03424,0.04354
2008,Urban regions,female,Often,0.06682,559,6640,0.06081,0.07282
2008,Urban regions,female,Sometimes,0.07868,637,6640,0.07220,0.08516
2008,Urban regions,female,Seldom,0.13050,1044,6640,0.12240,0.13860
2008,Urban regions,female,Never,0.52214,4063,6640,0.51012,0.53415
2008,Rural regions,male,Very often,0.04742,172,3160,0.04001,0.05483
2008,Rural regions,male,Often,0.08173,328,3160,0.07218,0.09129
2008,Rural regions,male,Sometimes,0.08903,366,3160,0.07910,0.09896
2008,Rural regions,male,Seldom,0.17167,643,3160,0.15852,0.18482
2008,Rural regions,male,Never,0.43333,1651,3160,0.41605,0.45061
2008,Rural regions,female,Very often,0.05503,229,3400,0.04737,0.06270
2008,Rural regions,female,Often,0.09038,348,3400,0.08074,0.10002
2008,Rural regions,female,Sometimes,0.09517,382,3400,0.08530,0.10504
2008,Rural regions,female,Seldom,0.14674,600,3400,0.13484,0.15863
2008,Rural regions,female,Never,0.46623,1841,3400,0.44946,0.48300
2013,Urban regions,male,Very often,0.03620,396,7246,0.03189,0.04050
2013,Urban regions,male,Often,0.06264,730,7246,0.05706,0.06822
2013,Urban regions,male,Sometimes,0.07046,775,7246,0.06457,0.07635
2013,Urban regions,male,Seldom,0.13545,1352,7246,0.12757,0.14333
2013,Urban regions,male,Never,0.42694,3993,7246,0.41555,0.43833
2013,Urban regions,female,Very often,0.04230,645,8883,0.03811,0.04648
2013,Urban regions,female,Often,0.06952,985,8883,0.06423,0.07481
2013,Urban regions,female,Sometimes,0.07145,931,8883,0.06610,0.07681
2013,Urban regions,female,Seldom,0.12283,1419,8883,0.11600,0.12966
2013,Urban regions,female,Never,0.44752,4903,8883,0.43718,0.45786
2013,Rural regions,male,Very often,0.03811,258,4226,0.03234,0.04389
2013,Rural regions,male,Often,0.08837,506,4226,0.07981,0.09693
2013,Rural regions,male,Sometimes,0.10098,530,4226,0.09190,0.11007
2013,Rural regions,male,Seldom,0.16696,897,4226,0.15572,0.17821
2013,Rural regions,male,Never,0.39142,2035,4226,0.37670,0.40614
2013,Rural regions,female,Very often,0.05406,398,5000,0.04779,0.06033
2013,Rural regions,female,Often,0.08687,621,5000,0.07907,0.09468
2013,Rural regions,female,Sometimes,0.09168,610,5000,0.08368,0.09968
2013,Rural regions,female,Seldom,0.14891,884,5000,0.13904,0.15878
2013,Rural regions,female,Never,0.42392,2487,5000,0.41022,0.43762
2018,Urban regions,male,Very often,0.04457,449,7619,0.03994,0.04920
2018,Urban regions,male,Often,0.06804,695,7619,0.06238,0.07369
2018,Urban regions,male,Sometimes,0.08793,810,7619,0.08157,0.09429
2018,Urban regions,male,Seldom,0.15029,1326,7619,0.14226,0.15831
2018,Urban regions,male,Never,0.47547,4339,7619,0.46425,0.48668
2018,Urban regions,female,Very often,0.06085,701,8988,0.05590,0.06579
2018,Urban regions,female,Often,0.07915,888,8988,0.07357,0.08473
2018,Urban regions,female,Sometimes,0.08723,910,8988,0.08139,0.09306
2018,Urban regions,female,Seldom,0.12951,1374,8988,0.12257,0.13645
2018,Urban regions,female,Never,0.48070,5115,8988,0.47037,0.49103
2018,Rural regions,male,Very often,0.04919,263,4137,0.04260,0.05579
2018,Rural regions,male,Often,0.09360,467,4137,0.08472,0.10247
2018,Rural regions,male,Sometimes,0.10413,494,4137,0.09482,0.11344
2018,Rural regions,male,Seldom,0.17270,793,4137,0.16118,0.18422
2018,Rural regions,male,Never,0.40391,2120,4137,0.38896,0.41887
2018,Rural regions,female,Very often,0.06107,369,4767,0.05427,0.06787
2018,Rural regions,female,Often,0.09664,574,4767,0.08825,0.10503
2018,Rural regions,female,Sometimes,0.10206,584,4767,0.09346,0.11065
2018,Rural regions,female,Seldom,0.14358,793,4767,0.13362,0.15353
2018,Rural regions,female,Never,0.44380,2447,4767,0.42970,0.45791
