"pld0045","year","bildungsniveau","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2003","(noch) kein Abschluss","kein Migrationshintergrund","33","0.054215453387224","0.0357550228430728","0.0726758839313752"
"Sehr oft","2003","(noch) kein Abschluss","direkter Migrationshintergrund","12","","",""
"Sehr oft","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","6","","",""
"Sehr oft","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2003","Hauptschule","kein Migrationshintergrund","261","0.0372194366399529","0.0327138663066482","0.0417250069732576"
"Sehr oft","2003","Hauptschule","direkter Migrationshintergrund","44","0.0316545071179117","0.0223186679341573","0.040990346301666"
"Sehr oft","2003","Hauptschule","indirekter Migrationshintergrund","20","","",""
"Sehr oft","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2003","Realschule","kein Migrationshintergrund","253","0.0528031339516738","0.0468076504509191","0.0587986174524285"
"Sehr oft","2003","Realschule","direkter Migrationshintergrund","16","","",""
"Sehr oft","2003","Realschule","indirekter Migrationshintergrund","8","","",""
"Sehr oft","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2003","(Fach-)Abitur","kein Migrationshintergrund","110","0.0534218177912232","0.0432160366956879","0.0636275988867585"
"Sehr oft","2003","(Fach-)Abitur","direkter Migrationshintergrund","22","","",""
"Sehr oft","2003","(Fach-)Abitur","indirekter Migrationshintergrund","5","","",""
"Sehr oft","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2003","AkademikerIn","kein Migrationshintergrund","209","0.0520289218827253","0.0450615535141349","0.0589962902513157"
"Sehr oft","2003","AkademikerIn","direkter Migrationshintergrund","24","","",""
"Sehr oft","2003","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Sehr oft","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","(noch) kein Abschluss","kein Migrationshintergrund","52","0.105199837612349","0.0801874739929512","0.130212201231746"
"Oft","2003","(noch) kein Abschluss","direkter Migrationshintergrund","7","","",""
"Oft","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","5","","",""
"Oft","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","Hauptschule","kein Migrationshintergrund","475","0.0635155866693914","0.0577107279728507","0.069320445365932"
"Oft","2003","Hauptschule","direkter Migrationshintergrund","92","0.071105827291274","0.057401550157526","0.084810104425022"
"Oft","2003","Hauptschule","indirekter Migrationshintergrund","18","","",""
"Oft","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","Realschule","kein Migrationshintergrund","442","0.0831007763206527","0.0757006764791886","0.0905008761621167"
"Oft","2003","Realschule","direkter Migrationshintergrund","15","","",""
"Oft","2003","Realschule","indirekter Migrationshintergrund","18","","",""
"Oft","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","(Fach-)Abitur","kein Migrationshintergrund","186","0.0955255007323691","0.0821851730372498","0.108865828427488"
"Oft","2003","(Fach-)Abitur","direkter Migrationshintergrund","32","0.0827989752810596","0.055960037344952","0.109637913217167"
"Oft","2003","(Fach-)Abitur","indirekter Migrationshintergrund","10","","",""
"Oft","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","AkademikerIn","kein Migrationshintergrund","376","0.0901081305095025","0.0811250416178297","0.0990912194011753"
"Oft","2003","AkademikerIn","direkter Migrationshintergrund","28","","",""
"Oft","2003","AkademikerIn","indirekter Migrationshintergrund","7","","",""
"Oft","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
