,Unnamed: 0,year,quintil_oecd,sex,pld0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,1st Quintile,male,Very often,0.03845,52,22012,0.03106,0.04686
1,1,2003,1st Quintile,male,Often,0.05393,95,22012,0.04758,0.06299
2,2,2003,1st Quintile,male,Sometimes,0.09868,137,22012,0.08532,0.11038
3,3,2003,1st Quintile,male,Seldom,0.16933,235,22012,0.15221,0.18325
4,4,2003,1st Quintile,male,Never,0.63961,903,22012,0.61312,0.66402
5,5,2003,1st Quintile,female,Very often,0.05193,97,22012,0.04551,0.0586
6,6,2003,1st Quintile,female,Often,0.06674,140,22012,0.0592,0.07367
7,7,2003,1st Quintile,female,Sometimes,0.07936,157,22012,0.07149,0.08797
8,8,2003,1st Quintile,female,Seldom,0.14163,282,22012,0.12944,0.15327
9,9,2003,1st Quintile,female,Never,0.66035,1269,22012,0.63864,0.6832
10,10,2003,2nd Quintile,male,Very often,0.03303,58,22012,0.02659,0.03901
11,11,2003,2nd Quintile,male,Often,0.08146,141,22012,0.0723,0.09157
12,12,2003,2nd Quintile,male,Sometimes,0.09763,177,22012,0.08964,0.10519
13,13,2003,2nd Quintile,male,Seldom,0.18497,301,22012,0.17005,0.19765
14,14,2003,2nd Quintile,male,Never,0.6029,1079,22012,0.58056,0.63032
15,15,2003,2nd Quintile,female,Very often,0.04377,94,22012,0.0378,0.05028
16,16,2003,2nd Quintile,female,Often,0.07751,172,22012,0.06932,0.08714
17,17,2003,2nd Quintile,female,Sometimes,0.08491,182,22012,0.0772,0.09305
18,18,2003,2nd Quintile,female,Seldom,0.14203,319,22012,0.13126,0.15479
19,19,2003,2nd Quintile,female,Never,0.65177,1317,22012,0.63363,0.67225
20,20,2003,3rd Quintile,male,Very often,0.03696,75,22012,0.03109,0.04245
21,21,2003,3rd Quintile,male,Often,0.06984,144,22012,0.0643,0.07894
22,22,2003,3rd Quintile,male,Sometimes,0.09507,214,22012,0.0845,0.10555
23,23,2003,3rd Quintile,male,Seldom,0.18883,380,22012,0.17299,0.20368
24,24,2003,3rd Quintile,male,Never,0.6093,1215,22012,0.58373,0.6336
25,25,2003,3rd Quintile,female,Very often,0.05344,114,22012,0.04467,0.06288
26,26,2003,3rd Quintile,female,Often,0.0636,137,22012,0.05677,0.07199
27,27,2003,3rd Quintile,female,Sometimes,0.10319,204,22012,0.0928,0.11174
28,28,2003,3rd Quintile,female,Seldom,0.1558,349,22012,0.14523,0.16681
29,29,2003,3rd Quintile,female,Never,0.62398,1269,22012,0.60285,0.65092
30,30,2003,4th Quintile,male,Very often,0.05095,116,22012,0.04394,0.05817
31,31,2003,4th Quintile,male,Often,0.08401,190,22012,0.0753,0.0939
32,32,2003,4th Quintile,male,Sometimes,0.11962,254,22012,0.10849,0.13046
33,33,2003,4th Quintile,male,Seldom,0.18113,431,22012,0.16616,0.19564
34,34,2003,4th Quintile,male,Never,0.56429,1204,22012,0.54271,0.58906
35,35,2003,4th Quintile,female,Very often,0.05979,131,22012,0.05247,0.06992
36,36,2003,4th Quintile,female,Often,0.07631,179,22012,0.06561,0.08389
37,37,2003,4th Quintile,female,Sometimes,0.11077,251,22012,0.09841,0.12291
38,38,2003,4th Quintile,female,Seldom,0.17634,396,22012,0.16503,0.19117
39,39,2003,4th Quintile,female,Never,0.57679,1253,22012,0.55449,0.60261
40,40,2003,5th Quintile,male,Very often,0.04057,139,22012,0.03412,0.04676
41,41,2003,5th Quintile,male,Often,0.09882,298,22012,0.08695,0.10968
42,42,2003,5th Quintile,male,Sometimes,0.10744,362,22012,0.09559,0.11808
43,43,2003,5th Quintile,male,Seldom,0.1998,657,22012,0.18531,0.21462
44,44,2003,5th Quintile,male,Never,0.55337,1746,22012,0.53458,0.57804
45,45,2003,5th Quintile,female,Very often,0.05222,163,22012,0.04419,0.06059
46,46,2003,5th Quintile,female,Often,0.08718,287,22012,0.07682,0.098
47,47,2003,5th Quintile,female,Sometimes,0.11007,354,22012,0.09694,0.12216
48,48,2003,5th Quintile,female,Seldom,0.16806,570,22012,0.15511,0.18192
49,49,2003,5th Quintile,female,Never,0.58248,1723,22012,0.55493,0.61088
50,50,2008,1st Quintile,male,Very often,0.04856,55,19185,0.03621,0.06087
51,51,2008,1st Quintile,male,Often,0.09573,101,19185,0.08079,0.1105
52,52,2008,1st Quintile,male,Sometimes,0.09434,126,19185,0.08312,0.10877
53,53,2008,1st Quintile,male,Seldom,0.14418,188,19185,0.12935,0.16001
54,54,2008,1st Quintile,male,Never,0.61718,771,19185,0.58413,0.64741
55,55,2008,1st Quintile,female,Very often,0.0477,96,19185,0.04086,0.0554
56,56,2008,1st Quintile,female,Often,0.08168,144,19185,0.06898,0.09347
57,57,2008,1st Quintile,female,Sometimes,0.089,143,19185,0.0785,0.0998
58,58,2008,1st Quintile,female,Seldom,0.12728,236,19185,0.11666,0.1386
59,59,2008,1st Quintile,female,Never,0.65434,1127,19185,0.62264,0.67978
60,60,2008,2nd Quintile,male,Very often,0.04673,70,19185,0.0368,0.05673
61,61,2008,2nd Quintile,male,Often,0.08,127,19185,0.06934,0.09106
62,62,2008,2nd Quintile,male,Sometimes,0.08302,137,19185,0.07175,0.09475
63,63,2008,2nd Quintile,male,Seldom,0.18918,286,19185,0.16893,0.20603
64,64,2008,2nd Quintile,male,Never,0.60108,909,19185,0.57235,0.63051
65,65,2008,2nd Quintile,female,Very often,0.05973,103,19185,0.04941,0.07095
66,66,2008,2nd Quintile,female,Often,0.07932,143,19185,0.07065,0.09002
67,67,2008,2nd Quintile,female,Sometimes,0.07538,147,19185,0.06609,0.08723
68,68,2008,2nd Quintile,female,Seldom,0.14815,276,19185,0.13352,0.16311
69,69,2008,2nd Quintile,female,Never,0.63742,1135,19185,0.61253,0.66539
70,70,2008,3rd Quintile,male,Very often,0.04395,79,19185,0.03559,0.05024
71,71,2008,3rd Quintile,male,Often,0.08248,149,19185,0.0713,0.09407
72,72,2008,3rd Quintile,male,Sometimes,0.11067,193,19185,0.09651,0.12403
73,73,2008,3rd Quintile,male,Seldom,0.17657,331,19185,0.16046,0.19448
74,74,2008,3rd Quintile,male,Never,0.58634,1047,19185,0.55711,0.61408
75,75,2008,3rd Quintile,female,Very often,0.04669,109,19185,0.03967,0.05562
76,76,2008,3rd Quintile,female,Often,0.0882,170,19185,0.07722,0.10012
77,77,2008,3rd Quintile,female,Sometimes,0.10321,194,19185,0.09349,0.11376
78,78,2008,3rd Quintile,female,Seldom,0.16063,310,19185,0.14853,0.17443
79,79,2008,3rd Quintile,female,Never,0.60126,1166,19185,0.57595,0.62342
80,80,2008,4th Quintile,male,Very often,0.04312,86,19185,0.03463,0.05393
81,81,2008,4th Quintile,male,Often,0.08408,172,19185,0.0731,0.09463
82,82,2008,4th Quintile,male,Sometimes,0.10795,216,19185,0.09287,0.12391
83,83,2008,4th Quintile,male,Seldom,0.19966,384,19185,0.18293,0.21779
84,84,2008,4th Quintile,male,Never,0.56518,1091,19185,0.53688,0.59308
85,85,2008,4th Quintile,female,Very often,0.05029,109,19185,0.04224,0.0579
86,86,2008,4th Quintile,female,Often,0.08632,178,19185,0.07488,0.09934
87,87,2008,4th Quintile,female,Sometimes,0.10436,209,19185,0.09207,0.11706
88,88,2008,4th Quintile,female,Seldom,0.19143,371,19185,0.17522,0.20693
89,89,2008,4th Quintile,female,Never,0.5676,1098,19185,0.54077,0.5915
90,90,2008,5th Quintile,male,Very often,0.05904,148,19185,0.04954,0.0717
91,91,2008,5th Quintile,male,Often,0.09742,259,19185,0.08261,0.1097
92,92,2008,5th Quintile,male,Sometimes,0.10655,293,19185,0.09349,0.11763
93,93,2008,5th Quintile,male,Seldom,0.21001,521,19185,0.19333,0.22813
94,94,2008,5th Quintile,male,Never,0.52699,1408,19185,0.49886,0.55546
95,95,2008,5th Quintile,female,Very often,0.05689,149,19185,0.04709,0.06525
96,96,2008,5th Quintile,female,Often,0.10446,271,19185,0.09198,0.1156
97,97,2008,5th Quintile,female,Sometimes,0.12833,325,19185,0.11386,0.14516
98,98,2008,5th Quintile,female,Seldom,0.18198,451,19185,0.16656,0.19865
99,99,2008,5th Quintile,female,Never,0.52834,1378,19185,0.50144,0.55576
100,100,2013,1st Quintile,male,Very often,0.04793,116,25351,0.03836,0.0592
101,101,2013,1st Quintile,male,Often,0.09247,188,25351,0.07634,0.11112
102,102,2013,1st Quintile,male,Sometimes,0.10721,198,25351,0.08871,0.12678
103,103,2013,1st Quintile,male,Seldom,0.15692,294,25351,0.13363,0.18077
104,104,2013,1st Quintile,male,Never,0.59547,1170,25351,0.55883,0.63151
105,105,2013,1st Quintile,female,Very often,0.0648,246,25351,0.05587,0.0749
106,106,2013,1st Quintile,female,Often,0.08628,330,25351,0.0736,0.10175
107,107,2013,1st Quintile,female,Sometimes,0.08761,306,25351,0.07744,0.09956
108,108,2013,1st Quintile,female,Seldom,0.14135,424,25351,0.12181,0.16206
109,109,2013,1st Quintile,female,Never,0.61996,1826,25351,0.58681,0.65314
110,110,2013,2nd Quintile,male,Very often,0.04495,119,25351,0.0368,0.05418
111,111,2013,2nd Quintile,male,Often,0.08353,227,25351,0.06981,0.09625
112,112,2013,2nd Quintile,male,Sometimes,0.10662,244,25351,0.09133,0.12321
113,113,2013,2nd Quintile,male,Seldom,0.19064,438,25351,0.17427,0.21571
114,114,2013,2nd Quintile,male,Never,0.57426,1204,25351,0.54235,0.61611
115,115,2013,2nd Quintile,female,Very often,0.05877,217,25351,0.04912,0.07101
116,116,2013,2nd Quintile,female,Often,0.08713,313,25351,0.07652,0.09712
117,117,2013,2nd Quintile,female,Sometimes,0.09734,314,25351,0.08599,0.11101
118,118,2013,2nd Quintile,female,Seldom,0.15775,456,25351,0.14289,0.17489
119,119,2013,2nd Quintile,female,Never,0.59901,1585,25351,0.56815,0.63179
120,120,2013,3rd Quintile,male,Very often,0.04137,134,25351,0.03193,0.05263
121,121,2013,3rd Quintile,male,Often,0.09089,259,25351,0.07459,0.10633
122,122,2013,3rd Quintile,male,Sometimes,0.09234,242,25351,0.07988,0.10746
123,123,2013,3rd Quintile,male,Seldom,0.18696,426,25351,0.1686,0.20928
124,124,2013,3rd Quintile,male,Never,0.58845,1177,25351,0.55729,0.62348
125,125,2013,3rd Quintile,female,Very often,0.05434,214,25351,0.04712,0.06239
126,126,2013,3rd Quintile,female,Often,0.09138,324,25351,0.07958,0.10488
127,127,2013,3rd Quintile,female,Sometimes,0.10462,294,25351,0.08997,0.11858
128,128,2013,3rd Quintile,female,Seldom,0.16589,421,25351,0.14982,0.17996
129,129,2013,3rd Quintile,female,Never,0.58376,1379,25351,0.55473,0.61365
130,130,2013,4th Quintile,male,Very often,0.06111,141,25351,0.05143,0.07239
131,131,2013,4th Quintile,male,Often,0.11425,274,25351,0.09696,0.12853
132,132,2013,4th Quintile,male,Sometimes,0.1074,262,25351,0.09081,0.12544
133,133,2013,4th Quintile,male,Seldom,0.19884,509,25351,0.18297,0.21607
134,134,2013,4th Quintile,male,Never,0.5184,1123,25351,0.48826,0.54519
135,135,2013,4th Quintile,female,Very often,0.0641,190,25351,0.05264,0.07596
136,136,2013,4th Quintile,female,Often,0.10894,310,25351,0.09852,0.12372
137,137,2013,4th Quintile,female,Sometimes,0.10434,294,25351,0.09199,0.12089
138,138,2013,4th Quintile,female,Seldom,0.18622,479,25351,0.16859,0.20245
139,139,2013,4th Quintile,female,Never,0.53641,1259,25351,0.50872,0.56763
140,140,2013,5th Quintile,male,Very often,0.049,144,25351,0.04075,0.0592
141,141,2013,5th Quintile,male,Often,0.09019,288,25351,0.07793,0.10237
142,142,2013,5th Quintile,male,Sometimes,0.11949,358,25351,0.10393,0.13494
143,143,2013,5th Quintile,male,Seldom,0.22385,582,25351,0.20321,0.24693
144,144,2013,5th Quintile,male,Never,0.51746,1354,25351,0.48862,0.54861
145,145,2013,5th Quintile,female,Very often,0.05581,176,25351,0.04699,0.06575
146,146,2013,5th Quintile,female,Often,0.11452,329,25351,0.10043,0.12848
147,147,2013,5th Quintile,female,Sometimes,0.1111,332,25351,0.09914,0.12256
148,148,2013,5th Quintile,female,Seldom,0.19848,523,25351,0.18005,0.21805
149,149,2013,5th Quintile,female,Never,0.52009,1339,25351,0.49291,0.55647
150,150,2018,1st Quintile,male,Very often,0.06102,133,24268,0.05087,0.07192
151,151,2018,1st Quintile,male,Often,0.09214,192,24268,0.07998,0.10664
152,152,2018,1st Quintile,male,Sometimes,0.09481,195,24268,0.08052,0.1095
153,153,2018,1st Quintile,male,Seldom,0.15907,278,24268,0.13414,0.18375
154,154,2018,1st Quintile,male,Never,0.59295,1155,24268,0.55597,0.63778
155,155,2018,1st Quintile,female,Very often,0.07035,226,24268,0.05905,0.07957
156,156,2018,1st Quintile,female,Often,0.09192,272,24268,0.0794,0.10427
157,157,2018,1st Quintile,female,Sometimes,0.07859,228,24268,0.0672,0.09024
158,158,2018,1st Quintile,female,Seldom,0.1436,365,24268,0.12577,0.16485
159,159,2018,1st Quintile,female,Never,0.61554,1601,24268,0.57728,0.64816
160,160,2018,2nd Quintile,male,Very often,0.05161,128,24268,0.03929,0.06432
161,161,2018,2nd Quintile,male,Often,0.0904,220,24268,0.07531,0.10805
162,162,2018,2nd Quintile,male,Sometimes,0.10324,241,24268,0.08951,0.11948
163,163,2018,2nd Quintile,male,Seldom,0.16254,373,24268,0.14322,0.1851
