year,age_gr,quintil_oecd,pld0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,1st Quintile,Very often,0.07740,57,21788,0.07710,0.07770
2003,17-29 y.,1st Quintile,Often,0.07488,69,21788,0.07459,0.07518
2003,17-29 y.,1st Quintile,Sometimes,0.10065,82,21788,0.10031,0.10099
2003,17-29 y.,1st Quintile,Seldom,0.16592,151,21788,0.16550,0.16634
2003,17-29 y.,1st Quintile,Never,0.58114,493,21788,0.58058,0.58170
2003,17-29 y.,2nd Quintile,Very often,0.04466,34,21788,0.04440,0.04492
2003,17-29 y.,2nd Quintile,Often,0.09362,66,21788,0.09325,0.09399
2003,17-29 y.,2nd Quintile,Sometimes,0.10874,80,21788,0.10835,0.10914
2003,17-29 y.,2nd Quintile,Seldom,0.19446,144,21788,0.19396,0.19496
2003,17-29 y.,2nd Quintile,Never,0.55851,441,21788,0.55788,0.55914
2003,17-29 y.,3rd Quintile,Often,0.09276,63,21788,0.09236,0.09316
2003,17-29 y.,3rd Quintile,Sometimes,0.10086,69,21788,0.10044,0.10127
2003,17-29 y.,3rd Quintile,Seldom,0.21557,154,21788,0.21501,0.21614
2003,17-29 y.,3rd Quintile,Never,0.59081,440,21788,0.59013,0.59149
2003,17-29 y.,4th Quintile,Very often,0.05272,50,21788,0.05243,0.05302
2003,17-29 y.,4th Quintile,Often,0.09953,76,21788,0.09914,0.09992
2003,17-29 y.,4th Quintile,Sometimes,0.14306,104,21788,0.14260,0.14352
2003,17-29 y.,4th Quintile,Seldom,0.21061,166,21788,0.21008,0.21114
2003,17-29 y.,4th Quintile,Never,0.49408,394,21788,0.49343,0.49473
2003,17-29 y.,5th Quintile,Very often,0.05274,52,21788,0.05238,0.05310
2003,17-29 y.,5th Quintile,Often,0.09448,71,21788,0.09401,0.09495
2003,17-29 y.,5th Quintile,Sometimes,0.13081,109,21788,0.13026,0.13135
2003,17-29 y.,5th Quintile,Seldom,0.19541,169,21788,0.19478,0.19605
2003,17-29 y.,5th Quintile,Never,0.52655,417,21788,0.52575,0.52735
2003,30-45 y.,1st Quintile,Very often,0.04559,45,21788,0.04536,0.04582
2003,30-45 y.,1st Quintile,Often,0.09567,94,21788,0.09535,0.09600
2003,30-45 y.,1st Quintile,Sometimes,0.11167,100,21788,0.11133,0.11202
2003,30-45 y.,1st Quintile,Seldom,0.16076,148,21788,0.16036,0.16117
2003,30-45 y.,1st Quintile,Never,0.58630,562,21788,0.58576,0.58684
2003,30-45 y.,2nd Quintile,Very often,0.05529,66,21788,0.05506,0.05552
2003,30-45 y.,2nd Quintile,Often,0.10868,131,21788,0.10836,0.10899
2003,30-45 y.,2nd Quintile,Sometimes,0.11485,147,21788,0.11453,0.11517
2003,30-45 y.,2nd Quintile,Seldom,0.18810,230,21788,0.18771,0.18850
2003,30-45 y.,2nd Quintile,Never,0.53307,675,21788,0.53257,0.53358
2003,30-45 y.,3rd Quintile,Very often,0.06611,86,21788,0.06587,0.06635
2003,30-45 y.,3rd Quintile,Often,0.08425,117,21788,0.08399,0.08452
2003,30-45 y.,3rd Quintile,Sometimes,0.12051,168,21788,0.12020,0.12082
2003,30-45 y.,3rd Quintile,Seldom,0.21021,278,21788,0.20983,0.21060
2003,30-45 y.,3rd Quintile,Never,0.51891,714,21788,0.51844,0.51939
2003,30-45 y.,4th Quintile,Very often,0.05929,85,21788,0.05907,0.05950
2003,30-45 y.,4th Quintile,Often,0.10197,139,21788,0.10169,0.10225
2003,30-45 y.,4th Quintile,Sometimes,0.12809,189,21788,0.12778,0.12839
2003,30-45 y.,4th Quintile,Seldom,0.21597,325,21788,0.21560,0.21635
2003,30-45 y.,4th Quintile,Never,0.49468,748,21788,0.49422,0.49514
2003,30-45 y.,5th Quintile,Very often,0.05398,107,21788,0.05377,0.05420
2003,30-45 y.,5th Quintile,Often,0.10898,195,21788,0.10868,0.10927
2003,30-45 y.,5th Quintile,Sometimes,0.11666,222,21788,0.11636,0.11697
2003,30-45 y.,5th Quintile,Seldom,0.20165,384,21788,0.20127,0.20203
2003,30-45 y.,5th Quintile,Never,0.51873,946,21788,0.51825,0.51920
2003,46-65 y.,1st Quintile,Often,0.04544,45,21788,0.04522,0.04567
2003,46-65 y.,1st Quintile,Sometimes,0.06920,63,21788,0.06893,0.06948
2003,46-65 y.,1st Quintile,Seldom,0.15784,128,21788,0.15745,0.15824
2003,46-65 y.,1st Quintile,Never,0.72751,619,21788,0.72703,0.72799
2003,46-65 y.,2nd Quintile,Often,0.06033,63,21788,0.06007,0.06059
2003,46-65 y.,2nd Quintile,Sometimes,0.08724,80,21788,0.08692,0.08755
2003,46-65 y.,2nd Quintile,Seldom,0.17028,150,21788,0.16987,0.17070
2003,46-65 y.,2nd Quintile,Never,0.68215,641,21788,0.68164,0.68267
2003,46-65 y.,3rd Quintile,Very often,0.03769,51,21788,0.03750,0.03788
2003,46-65 y.,3rd Quintile,Often,0.05933,73,21788,0.05909,0.05956
2003,46-65 y.,3rd Quintile,Sometimes,0.10318,131,21788,0.10288,0.10348
2003,46-65 y.,3rd Quintile,Seldom,0.15601,204,21788,0.15565,0.15637
2003,46-65 y.,3rd Quintile,Never,0.64379,770,21788,0.64332,0.64426
2003,46-65 y.,4th Quintile,Very often,0.04527,76,21788,0.04508,0.04545
2003,46-65 y.,4th Quintile,Often,0.06266,116,21788,0.06244,0.06287
2003,46-65 y.,4th Quintile,Sometimes,0.10501,161,21788,0.10474,0.10528
2003,46-65 y.,4th Quintile,Seldom,0.16125,275,21788,0.16092,0.16157
2003,46-65 y.,4th Quintile,Never,0.62582,938,21788,0.62539,0.62625
2003,46-65 y.,5th Quintile,Very often,0.04656,125,21788,0.04640,0.04672
2003,46-65 y.,5th Quintile,Often,0.09936,279,21788,0.09913,0.09959
2003,46-65 y.,5th Quintile,Sometimes,0.10018,320,21788,0.09995,0.10041
2003,46-65 y.,5th Quintile,Seldom,0.18753,576,21788,0.18723,0.18783
2003,46-65 y.,5th Quintile,Never,0.56636,1590,21788,0.56598,0.56675
2003,66 and older,1st Quintile,Sometimes,0.07785,49,21788,0.07754,0.07815
2003,66 and older,1st Quintile,Seldom,0.14408,90,21788,0.14369,0.14448
2003,66 and older,1st Quintile,Never,0.77807,498,21788,0.77760,0.77854
2003,66 and older,2nd Quintile,Often,0.05827,53,21788,0.05802,0.05852
