year,age_gr,sex,pld0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,male,Very often,0.04846,94,22016,0.04829,0.04864
2003,17-29 y.,male,Often,0.08773,169,22016,0.08749,0.08796
2003,17-29 y.,male,Sometimes,0.12079,225,22016,0.12052,0.12105
2003,17-29 y.,male,Seldom,0.19611,386,22016,0.19578,0.19643
2003,17-29 y.,male,Never,0.54692,1048,22016,0.54651,0.54732
2003,17-29 y.,female,Very often,0.06146,128,22016,0.06126,0.06166
2003,17-29 y.,female,Often,0.09035,176,22016,0.09012,0.09059
2003,17-29 y.,female,Sometimes,0.10737,220,22016,0.10711,0.10763
2003,17-29 y.,female,Seldom,0.18862,398,22016,0.18830,0.18895
2003,17-29 y.,female,Never,0.55220,1138,22016,0.55178,0.55261
2003,30-45 y.,male,Very often,0.04750,158,22016,0.04737,0.04763
2003,30-45 y.,male,Often,0.09412,312,22016,0.09395,0.09430
2003,30-45 y.,male,Sometimes,0.11957,401,22016,0.11937,0.11977
2003,30-45 y.,male,Seldom,0.21115,697,22016,0.21090,0.21140
2003,30-45 y.,male,Never,0.52766,1745,22016,0.52736,0.52797
2003,30-45 y.,female,Very often,0.06628,231,22016,0.06613,0.06644
2003,30-45 y.,female,Often,0.10612,364,22016,0.10593,0.10631
2003,30-45 y.,female,Sometimes,0.11828,425,22016,0.11808,0.11849
2003,30-45 y.,female,Seldom,0.18343,668,22016,0.18318,0.18367
2003,30-45 y.,female,Never,0.52588,1900,22016,0.52557,0.52620
2003,46-65 y.,male,Very often,0.03180,132,22016,0.03169,0.03190
2003,46-65 y.,male,Often,0.07349,288,22016,0.07334,0.07365
2003,46-65 y.,male,Sometimes,0.09216,382,22016,0.09199,0.09234
2003,46-65 y.,male,Seldom,0.18500,716,22016,0.18476,0.18523
2003,46-65 y.,male,Never,0.61755,2209,22016,0.61726,0.61784
2003,46-65 y.,female,Very often,0.04481,170,22016,0.04469,0.04494
2003,46-65 y.,female,Often,0.06548,288,22016,0.06533,0.06563
2003,46-65 y.,female,Sometimes,0.09673,373,22016,0.09655,0.09690
2003,46-65 y.,female,Seldom,0.15030,617,22016,0.15009,0.15051
2003,46-65 y.,female,Never,0.64268,2350,22016,0.64240,0.64296
2003,66 and older,male,Very often,0.03587,56,22016,0.03573,0.03602
2003,66 and older,male,Often,0.05493,99,22016,0.05474,0.05511
2003,66 and older,male,Sometimes,0.08420,136,22016,0.08398,0.08443
2003,66 and older,male,Seldom,0.13313,205,22016,0.13286,0.13340
2003,66 and older,male,Never,0.69187,1147,22016,0.69150,0.69224
2003,66 and older,female,Very often,0.03962,71,22016,0.03949,0.03976
2003,66 and older,female,Often,0.03827,87,22016,0.03815,0.03840
2003,66 and older,female,Sometimes,0.06730,131,22016,0.06713,0.06747
2003,66 and older,female,Seldom,0.11224,233,22016,0.11202,0.11245
2003,66 and older,female,Never,0.74257,1443,22016,0.74227,0.74286
2008,17-29 y.,male,Very often,0.07277,104,19187,0.07256,0.07298
2008,17-29 y.,male,Often,0.10248,157,19187,0.10223,0.10273
