year,pgisced97,sampreg,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Pre-primary Level,West,Often,0.10185,37,421,0.07293,0.13078
2003,Pre-primary Level,West,Sometimes,0.11149,54,421,0.08139,0.14159
2003,Pre-primary Level,West,Seldom,0.19834,95,421,0.16020,0.23648
2003,Pre-primary Level,West,Never,0.50073,235,421,0.45291,0.54855
2003,Pre-primary Level,East,Seldom,0.21459,33,122,0.14144,0.28774
2003,Pre-primary Level,East,Never,0.53022,89,122,0.44129,0.61914
2003,Primary Level,West,Seldom,0.12978,33,208,0.08400,0.17557
2003,Primary Level,West,Never,0.69463,175,208,0.63188,0.75737
2003,Lower Secondary Level,West,Very often,0.04231,102,2301,0.03408,0.05053
2003,Lower Secondary Level,West,Often,0.05985,155,2301,0.05015,0.06954
2003,Lower Secondary Level,West,Sometimes,0.07775,204,2301,0.06681,0.08870
2003,Lower Secondary Level,West,Seldom,0.13639,323,2301,0.12237,0.15042
2003,Lower Secondary Level,West,Never,0.67299,1517,2301,0.65382,0.69216
2003,Lower Secondary Level,East,Sometimes,0.08655,35,368,0.05778,0.11532
2003,Lower Secondary Level,East,Seldom,0.17171,73,368,0.13312,0.21029
2003,Lower Secondary Level,East,Never,0.62588,260,368,0.57637,0.67539
2003,Upper Secondary Level,West,Very often,0.04266,377,8245,0.03830,0.04702
2003,Upper Secondary Level,West,Often,0.07348,642,8245,0.06785,0.07911
2003,Upper Secondary Level,West,Sometimes,0.09432,800,8245,0.08801,0.10063
2003,Upper Secondary Level,West,Seldom,0.16815,1419,8245,0.16008,0.17623
2003,Upper Secondary Level,West,Never,0.61510,5007,8245,0.60459,0.62560
2003,Upper Secondary Level,East,Very often,0.02924,87,2793,0.02299,0.03549
2003,Upper Secondary Level,East,Often,0.06674,186,2793,0.05748,0.07599
2003,Upper Secondary Level,East,Sometimes,0.09399,281,2793,0.08316,0.10481
2003,Upper Secondary Level,East,Seldom,0.16079,477,2793,0.14717,0.17442
