"pld0045","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2003","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2003","(noch) kein Abschluss","weiblich","30","0.079305143347566","0.054771408433966","0.103838878261166"
"Sehr oft","2003","Hauptschule","maennlich","155","0.0372092092638252","0.0313799715823056","0.0430384469453448"
"Sehr oft","2003","Hauptschule","weiblich","170","0.037967261060288","0.0322786922684304","0.0436558298521455"
"Sehr oft","2003","Realschule","maennlich","94","0.0388389157021709","0.0312069623980529","0.046470869006289"
"Sehr oft","2003","Realschule","weiblich","183","0.0660286346465414","0.0575468905569459","0.074510378736137"
"Sehr oft","2003","(Fach-)Abitur","maennlich","54","0.0518201668348619","0.0387623960414088","0.064877937628315"
"Sehr oft","2003","(Fach-)Abitur","weiblich","83","0.0540880420121855","0.0417923662329211","0.06638371779145"
"Sehr oft","2003","AkademikerIn","maennlich","110","0.0410372172209122","0.0331675923817626","0.0489068420600618"
"Sehr oft","2003","AkademikerIn","weiblich","125","0.0642114283729057","0.0531513762195653","0.075271480526246"
"Oft","2003","(noch) kein Abschluss","maennlich","35","0.0839536268507694","0.0573046900526925","0.110602563648846"
"Oft","2003","(noch) kein Abschluss","weiblich","","","",""
"Oft","2003","Hauptschule","maennlich","288","0.0683214284140377","0.0605512301261283","0.0760916267019471"
"Oft","2003","Hauptschule","weiblich","297","0.0631177321242547","0.0558796808248336","0.0703557834236757"
"Oft","2003","Realschule","maennlich","204","0.0790152381733384","0.068359446632792","0.0896710297138849"
"Oft","2003","Realschule","weiblich","271","0.0829317007005281","0.0735125151525862","0.09235088624847"
"Oft","2003","(Fach-)Abitur","maennlich","102","0.0903606776878292","0.0734718838896832","0.107249471485975"
"Oft","2003","(Fach-)Abitur","weiblich","126","0.0944433528313197","0.0785461789485391","0.1103405267141"
"Oft","2003","AkademikerIn","maennlich","230","0.0949208477124986","0.0832932958284018","0.106548399596595"
"Oft","2003","AkademikerIn","weiblich","181","0.0801930934759822","0.0679390629609823","0.0924471239909822"
"Manchmal","2003","(noch) kein Abschluss","maennlich","39","0.089866315532566","0.0623840527565231","0.117348578308609"
"Manchmal","2003","(noch) kein Abschluss","weiblich","47","0.0922854274236522","0.0660071828370871","0.118563672010217"
"Manchmal","2003","Hauptschule","maennlich","375","0.0864977006314391","0.0778404959978351","0.0951549052650431"
"Manchmal","2003","Hauptschule","weiblich","354","0.0786038007040924","0.0705935070871624","0.0866140943210224"
"Manchmal","2003","Realschule","maennlich","295","0.115953072197477","0.103306207966415","0.128599936428538"
"Manchmal","2003","Realschule","weiblich","343","0.101715785908101","0.091391660078823","0.112039911737379"
"Manchmal","2003","(Fach-)Abitur","maennlich","124","0.122417470318563","0.103109351376446","0.141725589260681"
"Manchmal","2003","(Fach-)Abitur","weiblich","156","0.134982042108999","0.116407121178147","0.153556963039851"
"Manchmal","2003","AkademikerIn","maennlich","294","0.122425889514373","0.109422914241722","0.135428864787023"
"Manchmal","2003","AkademikerIn","weiblich","240","0.12842511612135","0.11332989504526","0.14352033719744"
"Selten","2003","(noch) kein Abschluss","maennlich","73","0.176084782501687","0.139482885005277","0.212686679998097"
"Selten","2003","(noch) kein Abschluss","weiblich","90","0.179034386664501","0.144225843880433","0.213842929448568"
"Selten","2003","Hauptschule","maennlich","699","0.174366291354686","0.162680838364986","0.186051744344386"
"Selten","2003","Hauptschule","weiblich","611","0.134318565433711","0.124168928003003","0.144468202864418"
"Selten","2003","Realschule","maennlich","466","0.182527577252499","0.167269322319726","0.197785832185272"
"Selten","2003","Realschule","weiblich","598","0.171468403092318","0.158594838543048","0.184341967641589"
"Selten","2003","(Fach-)Abitur","maennlich","227","0.196540851732806","0.173131865970409","0.219949837495204"
"Selten","2003","(Fach-)Abitur","weiblich","228","0.175626728910526","0.154942769722483","0.19631068809857"
"Selten","2003","AkademikerIn","maennlich","515","0.210246333475657","0.194081388072347","0.226411278878968"
"Selten","2003","AkademikerIn","weiblich","362","0.17687777112021","0.159661823425412","0.194093718815009"
"Nie","2003","(noch) kein Abschluss","maennlich","248","0.607395840648592","0.560469706189589","0.654321975107594"
"Nie","2003","(noch) kein Abschluss","weiblich","270","0.582417902992871","0.537642095544683","0.62719371044106"
"Nie","2003","Hauptschule","maennlich","2533","0.633605370336012","0.618766373099296","0.648444367572728"
"Nie","2003","Hauptschule","weiblich","2904","0.685992640677654","0.67217820667651","0.699807074678799"
"Nie","2003","Realschule","maennlich","1403","0.583665196674515","0.564193341801055","0.603137051547975"
"Nie","2003","Realschule","weiblich","1898","0.577855475652511","0.560986355858653","0.59472459544637"
"Nie","2003","(Fach-)Abitur","maennlich","600","0.538860833425939","0.50949592877707","0.568225738074809"
"Nie","2003","(Fach-)Abitur","weiblich","707","0.540859834136969","0.513770930794046","0.567948737479892"
"Nie","2003","AkademikerIn","maennlich","1292","0.531369712076559","0.511573696979697","0.551165727173421"
"Nie","2003","AkademikerIn","weiblich","979","0.550292590909552","0.527847364266013","0.57273781755309"
"Sehr oft","2004","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2004","(noch) kein Abschluss","weiblich","","","",""
"Sehr oft","2004","Hauptschule","maennlich","","","",""
"Sehr oft","2004","Hauptschule","weiblich","","","",""
"Sehr oft","2004","Realschule","maennlich","","","",""
"Sehr oft","2004","Realschule","weiblich","","","",""
"Sehr oft","2004","(Fach-)Abitur","maennlich","","","",""
"Sehr oft","2004","(Fach-)Abitur","weiblich","","","",""
"Sehr oft","2004","AkademikerIn","maennlich","","","",""
"Sehr oft","2004","AkademikerIn","weiblich","","","",""
"Oft","2004","(noch) kein Abschluss","maennlich","","","",""
"Oft","2004","(noch) kein Abschluss","weiblich","","","",""
"Oft","2004","Hauptschule","maennlich","","","",""
"Oft","2004","Hauptschule","weiblich","","","",""
"Oft","2004","Realschule","maennlich","","","",""
"Oft","2004","Realschule","weiblich","","","",""
"Oft","2004","(Fach-)Abitur","maennlich","","","",""
"Oft","2004","(Fach-)Abitur","weiblich","","","",""
"Oft","2004","AkademikerIn","maennlich","","","",""
"Oft","2004","AkademikerIn","weiblich","","","",""
