year,age_gr,regtyp,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,Urban regions,Very often,0.05835,160,2604,0.04934,0.06735
2003,17-29 y.,Urban regions,Often,0.08502,211,2604,0.07430,0.09573
2003,17-29 y.,Urban regions,Sometimes,0.10237,263,2604,0.09072,0.11402
2003,17-29 y.,Urban regions,Seldom,0.18774,496,2604,0.17274,0.20275
2003,17-29 y.,Urban regions,Never,0.56652,1474,2604,0.54748,0.58556
2003,17-29 y.,Rural regions,Very often,0.04718,62,1378,0.03598,0.05837
2003,17-29 y.,Rural regions,Often,0.09754,134,1378,0.08187,0.11321
2003,17-29 y.,Rural regions,Sometimes,0.13991,182,1378,0.12159,0.15824
2003,17-29 y.,Rural regions,Seldom,0.20246,288,1378,0.18124,0.22368
2003,17-29 y.,Rural regions,Never,0.51291,712,1378,0.48651,0.53931
2003,30-45 y.,Urban regions,Very often,0.05014,237,4658,0.04387,0.05641
2003,30-45 y.,Urban regions,Often,0.09615,425,4658,0.08768,0.10461
2003,30-45 y.,Urban regions,Sometimes,0.10746,497,4658,0.09856,0.11635
2003,30-45 y.,Urban regions,Seldom,0.19241,885,4658,0.18108,0.20373
2003,30-45 y.,Urban regions,Never,0.55385,2614,4658,0.53957,0.56813
2003,30-45 y.,Rural regions,Very often,0.07109,152,2242,0.06045,0.08173
2003,30-45 y.,Rural regions,Often,0.10846,251,2242,0.09559,0.12134
2003,30-45 y.,Rural regions,Sometimes,0.14440,329,2242,0.12985,0.15895
2003,30-45 y.,Rural regions,Seldom,0.20929,480,2242,0.19244,0.22613
2003,30-45 y.,Rural regions,Never,0.46676,1030,2242,0.44610,0.48741
2003,46-65 y.,Urban regions,Very often,0.03595,195,5026,0.03080,0.04109
2003,46-65 y.,Urban regions,Often,0.06046,354,5026,0.05387,0.06705
2003,46-65 y.,Urban regions,Sometimes,0.09344,486,5026,0.08539,0.10148
2003,46-65 y.,Urban regions,Seldom,0.15436,817,5026,0.14437,0.16435
2003,46-65 y.,Urban regions,Never,0.65580,3174,5026,0.64267,0.66894
2003,46-65 y.,Rural regions,Very often,0.04351,107,2500,0.03551,0.05151
2003,46-65 y.,Rural regions,Often,0.08884,222,2500,0.07769,0.10000
