"pld0045","year","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2003","1040","","",""
"Oft","2003","1783","","",""
"Manchmal","2003","2293","","",""
"Selten","2003","3920","0.170671879762058","0.165702261106964","0.175641498417153"
"Nie","2003","12980","","",""
"Sehr oft","2004","","","",""
"Oft","2004","","","",""
"Manchmal","2004","","","",""
"Selten","2004","","","",""
"Nie","2004","","","",""
"Sehr oft","2005","","","",""
"Oft","2005","","","",""
"Manchmal","2005","","","",""
"Selten","2005","","","",""
"Nie","2005","","","",""
"Sehr oft","2006","","","",""
"Oft","2006","","","",""
"Manchmal","2006","","","",""
"Selten","2006","","","",""
"Nie","2006","","","",""
"Sehr oft","2007","","","",""
"Oft","2007","","","",""
"Manchmal","2007","","","",""
"Selten","2007","","","",""
"Nie","2007","","","",""
"Sehr oft","2008","1004","","",""
"Oft","2008","1715","","",""
"Manchmal","2008","1984","","",""
"Selten","2008","3354","0.173311265845919","0.167955409005299","0.178667122686539"
"Nie","2008","11130","","",""
"Sehr oft","2009","","","",""
"Oft","2009","","","",""
"Manchmal","2009","","","",""
"Selten","2009","","","",""
"Nie","2009","","","",""
"Sehr oft","2010","","","",""
"Oft","2010","","","",""
"Manchmal","2010","","","",""
"Selten","2010","","","",""
"Nie","2010","","","",""
"Sehr oft","2011","","","",""
"Oft","2011","","","",""
"Manchmal","2011","","","",""
"Selten","2011","","","",""
"Nie","2011","","","",""
"Sehr oft","2012","","","",""
"Oft","2012","","","",""
"Manchmal","2012","","","",""
"Selten","2012","","","",""
"Nie","2012","","","",""
"Sehr oft","2013","1697","","",""
"Oft","2013","2842","","",""
"Manchmal","2013","2846","","",""
"Selten","2013","4552","0.1813927832062","0.176649663665162","0.186135902747238"
"Nie","2013","13418","","",""
"Sehr oft","2014","","","",""
"Oft","2014","","","",""
"Manchmal","2014","","","",""
"Selten","2014","","","",""
"Nie","2014","","","",""
"Sehr oft","2015","","","",""
"Oft","2015","","","",""
"Manchmal","2015","","","",""
"Selten","2015","","","",""
"Nie","2015","","","",""
"Sehr oft","2016","","","",""
"Oft","2016","","","",""
"Manchmal","2016","","","",""
"Selten","2016","","","",""
"Nie","2016","","","",""
"Sehr oft","2017","","","",""
"Oft","2017","","","",""
"Manchmal","2017","","","",""
"Selten","2017","","","",""
"Nie","2017","","","",""
"Sehr oft","2018","1782","","",""
"Oft","2018","2624","","",""
"Manchmal","2018","2798","","",""
"Selten","2018","4286","0.174153115445558","0.169499400894839","0.178806829996278"
"Nie","2018","14021","","",""
