year,pgisced97,regtyp,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No answer / don't know,Urban regions,Never,0.64463,98,98,0.54937,0.73988
2003,No answer / don't know,Rural regions,Never,0.38289,37,37,0.22410,0.54168
2003,Pre-primary Level,Urban regions,Sometimes,0.09920,43,362,0.06836,0.13003
2003,Pre-primary Level,Urban regions,Seldom,0.22205,94,362,0.17917,0.26492
2003,Pre-primary Level,Urban regions,Never,0.51209,225,362,0.46053,0.56366
2003,Pre-primary Level,Rural regions,Seldom,0.16529,34,133,0.10192,0.22866
2003,Pre-primary Level,Rural regions,Never,0.53002,99,133,0.44488,0.61517
2003,Primary Level,Urban regions,Never,0.70190,147,147,0.62770,0.77610
2003,Primary Level,Rural regions,Never,0.79314,42,42,0.66915,0.91713
2003,Lower Secondary Level,Urban regions,Very often,0.04506,79,1831,0.03555,0.05456
2003,Lower Secondary Level,Urban regions,Often,0.04885,105,1831,0.03898,0.05873
2003,Lower Secondary Level,Urban regions,Sometimes,0.06354,141,1831,0.05237,0.07472
2003,Lower Secondary Level,Urban regions,Seldom,0.13169,240,1831,0.11620,0.14718
2003,Lower Secondary Level,Urban regions,Never,0.71085,1266,1831,0.69008,0.73163
2003,Lower Secondary Level,Rural regions,Very often,0.04192,38,879,0.02867,0.05518
2003,Lower Secondary Level,Rural regions,Often,0.08547,76,879,0.06698,0.10397
2003,Lower Secondary Level,Rural regions,Sometimes,0.11375,98,879,0.09275,0.13475
2003,Lower Secondary Level,Rural regions,Seldom,0.16355,156,879,0.13908,0.18801
2003,Lower Secondary Level,Rural regions,Never,0.59530,511,879,0.56284,0.62777
2003,Upper Secondary Level,Urban regions,Very often,0.03714,289,7028,0.03272,0.04156
2003,Upper Secondary Level,Urban regions,Often,0.06611,488,7028,0.06030,0.07192
2003,Upper Secondary Level,Urban regions,Sometimes,0.08803,621,7028,0.08140,0.09465
2003,Upper Secondary Level,Urban regions,Seldom,0.15695,1121,7028,0.14845,0.16546
2003,Upper Secondary Level,Urban regions,Never,0.65177,4509,7028,0.64063,0.66291
2003,Upper Secondary Level,Rural regions,Very often,0.04621,175,4010,0.03971,0.05271
2003,Upper Secondary Level,Rural regions,Often,0.08512,340,4010,0.07648,0.09375
2003,Upper Secondary Level,Rural regions,Sometimes,0.10803,460,4010,0.09843,0.11764
2003,Upper Secondary Level,Rural regions,Seldom,0.18857,775,4010,0.17647,0.20068
2003,Upper Secondary Level,Rural regions,Never,0.57207,2260,4010,0.55675,0.58738
2003,Post-secondary Non-tertiary Level,Urban regions,Very often,0.05231,46,882,0.03761,0.06701
2003,Post-secondary Non-tertiary Level,Urban regions,Often,0.09633,79,882,0.07685,0.11582
2003,Post-secondary Non-tertiary Level,Urban regions,Sometimes,0.13150,103,882,0.10918,0.15381
2003,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.17529,163,882,0.15018,0.20040
2003,Post-secondary Non-tertiary Level,Urban regions,Never,0.54457,491,882,0.51169,0.57746
2003,Post-secondary Non-tertiary Level,Rural regions,Often,0.07668,31,245,0.04329,0.11007
2003,Post-secondary Non-tertiary Level,Rural regions,Sometimes,0.14338,34,245,0.09940,0.18735
2003,Post-secondary Non-tertiary Level,Rural regions,Seldom,0.17381,52,245,0.12626,0.22135
2003,Post-secondary Non-tertiary Level,Rural regions,Never,0.49037,128,245,0.42765,0.55310
2003,First Stage of Tertiary Education,Urban regions,Very often,0.06033,55,1065,0.04602,0.07463
2003,First Stage of Tertiary Education,Urban regions,Often,0.08041,91,1065,0.06407,0.09675
2003,First Stage of Tertiary Education,Urban regions,Sometimes,0.10685,115,1065,0.08828,0.12541
2003,First Stage of Tertiary Education,Urban regions,Seldom,0.17197,191,1065,0.14930,0.19464
2003,First Stage of Tertiary Education,Urban regions,Never,0.58044,613,1065,0.55079,0.61009
2003,First Stage of Tertiary Education,Rural regions,Very often,0.07342,36,612,0.05274,0.09411
2003,First Stage of Tertiary Education,Rural regions,Often,0.12931,82,612,0.10271,0.15592
2003,First Stage of Tertiary Education,Rural regions,Sometimes,0.12740,78,612,0.10097,0.15384
2003,First Stage of Tertiary Education,Rural regions,Seldom,0.19524,133,612,0.16381,0.22667
2003,First Stage of Tertiary Education,Rural regions,Never,0.47462,283,612,0.43503,0.51422
2003,Second Stage of Tertiary Education,Urban regions,Very often,0.04884,158,3072,0.04122,0.05647
2003,Second Stage of Tertiary Education,Urban regions,Often,0.08997,296,3072,0.07985,0.10009
2003,Second Stage of Tertiary Education,Urban regions,Sometimes,0.11385,341,3072,0.10262,0.12509
2003,Second Stage of Tertiary Education,Urban regions,Seldom,0.18313,575,3072,0.16945,0.19681
2003,Second Stage of Tertiary Education,Urban regions,Never,0.56420,1702,3072,0.54666,0.58174
2003,Second Stage of Tertiary Education,Rural regions,Very often,0.05636,77,1256,0.04360,0.06912
2003,Second Stage of Tertiary Education,Rural regions,Often,0.08506,115,1256,0.06962,0.10049
