year,age_gr,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Yes,0.09462,338,3426,0.08482,0.10442
1984,17-29 y.,West,No,0.90538,3088,3426,0.89558,0.91518
1984,30-45 y.,West,Yes,0.10425,417,3899,0.09466,0.11385
1984,30-45 y.,West,No,0.89575,3482,3899,0.88615,0.90534
1984,46-65 y.,West,Yes,0.11350,419,3549,0.10307,0.12394
1984,46-65 y.,West,No,0.88650,3130,3549,0.87606,0.89693
1984,66 and older,West,Yes,0.15080,192,1265,0.13107,0.17053
1984,66 and older,West,No,0.84920,1073,1265,0.82947,0.86893
1985,17-29 y.,West,Yes,0.10119,342,3137,0.09063,0.11175
1985,17-29 y.,West,No,0.89881,2795,3137,0.88825,0.90937
1985,30-45 y.,West,Yes,0.09861,365,3466,0.08869,0.10854
1985,30-45 y.,West,No,0.90139,3101,3466,0.89146,0.91131
1985,46-65 y.,West,Yes,0.10981,375,3300,0.09914,0.12048
1985,46-65 y.,West,No,0.89019,2925,3300,0.87952,0.90086
1985,66 and older,West,Yes,0.15868,172,1102,0.13710,0.18026
1985,66 and older,West,No,0.84132,930,1102,0.81974,0.86290
1986,17-29 y.,West,Yes,0.11596,363,3053,0.10460,0.12732
1986,17-29 y.,West,No,0.88404,2690,3053,0.87268,0.89540
1986,30-45 y.,West,Yes,0.09916,351,3259,0.08890,0.10942
1986,30-45 y.,West,No,0.90084,2908,3259,0.89058,0.91110
1986,46-65 y.,West,Yes,0.11772,395,3221,0.10659,0.12885
1986,46-65 y.,West,No,0.88228,2826,3221,0.87115,0.89341
1986,66 and older,West,Yes,0.17967,182,1021,0.15611,0.20324
1986,66 and older,West,No,0.82033,839,1021,0.79676,0.84389
1987,17-29 y.,West,Yes,0.11630,356,3000,0.10483,0.12778
1987,17-29 y.,West,No,0.88370,2644,3000,0.87222,0.89517
1987,30-45 y.,West,Yes,0.10224,327,3159,0.09167,0.11280
1987,30-45 y.,West,No,0.89776,2832,3159,0.88720,0.90833
1987,46-65 y.,West,Yes,0.10763,349,3197,0.09688,0.11837
1987,46-65 y.,West,No,0.89237,2848,3197,0.88163,0.90312
1987,66 and older,West,Yes,0.19789,202,1064,0.17394,0.22185
1987,66 and older,West,No,0.80211,862,1064,0.77815,0.82606
1988,17-29 y.,West,Yes,0.11316,329,2868,0.10156,0.12476
1988,17-29 y.,West,No,0.88684,2539,2868,0.87524,0.89844
1988,30-45 y.,West,Yes,0.10733,320,2945,0.09615,0.11851
1988,30-45 y.,West,No,0.89267,2625,2945,0.88149,0.90385
1988,46-65 y.,West,Yes,0.11742,365,3094,0.10607,0.12876
1988,46-65 y.,West,No,0.88258,2729,3094,0.87124,0.89393
1988,66 and older,West,Yes,0.18278,187,1031,0.15918,0.20638
1988,66 and older,West,No,0.81722,844,1031,0.79362,0.84082
1989,17-29 y.,West,Yes,0.11077,327,2820,0.09919,0.12236
1989,17-29 y.,West,No,0.88923,2493,2820,0.87764,0.90081
1989,30-45 y.,West,Yes,0.10232,299,2836,0.09117,0.11348
1989,30-45 y.,West,No,0.89768,2537,2836,0.88652,0.90883
1989,46-65 y.,West,Yes,0.11273,335,2969,0.10135,0.12410
1989,46-65 y.,West,No,0.88727,2634,2969,0.87590,0.89865
1989,66 and older,West,Yes,0.18900,184,1005,0.16478,0.21321
1989,66 and older,West,No,0.81100,821,1005,0.78679,0.83522
1991,17-29 y.,West,Yes,0.14271,350,2681,0.12946,0.15595
1991,17-29 y.,West,No,0.85729,2331,2681,0.84405,0.87054
1991,30-45 y.,West,Yes,0.09744,277,2810,0.08647,0.10841
1991,30-45 y.,West,No,0.90256,2533,2810,0.89159,0.91353
1991,46-65 y.,West,Yes,0.11622,331,2842,0.10444,0.12801
1991,46-65 y.,West,No,0.88378,2511,2842,0.87199,0.89556
1991,66 and older,West,Yes,0.20635,211,1045,0.18181,0.23090
1991,66 and older,West,No,0.79365,834,1045,0.76910,0.81819
1992,17-29 y.,West,Yes,0.11485,300,2656,0.10272,0.12698
1992,17-29 y.,West,No,0.88515,2356,2656,0.87302,0.89728
1992,17-29 y.,East,Yes,0.10592,95,911,0.08592,0.12591
1992,17-29 y.,East,No,0.89408,816,911,0.87409,0.91408
1992,30-45 y.,West,Yes,0.10477,302,2812,0.09345,0.11610
1992,30-45 y.,West,No,0.89523,2510,2812,0.88390,0.90655
1992,30-45 y.,East,Yes,0.07148,99,1431,0.05813,0.08484
1992,30-45 y.,East,No,0.92852,1332,1431,0.91516,0.94187
1992,46-65 y.,West,Yes,0.10497,294,2788,0.09359,0.11635
1992,46-65 y.,West,No,0.89503,2494,2788,0.88365,0.90641
1992,46-65 y.,East,Yes,0.09370,115,1229,0.07740,0.11000
1992,46-65 y.,East,No,0.90630,1114,1229,0.89000,0.92260
1992,66 and older,West,Yes,0.21921,222,1047,0.19414,0.24428
1992,66 and older,West,No,0.78079,825,1047,0.75572,0.80586
