year,regtyp,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,Yes,0.07290,381,4259,0.06509,0.08071
1985,Urban regions,male,No,0.75696,3878,4259,0.74408,0.76985
1985,Urban regions,female,Yes,0.10958,585,4408,0.10036,0.11880
1985,Urban regions,female,No,0.74164,3823,4408,0.72871,0.75456
1985,Rural regions,male,Yes,0.08513,115,1146,0.06897,0.10130
1985,Rural regions,male,No,0.72926,1031,1146,0.70352,0.75499
1985,Rural regions,female,Yes,0.11936,173,1192,0.10095,0.13778
1985,Rural regions,female,No,0.71505,1019,1192,0.68941,0.74068
1986,Urban regions,male,Yes,0.09242,450,4134,0.08359,0.10125
1986,Urban regions,male,No,0.73939,3684,4134,0.72601,0.75277
1986,Urban regions,female,Yes,0.11476,572,4197,0.10511,0.12440
1986,Urban regions,female,No,0.73245,3625,4197,0.71906,0.74585
1986,Rural regions,male,Yes,0.08720,116,1088,0.07043,0.10397
1986,Rural regions,male,No,0.72594,972,1088,0.69942,0.75245
1986,Rural regions,female,Yes,0.11028,153,1135,0.09205,0.12851
1986,Rural regions,female,No,0.71430,982,1135,0.68801,0.74059
1987,Urban regions,male,Yes,0.08285,380,4089,0.07440,0.09130
1987,Urban regions,male,No,0.74468,3709,4089,0.73131,0.75805
1987,Urban regions,female,Yes,0.12295,579,4130,0.11293,0.13296
1987,Urban regions,female,No,0.72446,3551,4130,0.71084,0.73809
1987,Rural regions,male,Yes,0.07569,98,1069,0.05982,0.09155
1987,Rural regions,male,No,0.72351,971,1069,0.69669,0.75034
1987,Rural regions,female,Yes,0.12956,177,1132,0.10999,0.14913
1987,Rural regions,female,No,0.69444,955,1132,0.66759,0.72128
1988,Urban regions,male,Yes,0.09357,400,3909,0.08444,0.10270
1988,Urban regions,male,No,0.73732,3509,3909,0.72352,0.75112
1988,Urban regions,female,Yes,0.11909,562,3969,0.10902,0.12917
1988,Urban regions,female,No,0.72569,3407,3969,0.71181,0.73957
1988,Rural regions,male,Yes,0.08030,99,1009,0.06352,0.09708
1988,Rural regions,male,No,0.71887,910,1009,0.69112,0.74662
1988,Rural regions,female,Yes,0.11385,140,1051,0.09463,0.13306
1988,Rural regions,female,No,0.71201,911,1051,0.68462,0.73940
1989,Urban regions,male,Yes,0.07890,339,3775,0.07030,0.08750
1989,Urban regions,male,No,0.74979,3436,3775,0.73597,0.76360
1989,Urban regions,female,Yes,0.11948,554,3896,0.10929,0.12966
1989,Urban regions,female,No,0.73080,3342,3896,0.71687,0.74473
1989,Rural regions,male,Yes,0.09889,110,972,0.08011,0.11766
1989,Rural regions,male,No,0.71216,862,972,0.68369,0.74064
1989,Rural regions,female,Yes,0.12486,142,987,0.10422,0.14549
1989,Rural regions,female,No,0.69535,845,987,0.66662,0.72408
1991,Urban regions,male,Yes,0.07713,363,3642,0.06846,0.08579
1991,Urban regions,male,No,0.65077,3279,3642,0.63528,0.66626
1991,Urban regions,female,Yes,0.11684,546,3756,0.10657,0.12711
1991,Urban regions,female,No,0.63174,3210,3756,0.61632,0.64717
1991,Rural regions,male,Yes,0.05422,104,979,0.04003,0.06841
1991,Rural regions,male,No,0.42223,875,979,0.39127,0.45318
1991,Rural regions,female,Yes,0.07656,156,1001,0.06008,0.09304
1991,Rural regions,female,No,0.40319,845,1001,0.37278,0.43359
1992,Urban regions,male,Yes,0.08254,397,4201,0.07422,0.09086
1992,Urban regions,male,No,0.72980,3804,4201,0.71637,0.74323
1992,Urban regions,female,Yes,0.11625,584,4435,0.10682,0.12569
1992,Urban regions,female,No,0.71827,3851,4435,0.70503,0.73151
1992,Rural regions,male,Yes,0.08660,196,2185,0.07480,0.09839
1992,Rural regions,male,No,0.72295,1989,2185,0.70418,0.74172
1992,Rural regions,female,Yes,0.11288,287,2321,0.10001,0.12576
1992,Rural regions,female,No,0.70269,2034,2321,0.68410,0.72129
1994,Urban regions,male,Yes,0.08354,377,4077,0.07504,0.09203
1994,Urban regions,male,No,0.72357,3700,4077,0.70984,0.73730
1994,Urban regions,female,Yes,0.13232,624,4373,0.12228,0.14236
1994,Urban regions,female,No,0.70334,3749,4373,0.68980,0.71688
1994,Rural regions,male,Yes,0.08549,191,2121,0.07358,0.09739
1994,Rural regions,male,No,0.72136,1930,2121,0.70228,0.74045
1994,Rural regions,female,Yes,0.11583,305,2262,0.10264,0.12903
1994,Rural regions,female,No,0.69832,1957,2262,0.67941,0.71724
1995,Urban regions,male,Yes,0.08155,394,4184,0.07326,0.08985
1995,Urban regions,male,No,0.72440,3790,4184,0.71086,0.73795
1995,Urban regions,female,Yes,0.12147,611,4505,0.11193,0.13101
1995,Urban regions,female,No,0.71370,3894,4505,0.70050,0.72690
1995,Rural regions,male,Yes,0.08577,222,2195,0.07405,0.09749
1995,Rural regions,male,No,0.71736,1973,2195,0.69852,0.73621
1995,Rural regions,female,Yes,0.12398,340,2331,0.11060,0.13736
1995,Rural regions,female,No,0.68543,1991,2331,0.66658,0.70429
1996,Urban regions,male,Yes,0.08766,403,4091,0.07899,0.09633
1996,Urban regions,male,No,0.71912,3688,4091,0.70535,0.73290
1996,Urban regions,female,Yes,0.11604,616,4422,0.10660,0.12549
1996,Urban regions,female,No,0.71799,3806,4422,0.70472,0.73125
1996,Rural regions,male,Yes,0.09019,218,2184,0.07818,0.10221
1996,Rural regions,male,No,0.71848,1966,2184,0.69961,0.73734
1996,Rural regions,female,Yes,0.13189,351,2307,0.11807,0.14570
1996,Rural regions,female,No,0.68218,1956,2307,0.66317,0.70118
1997,Urban regions,male,Yes,0.08715,386,4037,0.07845,0.09585
1997,Urban regions,male,No,0.72330,3651,4037,0.70949,0.73710
1997,Urban regions,female,Yes,0.12240,618,4315,0.11262,0.13218
1997,Urban regions,female,No,0.71377,3697,4315,0.70028,0.72726
1997,Rural regions,male,Yes,0.08932,230,2147,0.07726,0.10139
1997,Rural regions,male,No,0.72049,1917,2147,0.70150,0.73948
1997,Rural regions,female,Yes,0.12114,315,2277,0.10773,0.13454
1997,Rural regions,female,No,0.69401,1962,2277,0.67508,0.71294
