year,pgisced97,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,No,0.93682,59,59,0.87420,0.99943
1984,Pre-primary Level,No,0.95959,178,178,0.93058,0.98860
1984,Primary Level,Yes,0.12372,135,998,0.10329,0.14416
1984,Primary Level,No,0.87628,863,998,0.85584,0.89671
1984,Lower Secondary Level,Yes,0.12347,403,3441,0.11248,0.13446
1984,Lower Secondary Level,No,0.87653,3038,3441,0.86554,0.88752
1984,Upper Secondary Level,Yes,0.11112,630,5697,0.10296,0.11928
1984,Upper Secondary Level,No,0.88888,5067,5697,0.88072,0.89704
1984,Post-secondary Non-tertiary Level,Yes,0.08052,35,308,0.05008,0.11096
1984,Post-secondary Non-tertiary Level,No,0.91948,273,308,0.88904,0.94992
1984,First Stage of Tertiary Education,Yes,0.13826,88,657,0.11185,0.16468
1984,First Stage of Tertiary Education,No,0.86174,569,657,0.83532,0.88815
1984,Second Stage of Tertiary Education,Yes,0.08336,61,787,0.06404,0.10269
1984,Second Stage of Tertiary Education,No,0.91664,726,787,0.89731,0.93596
1985,No answer / don't know,No,0.91834,103,103,0.86519,0.97148
1985,Pre-primary Level,No,0.92566,173,173,0.88646,0.96487
1985,Primary Level,Yes,0.13653,107,833,0.11320,0.15986
1985,Primary Level,No,0.86347,726,833,0.84014,0.88680
1985,Lower Secondary Level,Yes,0.11984,363,3051,0.10831,0.13136
1985,Lower Secondary Level,No,0.88016,2688,3051,0.86864,0.89169
1985,Upper Secondary Level,Yes,0.11261,583,5173,0.10400,0.12123
1985,Upper Secondary Level,No,0.88739,4590,5173,0.87877,0.89600
1985,Post-secondary Non-tertiary Level,No,0.92677,251,251,0.89447,0.95906
1985,First Stage of Tertiary Education,Yes,0.12506,80,618,0.09896,0.15116
1985,First Stage of Tertiary Education,No,0.87494,538,618,0.84884,0.90104
1985,Second Stage of Tertiary Education,Yes,0.09880,72,754,0.07749,0.12012
1985,Second Stage of Tertiary Education,No,0.90120,682,754,0.87988,0.92251
1986,No answer / don't know,No,0.86072,100,100,0.79252,0.92893
1986,Pre-primary Level,No,0.92231,173,173,0.88230,0.96231
1986,Primary Level,Yes,0.13436,109,776,0.11034,0.15837
1986,Primary Level,No,0.86564,667,776,0.84163,0.88966
1986,Lower Secondary Level,Yes,0.12619,363,2899,0.11410,0.13828
1986,Lower Secondary Level,No,0.87381,2536,2899,0.86172,0.88590
1986,Upper Secondary Level,Yes,0.12686,615,4980,0.11762,0.13611
1986,Upper Secondary Level,No,0.87314,4365,4980,0.86389,0.88238
1986,Post-secondary Non-tertiary Level,Yes,0.08525,31,272,0.05200,0.11849
1986,Post-secondary Non-tertiary Level,No,0.91475,241,272,0.88151,0.94800
1986,First Stage of Tertiary Education,Yes,0.11921,72,579,0.09279,0.14563
1986,First Stage of Tertiary Education,No,0.88079,507,579,0.85437,0.90721
1986,Second Stage of Tertiary Education,Yes,0.10762,74,748,0.08539,0.12984
1986,Second Stage of Tertiary Education,No,0.89238,674,748,0.87016,0.91461
1987,No answer / don't know,No,0.87977,110,110,0.81871,0.94083
1987,Pre-primary Level,No,0.91383,176,176,0.87225,0.95541
1987,Primary Level,Yes,0.12738,93,750,0.10350,0.15125
1987,Primary Level,No,0.87262,657,750,0.84875,0.89650
1987,Lower Secondary Level,Yes,0.13430,352,2828,0.12173,0.14687
1987,Lower Secondary Level,No,0.86570,2476,2828,0.85313,0.87827
1987,Upper Secondary Level,Yes,0.12292,587,4951,0.11377,0.13206
1987,Upper Secondary Level,No,0.87708,4364,4951,0.86794,0.88623
1987,Post-secondary Non-tertiary Level,No,0.89215,250,250,0.85362,0.93068
1987,First Stage of Tertiary Education,Yes,0.12011,72,563,0.09323,0.14699
1987,First Stage of Tertiary Education,No,0.87989,491,563,0.85301,0.90677
1987,Second Stage of Tertiary Education,Yes,0.12048,79,741,0.09703,0.14394
1987,Second Stage of Tertiary Education,No,0.87952,662,741,0.85606,0.90297
1988,No answer / don't know,No,0.90328,130,130,0.85228,0.95429
1988,Pre-primary Level,No,0.87916,145,145,0.82592,0.93240
1988,Primary Level,Yes,0.13818,92,688,0.11237,0.16398
1988,Primary Level,No,0.86182,596,688,0.83602,0.88763
1988,Lower Secondary Level,Yes,0.14044,362,2711,0.12736,0.15352
1988,Lower Secondary Level,No,0.85956,2349,2711,0.84648,0.87264
1988,Upper Secondary Level,Yes,0.12042,538,4726,0.11114,0.12970
1988,Upper Secondary Level,No,0.87958,4188,4726,0.87030,0.88886
1988,Post-secondary Non-tertiary Level,No,0.91163,240,240,0.87565,0.94762
1988,First Stage of Tertiary Education,Yes,0.15315,82,537,0.12266,0.18364
1988,First Stage of Tertiary Education,No,0.84685,455,537,0.81636,0.87734
1988,Second Stage of Tertiary Education,Yes,0.10486,67,701,0.08216,0.12755
1988,Second Stage of Tertiary Education,No,0.89514,634,701,0.87245,0.91784
1989,No answer / don't know,No,0.85563,125,125,0.79377,0.91749
1989,Pre-primary Level,No,0.94560,163,163,0.91067,0.98052
1989,Primary Level,Yes,0.14891,92,648,0.12148,0.17635
1989,Primary Level,No,0.85109,556,648,0.82365,0.87852
1989,Lower Secondary Level,Yes,0.13722,334,2563,0.12390,0.15054
1989,Lower Secondary Level,No,0.86278,2229,2563,0.84946,0.87610
1989,Upper Secondary Level,Yes,0.12431,551,4607,0.11478,0.13384
1989,Upper Secondary Level,No,0.87569,4056,4607,0.86616,0.88522
1989,Post-secondary Non-tertiary Level,Yes,0.10878,31,288,0.07276,0.14481
1989,Post-secondary Non-tertiary Level,No,0.89122,257,288,0.85519,0.92724
1989,First Stage of Tertiary Education,Yes,0.11724,59,513,0.08937,0.14511
1989,First Stage of Tertiary Education,No,0.88276,454,513,0.85489,0.91063
1989,Second Stage of Tertiary Education,Yes,0.08899,51,696,0.06782,0.11016
1989,Second Stage of Tertiary Education,No,0.91101,645,696,0.88984,0.93218
1991,No answer / don't know,No,0.81661,139,139,0.75205,0.88118
1991,Pre-primary Level,No,0.92503,142,142,0.88156,0.96850
1991,Primary Level,Yes,0.14094,68,616,0.11344,0.16845
1991,Primary Level,No,0.85906,548,616,0.83155,0.88656
1991,Lower Secondary Level,Yes,0.15238,323,2393,0.13798,0.16678
1991,Lower Secondary Level,No,0.84762,2070,2393,0.83322,0.86202
1991,Upper Secondary Level,Yes,0.12992,553,4516,0.12012,0.13973
1991,Upper Secondary Level,No,0.87008,3963,4516,0.86027,0.87988
1991,Post-secondary Non-tertiary Level,Yes,0.15993,50,304,0.11866,0.20121
1991,Post-secondary Non-tertiary Level,No,0.84007,254,304,0.79879,0.88134
1991,First Stage of Tertiary Education,Yes,0.12475,72,516,0.09621,0.15328
1991,First Stage of Tertiary Education,No,0.87525,444,516,0.84672,0.90379
1991,Second Stage of Tertiary Education,Yes,0.10283,70,719,0.08062,0.12505
1991,Second Stage of Tertiary Education,No,0.89717,649,719,0.87495,0.91938
1992,No answer / don't know,No,0.87926,172,172,0.83042,0.92809
1992,Pre-primary Level,No,0.91528,172,172,0.87355,0.95702
1992,Primary Level,Yes,0.09066,63,625,0.06813,0.11318
1992,Primary Level,No,0.90934,562,625,0.88682,0.93187
1992,Lower Secondary Level,Yes,0.13484,341,2771,0.12212,0.14756
1992,Lower Secondary Level,No,0.86516,2430,2771,0.85244,0.87788
1992,Upper Secondary Level,Yes,0.12412,769,6697,0.11622,0.13202
1992,Upper Secondary Level,No,0.87588,5928,6697,0.86798,0.88378
1992,Post-secondary Non-tertiary Level,Yes,0.12547,40,381,0.09216,0.15877
1992,Post-secondary Non-tertiary Level,No,0.87453,341,381,0.84123,0.90784
