year,age_gr,pgisced97,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,No,0.95959,178,178,0.93058,0.98860
1984,17-29 y.,Primary Level,No,0.87591,180,180,0.82762,0.92421
1984,17-29 y.,Lower Secondary Level,Yes,0.09970,108,1041,0.08150,0.11791
1984,17-29 y.,Lower Secondary Level,No,0.90030,933,1041,0.88209,0.91850
1984,17-29 y.,Upper Secondary Level,Yes,0.09927,162,1600,0.08461,0.11393
1984,17-29 y.,Upper Secondary Level,No,0.90073,1438,1600,0.88607,0.91539
1984,17-29 y.,Post-secondary Non-tertiary Level,No,0.94406,115,115,0.90187,0.98624
1984,17-29 y.,First Stage of Tertiary Education,No,0.87997,110,110,0.81896,0.94099
1984,17-29 y.,Second Stage of Tertiary Education,No,0.92650,120,120,0.87962,0.97339
1984,30-45 y.,Primary Level,Yes,0.12158,51,399,0.08948,0.15369
1984,30-45 y.,Primary Level,No,0.87842,348,399,0.84631,0.91052
1984,30-45 y.,Lower Secondary Level,Yes,0.11211,85,803,0.09027,0.13395
1984,30-45 y.,Lower Secondary Level,No,0.88789,718,803,0.86605,0.90973
1984,30-45 y.,Upper Secondary Level,Yes,0.10605,209,1948,0.09237,0.11973
1984,30-45 y.,Upper Secondary Level,No,0.89395,1739,1948,0.88027,0.90763
1984,30-45 y.,Post-secondary Non-tertiary Level,No,0.88489,84,84,0.81623,0.95355
1984,30-45 y.,First Stage of Tertiary Education,No,0.90170,223,223,0.86253,0.94086
1984,30-45 y.,Second Stage of Tertiary Education,No,0.91768,346,346,0.88868,0.94669
1984,46-65 y.,Primary Level,Yes,0.15408,58,378,0.11763,0.19052
1984,46-65 y.,Primary Level,No,0.84592,320,378,0.80948,0.88237
1984,46-65 y.,Lower Secondary Level,Yes,0.10928,122,1083,0.09069,0.12787
1984,46-65 y.,Lower Secondary Level,No,0.89072,961,1083,0.87213,0.90931
1984,46-65 y.,Upper Secondary Level,Yes,0.11174,177,1581,0.09621,0.12728
1984,46-65 y.,Upper Secondary Level,No,0.88826,1404,1581,0.87272,0.90379
1984,46-65 y.,Post-secondary Non-tertiary Level,No,0.90564,56,56,0.82838,0.98290
1984,46-65 y.,First Stage of Tertiary Education,Yes,0.17257,34,201,0.12020,0.22494
1984,46-65 y.,First Stage of Tertiary Education,No,0.82743,167,201,0.77506,0.87980
1984,46-65 y.,Second Stage of Tertiary Education,No,0.91675,203,203,0.87865,0.95485
1984,66 and older,Lower Secondary Level,Yes,0.17211,88,514,0.13945,0.20478
1984,66 and older,Lower Secondary Level,No,0.82789,426,514,0.79522,0.86055
1984,66 and older,Upper Secondary Level,Yes,0.13905,82,568,0.11057,0.16754
1984,66 and older,Upper Secondary Level,No,0.86095,486,568,0.83246,0.88943
1984,66 and older,First Stage of Tertiary Education,No,0.82751,69,69,0.73771,0.91731
1984,66 and older,Second Stage of Tertiary Education,No,0.90090,57,57,0.82264,0.97916
1985,17-29 y.,No answer / don't know,No,0.95915,51,51,0.90428,1.01402
1985,17-29 y.,Pre-primary Level,No,0.92566,173,173,0.88646,0.96487
1985,17-29 y.,Primary Level,No,0.84604,138,138,0.78560,0.90647
1985,17-29 y.,Lower Secondary Level,Yes,0.08142,98,959,0.06411,0.09874
1985,17-29 y.,Lower Secondary Level,No,0.91858,861,959,0.90126,0.93589
1985,17-29 y.,Upper Secondary Level,Yes,0.11554,163,1428,0.09895,0.13213
1985,17-29 y.,Upper Secondary Level,No,0.88446,1265,1428,0.86787,0.90105
1985,17-29 y.,Post-secondary Non-tertiary Level,No,0.93368,102,102,0.88515,0.98221
1985,17-29 y.,First Stage of Tertiary Education,No,0.88156,98,98,0.81725,0.94586
1985,17-29 y.,Second Stage of Tertiary Education,No,0.89279,107,107,0.83390,0.95169
1985,30-45 y.,Primary Level,Yes,0.12813,44,320,0.09145,0.16481
1985,30-45 y.,Primary Level,No,0.87187,276,320,0.83519,0.90855
1985,30-45 y.,Lower Secondary Level,Yes,0.11616,78,674,0.09195,0.14037
1985,30-45 y.,Lower Secondary Level,No,0.88384,596,674,0.85963,0.90805
1985,30-45 y.,Upper Secondary Level,Yes,0.09203,172,1758,0.07851,0.10555
1985,30-45 y.,Upper Secondary Level,No,0.90797,1586,1758,0.89445,0.92149
1985,30-45 y.,Post-secondary Non-tertiary Level,No,0.90986,78,78,0.84589,0.97382
1985,30-45 y.,First Stage of Tertiary Education,Yes,0.13116,32,233,0.08772,0.17460
1985,30-45 y.,First Stage of Tertiary Education,No,0.86884,201,233,0.82540,0.91228
1985,30-45 y.,Second Stage of Tertiary Education,No,0.92288,334,334,0.89423,0.95154
1985,46-65 y.,Primary Level,Yes,0.12300,36,336,0.08783,0.15817
1985,46-65 y.,Primary Level,No,0.87700,300,336,0.84183,0.91217
1985,46-65 y.,Lower Secondary Level,Yes,0.11633,119,997,0.09642,0.13624
