year,pgisced97,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,male,No,0.90890,88,88,0.84843,0.96936
1984,Pre-primary Level,female,No,0.94239,90,90,0.89398,0.99080
1984,Primary Level,male,Yes,0.08729,47,410,0.05993,0.11464
1984,Primary Level,male,No,0.91102,363,410,0.88343,0.93862
1984,Primary Level,female,Yes,0.15178,88,588,0.12275,0.18080
1984,Primary Level,female,No,0.84822,500,588,0.81920,0.87725
1984,Lower Secondary Level,male,Yes,0.11923,117,1141,0.10041,0.13804
1984,Lower Secondary Level,male,No,0.87633,1024,1141,0.85722,0.89544
1984,Lower Secondary Level,female,Yes,0.12439,286,2300,0.11090,0.13788
1984,Lower Secondary Level,female,No,0.87252,2014,2300,0.85889,0.88615
1984,Upper Secondary Level,male,Yes,0.10041,307,3157,0.08992,0.11089
1984,Upper Secondary Level,male,No,0.89886,2850,3157,0.88834,0.90938
1984,Upper Secondary Level,female,Yes,0.12324,323,2540,0.11045,0.13603
1984,Upper Secondary Level,female,No,0.87440,2217,2540,0.86151,0.88729
1984,Post-secondary Non-tertiary Level,male,No,0.91790,171,171,0.87664,0.95917
1984,Post-secondary Non-tertiary Level,female,No,0.91337,102,102,0.85851,0.96823
1984,First Stage of Tertiary Education,male,Yes,0.12828,48,382,0.09470,0.16186
1984,First Stage of Tertiary Education,male,No,0.86782,334,382,0.83381,0.90182
1984,First Stage of Tertiary Education,female,Yes,0.15136,40,275,0.10893,0.19380
1984,First Stage of Tertiary Education,female,No,0.84864,235,275,0.80620,0.89107
1984,Second Stage of Tertiary Education,male,Yes,0.06796,34,532,0.04655,0.08936
1984,Second Stage of Tertiary Education,male,No,0.92504,498,532,0.90264,0.94743
1984,Second Stage of Tertiary Education,female,No,0.88630,228,228,0.84501,0.92760
1985,Pre-primary Level,male,No,0.96409,108,108,0.92884,0.99935
1985,Pre-primary Level,female,No,0.86132,65,65,0.77665,0.94600
1985,Primary Level,male,Yes,0.08697,39,345,0.05719,0.11674
1985,Primary Level,male,No,0.91180,306,345,0.88183,0.94177
1985,Primary Level,female,Yes,0.17932,68,488,0.14524,0.21339
1985,Primary Level,female,No,0.82068,420,488,0.78661,0.85476
1985,Lower Secondary Level,male,Yes,0.09145,96,1024,0.07379,0.10912
1985,Lower Secondary Level,male,No,0.90668,928,1024,0.88886,0.92451
1985,Lower Secondary Level,female,Yes,0.12925,267,2027,0.11464,0.14386
1985,Lower Secondary Level,female,No,0.86663,1760,2027,0.85183,0.88144
1985,Upper Secondary Level,male,Yes,0.10010,275,2836,0.08905,0.11114
1985,Upper Secondary Level,male,No,0.89774,2561,2836,0.88658,0.90889
1985,Upper Secondary Level,female,Yes,0.12647,308,2337,0.11299,0.13994
1985,Upper Secondary Level,female,No,0.87259,2029,2337,0.85907,0.88611
1985,Post-secondary Non-tertiary Level,male,No,0.94492,159,159,0.90935,0.98050
1985,Post-secondary Non-tertiary Level,female,No,0.89942,92,92,0.83762,0.96122
1985,First Stage of Tertiary Education,male,Yes,0.09674,36,360,0.06616,0.12732
1985,First Stage of Tertiary Education,male,No,0.90326,324,360,0.87268,0.93384
1985,First Stage of Tertiary Education,female,Yes,0.16336,44,258,0.11816,0.20856
1985,First Stage of Tertiary Education,female,No,0.83339,214,258,0.78783,0.87895
1985,Second Stage of Tertiary Education,male,Yes,0.06880,31,508,0.04677,0.09083
1985,Second Stage of Tertiary Education,male,No,0.93083,477,508,0.90874,0.95292
1985,Second Stage of Tertiary Education,female,Yes,0.15909,41,246,0.11329,0.20489
1985,Second Stage of Tertiary Education,female,No,0.84091,205,246,0.79511,0.88671
1986,Pre-primary Level,male,No,0.91371,105,105,0.85974,0.96768
1986,Pre-primary Level,female,No,0.93659,68,68,0.87824,0.99495
1986,Primary Level,male,Yes,0.11332,44,321,0.07859,0.14805
1986,Primary Level,male,No,0.88295,277,321,0.84772,0.91817
1986,Primary Level,female,Yes,0.15141,65,455,0.11844,0.18438
1986,Primary Level,female,No,0.84859,390,455,0.81562,0.88156
1986,Lower Secondary Level,male,Yes,0.11776,112,1006,0.09783,0.13769
1986,Lower Secondary Level,male,No,0.88019,894,1006,0.86011,0.90026
1986,Lower Secondary Level,female,Yes,0.12869,251,1893,0.11360,0.14377
1986,Lower Secondary Level,female,No,0.86739,1642,1893,0.85211,0.88268
1986,Upper Secondary Level,male,Yes,0.11361,299,2730,0.10170,0.12551
1986,Upper Secondary Level,male,No,0.88485,2431,2730,0.87287,0.89682
1986,Upper Secondary Level,female,Yes,0.14096,316,2250,0.12658,0.15534
1986,Upper Secondary Level,female,No,0.85400,1934,2250,0.83941,0.86859
1986,Post-secondary Non-tertiary Level,male,No,0.90713,145,145,0.85972,0.95454
1986,Post-secondary Non-tertiary Level,female,No,0.91611,96,96,0.86036,0.97186
1986,First Stage of Tertiary Education,male,Yes,0.11441,40,333,0.08017,0.14865
1986,First Stage of Tertiary Education,male,No,0.88559,293,333,0.85135,0.91983
1986,First Stage of Tertiary Education,female,Yes,0.12455,32,246,0.08320,0.16589
1986,First Stage of Tertiary Education,female,No,0.86783,214,246,0.82542,0.91024
1986,Second Stage of Tertiary Education,male,Yes,0.08700,40,504,0.06237,0.11163
1986,Second Stage of Tertiary Education,male,No,0.90947,464,504,0.88439,0.93454
1986,Second Stage of Tertiary Education,female,Yes,0.14877,34,244,0.10403,0.19351
1986,Second Stage of Tertiary Education,female,No,0.85123,210,244,0.80649,0.89597
1987,Pre-primary Level,male,No,0.97573,97,97,0.94495,1.00652
1987,Pre-primary Level,female,No,0.84825,79,79,0.76863,0.92787
1987,Primary Level,male,No,0.91775,278,278,0.88540,0.95011
1987,Primary Level,female,Yes,0.16446,63,442,0.12987,0.19906
