year,pgisced97,regtyp,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,Urban regions,No,0.91843,138,138,0.87260,0.96426
1985,Pre-primary Level,Rural regions,No,0.94224,35,35,0.86383,1.02066
1985,Primary Level,Urban regions,Yes,0.12817,88,726,0.10383,0.15250
1985,Primary Level,Urban regions,No,0.87110,638,726,0.84671,0.89549
1985,Primary Level,Rural regions,No,0.83405,88,88,0.75587,0.91223
1985,Lower Secondary Level,Urban regions,Yes,0.11814,277,2312,0.10498,0.13130
1985,Lower Secondary Level,Urban regions,No,0.87802,2035,2312,0.86468,0.89136
1985,Lower Secondary Level,Rural regions,Yes,0.12263,86,739,0.09897,0.14630
1985,Lower Secondary Level,Rural regions,No,0.87464,653,739,0.85075,0.89853
1985,Upper Secondary Level,Urban regions,Yes,0.10889,444,4035,0.09928,0.11850
1985,Upper Secondary Level,Urban regions,No,0.88927,3591,4035,0.87959,0.89895
1985,Upper Secondary Level,Rural regions,Yes,0.12380,139,1138,0.10465,0.14294
1985,Upper Secondary Level,Rural regions,No,0.87539,999,1138,0.85620,0.89459
1985,Post-secondary Non-tertiary Level,Urban regions,No,0.94097,213,213,0.90924,0.97269
1985,Post-secondary Non-tertiary Level,Rural regions,No,0.85966,38,38,0.74775,0.97158
1985,First Stage of Tertiary Education,Urban regions,Yes,0.11600,59,483,0.08741,0.14458
1985,First Stage of Tertiary Education,Urban regions,No,0.88221,424,483,0.85344,0.91099
1985,First Stage of Tertiary Education,Rural regions,No,0.84571,114,114,0.77910,0.91231
1985,Second Stage of Tertiary Education,Urban regions,Yes,0.09826,61,632,0.07503,0.12148
1985,Second Stage of Tertiary Education,Urban regions,No,0.90144,571,632,0.87818,0.92470
1985,Second Stage of Tertiary Education,Rural regions,No,0.89879,111,111,0.84243,0.95516
1986,Pre-primary Level,Urban regions,No,0.92046,153,153,0.87744,0.96347
1986,Primary Level,Urban regions,Yes,0.13210,91,672,0.10648,0.15772
1986,Primary Level,Urban regions,No,0.86727,581,672,0.84160,0.89294
1986,Primary Level,Rural regions,No,0.85375,86,86,0.77863,0.92887
1986,Lower Secondary Level,Urban regions,Yes,0.12403,273,2200,0.11025,0.13781
1986,Lower Secondary Level,Urban regions,No,0.87278,1927,2200,0.85885,0.88671
1986,Lower Secondary Level,Rural regions,Yes,0.13019,90,699,0.10523,0.15516
1986,Lower Secondary Level,Rural regions,No,0.86580,609,699,0.84051,0.89109
1986,Upper Secondary Level,Urban regions,Yes,0.12876,487,3895,0.11824,0.13928
