year,migback,regtyp,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,No answer / don't know,Yes,0.11236,957,8652,0.10570,0.11901
1984,No migration background,No answer / don't know,No,0.88764,7695,8652,0.88099,0.89430
1984,Direct migration background,No answer / don't know,Yes,0.12151,403,3361,0.11046,0.13256
1984,Direct migration background,No answer / don't know,No,0.87849,2958,3361,0.86744,0.88954
1984,Indirect migration background,No answer / don't know,No,0.98900,120,120,0.97026,1.00774
1985,No migration background,Urban regions,Yes,0.11048,658,5993,0.10254,0.11842
1985,No migration background,Urban regions,No,0.88952,5335,5993,0.88158,0.89746
1985,No migration background,Rural regions,Yes,0.12519,243,1969,0.11057,0.13981
1985,No migration background,Rural regions,No,0.87481,1726,1969,0.86019,0.88943
1985,Direct migration background,Urban regions,Yes,0.10140,291,2551,0.08968,0.11312
1985,Direct migration background,Urban regions,No,0.89860,2260,2551,0.88688,0.91032
1985,Direct migration background,Rural regions,Yes,0.11806,44,351,0.08425,0.15186
1985,Direct migration background,Rural regions,No,0.88194,307,351,0.84814,0.91575
1985,Indirect migration background,Urban regions,No,0.88726,106,106,0.82677,0.94776
1986,No migration background,Urban regions,Yes,0.12137,670,5740,0.11292,0.12982
1986,No migration background,Urban regions,No,0.87863,5070,5740,0.87018,0.88708
1986,No migration background,Rural regions,Yes,0.12351,220,1842,0.10848,0.13854
1986,No migration background,Rural regions,No,0.87649,1622,1842,0.86146,0.89152
1986,Direct migration background,Urban regions,Yes,0.13941,337,2458,0.12571,0.15311
1986,Direct migration background,Urban regions,No,0.86059,2121,2458,0.84689,0.87429
1986,Direct migration background,Rural regions,Yes,0.09252,47,361,0.06259,0.12245
1986,Direct migration background,Rural regions,No,0.90748,314,361,0.87755,0.93741
1986,Indirect migration background,Urban regions,No,0.78805,118,118,0.71400,0.86211
1987,No migration background,Urban regions,Yes,0.12460,674,5629,0.11597,0.13322
1987,No migration background,Urban regions,No,0.87540,4955,5629,0.86678,0.88403
1987,No migration background,Rural regions,Yes,0.12866,226,1809,0.11322,0.14409
1987,No migration background,Rural regions,No,0.87134,1583,1809,0.85591,0.88678
1987,Direct migration background,Urban regions,Yes,0.11827,271,2440,0.10546,0.13109
1987,Direct migration background,Urban regions,No,0.88173,2169,2440,0.86891,0.89454
1987,Direct migration background,Rural regions,Yes,0.11250,47,370,0.08026,0.14474
1987,Direct migration background,Rural regions,No,0.88750,323,370,0.85526,0.91974
1987,Indirect migration background,Urban regions,No,0.88916,136,136,0.83620,0.94212
1988,No migration background,Urban regions,Yes,0.12976,682,5369,0.12077,0.13875
1988,No migration background,Urban regions,No,0.87024,4687,5369,0.86125,0.87923
1988,No migration background,Rural regions,Yes,0.12013,199,1690,0.10463,0.13564
1988,No migration background,Rural regions,No,0.87987,1491,1690,0.86436,0.89537
1988,Direct migration background,Urban regions,Yes,0.11291,264,2320,0.10003,0.12579
1988,Direct migration background,Urban regions,No,0.88709,2056,2320,0.87421,0.89997
1988,Direct migration background,Rural regions,Yes,0.11616,37,339,0.08200,0.15032
1988,Direct migration background,Rural regions,No,0.88384,302,339,0.84968,0.91800
1988,Indirect migration background,Urban regions,No,0.91921,173,173,0.87848,0.95993
1989,No migration background,Urban regions,Yes,0.12148,620,5194,0.11260,0.13037
1989,No migration background,Urban regions,No,0.87852,4574,5194,0.86963,0.88740
1989,No migration background,Rural regions,Yes,0.13743,211,1606,0.12059,0.15428
1989,No migration background,Rural regions,No,0.86257,1395,1606,0.84572,0.87941
1989,Direct migration background,Urban regions,Yes,0.10303,253,2255,0.09048,0.11558
1989,Direct migration background,Urban regions,No,0.89697,2002,2255,0.88442,0.90952
1989,Direct migration background,Rural regions,Yes,0.14576,38,319,0.10698,0.18454
1989,Direct migration background,Rural regions,No,0.85424,281,319,0.81546,0.89302
1989,Indirect migration background,Urban regions,No,0.90588,202,202,0.86551,0.94625
1989,Indirect migration background,Rural regions,No,0.94083,31,31,0.85640,1.02526
1991,No migration background,Urban regions,Yes,0.13592,649,4939,0.12636,0.14548
1991,No migration background,Urban regions,No,0.86408,4290,4939,0.85452,0.87364
1991,No migration background,Rural regions,Yes,0.13624,212,1622,0.11954,0.15294
1991,No migration background,Rural regions,No,0.86376,1410,1622,0.84706,0.88046
1991,Direct migration background,Urban regions,Yes,0.11337,236,2160,0.09999,0.12674
1991,Direct migration background,Urban regions,No,0.88663,1924,2160,0.87326,0.90001
1991,Direct migration background,Rural regions,Yes,0.15937,46,313,0.11876,0.19999
1991,Direct migration background,Rural regions,No,0.84063,267,313,0.80001,0.88124
1991,Indirect migration background,Urban regions,No,0.90703,275,275,0.87264,0.94141
1991,Indirect migration background,Rural regions,No,0.95473,43,43,0.89185,1.01760
1992,No migration background,No answer / don't know,No,0.86966,99,99,0.80300,0.93632
1992,No migration background,Urban regions,Yes,0.12143,708,6161,0.11327,0.12958
1992,No migration background,Urban regions,No,0.87857,5453,6161,0.87042,0.88673
1992,No migration background,Rural regions,Yes,0.12448,437,4038,0.11430,0.13467
1992,No migration background,Rural regions,No,0.87552,3601,4038,0.86533,0.88570
1992,Direct migration background,Urban regions,Yes,0.11786,237,2133,0.10417,0.13155
1992,Direct migration background,Urban regions,No,0.88214,1896,2133,0.86845,0.89583
1992,Direct migration background,Rural regions,Yes,0.10844,43,407,0.07820,0.13869
1992,Direct migration background,Rural regions,No,0.89156,364,407,0.86131,0.92180
1992,Indirect migration background,Urban regions,Yes,0.14477,36,342,0.10743,0.18212
1992,Indirect migration background,Urban regions,No,0.85523,306,342,0.81788,0.89257
1992,Indirect migration background,Rural regions,No,0.91980,58,58,0.84929,0.99031
1994,No migration background,Urban regions,Yes,0.13540,745,6071,0.12679,0.14401
1994,No migration background,Urban regions,No,0.86460,5326,6071,0.85599,0.87321
1994,No migration background,Rural regions,Yes,0.12641,447,3927,0.11601,0.13680
1994,No migration background,Rural regions,No,0.87359,3480,3927,0.86320,0.88399
1994,Direct migration background,Urban regions,Yes,0.11433,217,1967,0.10026,0.12839
1994,Direct migration background,Urban regions,No,0.88567,1750,1967,0.87161,0.89974
1994,Direct migration background,Rural regions,Yes,0.10158,41,383,0.07128,0.13187
1994,Direct migration background,Rural regions,No,0.89842,342,383,0.86813,0.92872
1994,Indirect migration background,Urban regions,Yes,0.12066,39,412,0.08916,0.15215
1994,Indirect migration background,Urban regions,No,0.87934,373,412,0.84785,0.91084
1994,Indirect migration background,Rural regions,No,0.86698,65,65,0.78378,0.95018
1995,No migration background,Urban regions,Yes,0.12642,696,5968,0.11799,0.13485
1995,No migration background,Urban regions,No,0.87358,5272,5968,0.86515,0.88201
1995,No migration background,Rural regions,Yes,0.13365,509,3981,0.12308,0.14423
1995,No migration background,Rural regions,No,0.86635,3472,3981,0.85577,0.87692
1995,Direct migration background,Urban regions,Yes,0.12163,271,2296,0.10825,0.13500
1995,Direct migration background,Urban regions,No,0.87837,2025,2296,0.86500,0.89175
1995,Direct migration background,Rural regions,Yes,0.10860,48,469,0.08041,0.13679
1995,Direct migration background,Rural regions,No,0.89140,421,469,0.86321,0.91959
1995,Indirect migration background,Urban regions,Yes,0.06387,38,425,0.04060,0.08715
1995,Indirect migration background,Urban regions,No,0.93613,387,425,0.91285,0.95940
1995,Indirect migration background,Rural regions,No,0.95821,71,71,0.91133,1.00509
1996,No migration background,Urban regions,Yes,0.12305,700,5928,0.11468,0.13141
1996,No migration background,Urban regions,No,0.87695,5228,5928,0.86859,0.88532
1996,No migration background,Rural regions,Yes,0.13997,509,3946,0.12914,0.15079
1996,No migration background,Rural regions,No,0.86003,3437,3946,0.84921,0.87086
1996,Direct migration background,Urban regions,Yes,0.13620,274,2133,0.12164,0.15076
1996,Direct migration background,Urban regions,No,0.86380,1859,2133,0.84924,0.87836
1996,Direct migration background,Rural regions,Yes,0.11707,50,456,0.08753,0.14661
1996,Direct migration background,Rural regions,No,0.88293,406,456,0.85339,0.91247
