year,age_gr,regtyp,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Yes,0.09980,268,2496,0.08804,0.11156
1985,17-29 y.,Urban regions,No,0.89983,2228,2496,0.88804,0.91161
1985,17-29 y.,Rural regions,Yes,0.10537,74,641,0.08158,0.12916
1985,17-29 y.,Rural regions,No,0.89300,567,641,0.86905,0.91695
1985,30-45 y.,Urban regions,Yes,0.09139,283,2745,0.08061,0.10217
1985,30-45 y.,Urban regions,No,0.90549,2462,2745,0.89455,0.91644
1985,30-45 y.,Rural regions,Yes,0.12070,82,721,0.09690,0.14450
1985,30-45 y.,Rural regions,No,0.87600,639,721,0.85192,0.90007
1985,46-65 y.,Urban regions,Yes,0.10687,289,2612,0.09502,0.11872
1985,46-65 y.,Urban regions,No,0.89211,2323,2612,0.88020,0.90401
1985,46-65 y.,Rural regions,Yes,0.11879,86,688,0.09460,0.14299
1985,46-65 y.,Rural regions,No,0.88121,602,688,0.85701,0.90540
1985,66 and older,Urban regions,Yes,0.15600,126,814,0.13105,0.18094
1985,66 and older,Urban regions,No,0.83879,688,814,0.81351,0.86406
1985,66 and older,Rural regions,Yes,0.16368,46,288,0.12087,0.20648
1985,66 and older,Rural regions,No,0.83632,242,288,0.79352,0.87913
1986,17-29 y.,Urban regions,Yes,0.11480,287,2421,0.10210,0.12750
1986,17-29 y.,Urban regions,No,0.88426,2134,2421,0.87151,0.89701
1986,17-29 y.,Rural regions,Yes,0.11924,76,632,0.09396,0.14453
1986,17-29 y.,Rural regions,No,0.88076,556,632,0.85547,0.90604
1986,30-45 y.,Urban regions,Yes,0.09936,281,2590,0.08784,0.11089
1986,30-45 y.,Urban regions,No,0.89800,2309,2590,0.88634,0.90966
1986,30-45 y.,Rural regions,Yes,0.09728,70,669,0.07481,0.11975
1986,30-45 y.,Rural regions,No,0.89931,599,669,0.87649,0.92213
1986,46-65 y.,Urban regions,Yes,0.11710,315,2561,0.10464,0.12955
1986,46-65 y.,Urban regions,No,0.88089,2246,2561,0.86834,0.89343
1986,46-65 y.,Rural regions,Yes,0.11845,80,660,0.09378,0.14313
1986,46-65 y.,Rural regions,No,0.87712,580,660,0.85206,0.90219
1986,66 and older,Urban regions,Yes,0.18548,139,759,0.15781,0.21315
1986,66 and older,Urban regions,No,0.80480,620,759,0.77658,0.83301
1986,66 and older,Rural regions,Yes,0.15722,43,262,0.11306,0.20138
1986,66 and older,Rural regions,No,0.83651,219,262,0.79164,0.88137
1987,17-29 y.,Urban regions,Yes,0.11138,273,2364,0.09870,0.12407
1987,17-29 y.,Urban regions,No,0.88475,2091,2364,0.87188,0.89763
1987,17-29 y.,Rural regions,Yes,0.13044,83,636,0.10425,0.15664
1987,17-29 y.,Rural regions,No,0.86863,553,636,0.84236,0.89490
1987,30-45 y.,Urban regions,Yes,0.10303,263,2511,0.09114,0.11493
1987,30-45 y.,Urban regions,No,0.89254,2248,2511,0.88043,0.90466
1987,30-45 y.,Rural regions,Yes,0.09784,64,648,0.07495,0.12074
1987,30-45 y.,Rural regions,No,0.89985,584,648,0.87672,0.92299
1987,46-65 y.,Urban regions,Yes,0.10726,273,2547,0.09524,0.11928
1987,46-65 y.,Urban regions,No,0.88760,2274,2547,0.87533,0.89987
1987,46-65 y.,Rural regions,Yes,0.10640,76,650,0.08268,0.13012
1987,46-65 y.,Rural regions,No,0.88811,574,650,0.86386,0.91236
1987,66 and older,Urban regions,Yes,0.19782,150,797,0.17015,0.22550
1987,66 and older,Urban regions,No,0.79710,647,797,0.76916,0.82503
1987,66 and older,Rural regions,Yes,0.19420,52,267,0.14666,0.24174
1987,66 and older,Rural regions,No,0.80085,215,267,0.75286,0.84884
1988,17-29 y.,Urban regions,Yes,0.10646,253,2297,0.09385,0.11908
1988,17-29 y.,Urban regions,No,0.89094,2044,2297,0.87819,0.90369
1988,17-29 y.,Rural regions,Yes,0.13470,76,571,0.10667,0.16273
1988,17-29 y.,Rural regions,No,0.86530,495,571,0.83727,0.89333
1988,30-45 y.,Urban regions,Yes,0.11142,262,2329,0.09864,0.12420
1988,30-45 y.,Urban regions,No,0.88611,2067,2329,0.87321,0.89902
1988,30-45 y.,Rural regions,Yes,0.09245,58,616,0.06956,0.11534
1988,30-45 y.,Rural regions,No,0.90345,558,616,0.88011,0.92679
