year,age_gr,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Yes,0.09424,338,3426,0.08446,0.10403
1984,17-29 y.,No,0.90178,3088,3426,0.89181,0.91174
1984,30-45 y.,Yes,0.10402,417,3899,0.09443,0.11360
1984,30-45 y.,No,0.89371,3482,3899,0.88403,0.90338
1984,46-65 y.,Yes,0.11333,419,3549,0.10290,0.12376
1984,46-65 y.,No,0.88515,3130,3549,0.87466,0.89564
1984,66 and older,Yes,0.15054,192,1265,0.13083,0.17025
1984,66 and older,No,0.84774,1073,1265,0.82793,0.86755
1985,17-29 y.,Yes,0.10112,342,3137,0.09057,0.11167
1985,17-29 y.,No,0.89821,2795,3137,0.88762,0.90879
1985,30-45 y.,Yes,0.09830,365,3466,0.08839,0.10821
1985,30-45 y.,No,0.89854,3101,3466,0.88848,0.90859
1985,46-65 y.,Yes,0.10972,375,3300,0.09906,0.12039
1985,46-65 y.,No,0.88950,2925,3300,0.87880,0.90019
1985,66 and older,Yes,0.15807,172,1102,0.13653,0.17962
1985,66 and older,No,0.83812,930,1102,0.81636,0.85988
1986,17-29 y.,Yes,0.11588,363,3053,0.10452,0.12723
1986,17-29 y.,No,0.88341,2690,3053,0.87202,0.89480
1986,30-45 y.,Yes,0.09888,351,3259,0.08863,0.10913
1986,30-45 y.,No,0.89830,2908,3259,0.88792,0.90868
1986,46-65 y.,Yes,0.11741,395,3221,0.10629,0.12853
1986,46-65 y.,No,0.88001,2826,3221,0.86878,0.89123
1986,66 and older,Yes,0.17809,182,1021,0.15461,0.20157
1986,66 and older,No,0.81309,839,1021,0.78917,0.83702
1987,17-29 y.,Yes,0.11594,356,3000,0.10448,0.12739
1987,17-29 y.,No,0.88090,2644,3000,0.86931,0.89250
1987,30-45 y.,Yes,0.10183,327,3159,0.09129,0.11238
1987,30-45 y.,No,0.89423,2832,3159,0.88351,0.90496
1987,46-65 y.,Yes,0.10706,349,3197,0.09634,0.11778
1987,46-65 y.,No,0.88772,2848,3197,0.87677,0.89867
1987,66 and older,Yes,0.19690,202,1064,0.17299,0.22080
1987,66 and older,No,0.79805,862,1064,0.77392,0.82219
1988,17-29 y.,Yes,0.11293,329,2868,0.10135,0.12452
1988,17-29 y.,No,0.88507,2539,2868,0.87339,0.89674
1988,30-45 y.,Yes,0.10703,320,2945,0.09586,0.11819
1988,30-45 y.,No,0.89013,2625,2945,0.87883,0.90143
1988,46-65 y.,Yes,0.11672,365,3094,0.10540,0.12803
1988,46-65 y.,No,0.87730,2729,3094,0.86574,0.88887
1988,66 and older,Yes,0.18195,187,1031,0.15839,0.20551
1988,66 and older,No,0.81351,844,1031,0.78973,0.83730
1989,17-29 y.,Yes,0.11058,327,2820,0.09900,0.12215
1989,17-29 y.,No,0.88763,2493,2820,0.87598,0.89929
1989,30-45 y.,Yes,0.10218,299,2836,0.09103,0.11333
1989,30-45 y.,No,0.89643,2537,2836,0.88522,0.90765
1989,46-65 y.,Yes,0.11233,335,2969,0.10097,0.12369
1989,46-65 y.,No,0.88412,2634,2969,0.87260,0.89563
1989,66 and older,Yes,0.18777,184,1005,0.16361,0.21192
1989,66 and older,No,0.80573,821,1005,0.78125,0.83020
1991,17-29 y.,Yes,0.11213,350,2681,0.10018,0.12407
1991,17-29 y.,No,0.67358,2331,2681,0.65582,0.69133
1991,30-45 y.,Yes,0.07739,277,2810,0.06751,0.08727
1991,30-45 y.,No,0.71686,2533,2810,0.70020,0.73352
1991,46-65 y.,Yes,0.09022,331,2842,0.07968,0.10075
1991,46-65 y.,No,0.68601,2511,2842,0.66894,0.70307
1991,66 and older,Yes,0.16856,211,1045,0.14585,0.19127
1991,66 and older,No,0.64830,834,1045,0.61933,0.67726
1992,17-29 y.,Yes,0.11282,395,3567,0.10243,0.12320
1992,17-29 y.,No,0.88520,3172,3567,0.87474,0.89567
1992,30-45 y.,Yes,0.09770,401,4243,0.08877,0.10664
1992,30-45 y.,No,0.89765,3842,4243,0.88853,0.90677
1992,46-65 y.,Yes,0.10212,409,4017,0.09275,0.11148
1992,46-65 y.,No,0.89390,3608,4017,0.88438,0.90343
1992,66 and older,Yes,0.20347,278,1434,0.18262,0.22431
1992,66 and older,No,0.78452,1156,1434,0.76323,0.80581
1994,17-29 y.,Yes,0.10214,343,3334,0.09186,0.11242
1994,17-29 y.,No,0.89532,2991,3334,0.88492,0.90571
1994,30-45 y.,Yes,0.09483,397,4140,0.08591,0.10376
1994,30-45 y.,No,0.90245,3743,4140,0.89341,0.91149
1994,46-65 y.,Yes,0.12085,441,3875,0.11059,0.13112
1994,46-65 y.,No,0.87277,3434,3875,0.86228,0.88327
1994,66 and older,Yes,0.22809,316,1484,0.20673,0.24944
1994,66 and older,No,0.76293,1168,1484,0.74128,0.78457
1995,17-29 y.,Yes,0.10668,362,3339,0.09621,0.11716
1995,17-29 y.,No,0.88880,2977,3339,0.87813,0.89946
1995,30-45 y.,Yes,0.09416,434,4421,0.08555,0.10277
1995,30-45 y.,No,0.89970,3987,4421,0.89085,0.90856
1995,46-65 y.,Yes,0.12237,474,3940,0.11214,0.13260
1995,46-65 y.,No,0.87012,3466,3940,0.85962,0.88062
1995,66 and older,Yes,0.20113,297,1515,0.18094,0.22132
1995,66 and older,No,0.79181,1218,1515,0.77136,0.81226
1996,17-29 y.,Yes,0.09733,330,3156,0.08698,0.10767
1996,17-29 y.,No,0.89944,2826,3156,0.88895,0.90994
1996,30-45 y.,Yes,0.09855,456,4423,0.08976,0.10733
1996,30-45 y.,No,0.89846,3967,4423,0.88956,0.90736
1996,46-65 y.,Yes,0.12267,483,3886,0.11236,0.13299
1996,46-65 y.,No,0.86774,3403,3886,0.85709,0.87839
1996,66 and older,Yes,0.21321,319,1539,0.19274,0.23368
1996,66 and older,No,0.77895,1220,1539,0.75821,0.79968
1997,17-29 y.,Yes,0.10565,318,3016,0.09468,0.11662
1997,17-29 y.,No,0.89085,2698,3016,0.87972,0.90198
1997,30-45 y.,Yes,0.09984,446,4348,0.09092,0.10875
1997,30-45 y.,No,0.89662,3902,4348,0.88757,0.90567
1997,46-65 y.,Yes,0.12348,475,3839,0.11307,0.13389
1997,46-65 y.,No,0.87196,3364,3839,0.86139,0.88253
1997,66 and older,Yes,0.19991,310,1574,0.18015,0.21968
1997,66 and older,No,0.79084,1264,1574,0.77074,0.81094
1998,17-29 y.,Yes,0.10561,338,3160,0.09489,0.11633
1998,17-29 y.,No,0.89241,2822,3160,0.88160,0.90322
1998,30-45 y.,Yes,0.10114,492,4820,0.09263,0.10965
1998,30-45 y.,No,0.89550,4328,4820,0.88686,0.90414
1998,46-65 y.,Yes,0.12366,540,4387,0.11392,0.13340
1998,46-65 y.,No,0.87437,3847,4387,0.86456,0.88418
1998,66 and older,Yes,0.19356,363,1851,0.17555,0.21156
1998,66 and older,No,0.80412,1488,1851,0.78604,0.82221
1999,17-29 y.,Yes,0.09367,281,2971,0.08319,0.10415
1999,17-29 y.,No,0.90526,2690,2971,0.89473,0.91579
1999,30-45 y.,Yes,0.10131,476,4710,0.09269,0.10992
1999,30-45 y.,No,0.89784,4234,4710,0.88919,0.90649
1999,46-65 y.,Yes,0.13258,557,4177,0.12230,0.14287
1999,46-65 y.,No,0.86413,3620,4177,0.85373,0.87452
1999,66 and older,Yes,0.20189,355,1796,0.18332,0.22046
1999,66 and older,No,0.79585,1441,1796,0.77720,0.81450
