year,migback,pgisced97,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Pre-primary Level,No,0.95998,151,151,0.92861,0.99135
1984,No migration background,Primary Level,No,0.89053,69,69,0.81632,0.96474
1984,No migration background,Lower Secondary Level,Yes,0.12164,273,2333,0.10837,0.13491
1984,No migration background,Lower Secondary Level,No,0.87836,2060,2333,0.86509,0.89163
1984,No migration background,Upper Secondary Level,Yes,0.11189,518,4622,0.10280,0.12098
1984,No migration background,Upper Secondary Level,No,0.88811,4104,4622,0.87902,0.89720
1984,No migration background,Post-secondary Non-tertiary Level,No,0.93379,171,171,0.89641,0.97117
1984,No migration background,First Stage of Tertiary Education,Yes,0.13674,79,603,0.10930,0.16419
1984,No migration background,First Stage of Tertiary Education,No,0.86326,524,603,0.83581,0.89070
1984,No migration background,Second Stage of Tertiary Education,Yes,0.08795,58,663,0.06637,0.10953
1984,No migration background,Second Stage of Tertiary Education,No,0.91205,605,663,0.89047,0.93363
1984,Direct migration background,No answer / don't know,No,0.91093,47,47,0.82862,0.99325
1984,Direct migration background,Primary Level,Yes,0.13133,127,917,0.10945,0.15320
1984,Direct migration background,Primary Level,No,0.86867,790,917,0.84680,0.89055
1984,Direct migration background,Lower Secondary Level,Yes,0.14549,129,1055,0.12420,0.16677
1984,Direct migration background,Lower Secondary Level,No,0.85451,926,1055,0.83323,0.87580
1984,Direct migration background,Upper Secondary Level,Yes,0.10481,107,1023,0.08603,0.12359
1984,Direct migration background,Upper Secondary Level,No,0.89519,916,1023,0.87641,0.91397
1984,Direct migration background,Post-secondary Non-tertiary Level,No,0.84053,101,101,0.76877,0.91229
1984,Direct migration background,First Stage of Tertiary Education,No,0.82672,41,41,0.70943,0.94402
1984,Direct migration background,Second Stage of Tertiary Education,No,0.95825,118,118,0.92201,0.99450
1984,Indirect migration background,Lower Secondary Level,No,0.99529,52,52,0.97650,1.01408
1984,Indirect migration background,Upper Secondary Level,No,0.97737,47,47,0.93439,1.02035
1985,No migration background,No answer / don't know,No,0.92956,42,42,0.85123,1.00789
1985,No migration background,Pre-primary Level,No,0.92214,142,142,0.87792,0.96637
1985,No migration background,Primary Level,No,0.83802,68,68,0.74979,0.92624
1985,No migration background,Lower Secondary Level,Yes,0.11854,234,2082,0.10465,0.13243
1985,No migration background,Lower Secondary Level,No,0.88146,1848,2082,0.86757,0.89535
1985,No migration background,Upper Secondary Level,Yes,0.11420,480,4214,0.10460,0.12381
1985,No migration background,Upper Secondary Level,No,0.88580,3734,4214,0.87619,0.89540
1985,No migration background,Post-secondary Non-tertiary Level,No,0.92547,158,158,0.88438,0.96655
1985,No migration background,First Stage of Tertiary Education,Yes,0.12663,74,567,0.09923,0.15403
1985,No migration background,First Stage of Tertiary Education,No,0.87337,493,567,0.84597,0.90077
1985,No migration background,Second Stage of Tertiary Education,Yes,0.10366,65,641,0.08004,0.12727
1985,No migration background,Second Stage of Tertiary Education,No,0.89634,576,641,0.87273,0.91996
1985,Direct migration background,No answer / don't know,No,0.90386,60,60,0.82865,0.97908
1985,Direct migration background,Primary Level,Yes,0.12033,91,744,0.09694,0.14373
1985,Direct migration background,Primary Level,No,0.87967,653,744,0.85627,0.90306
1985,Direct migration background,Lower Secondary Level,Yes,0.12821,120,910,0.10648,0.14994
1985,Direct migration background,Lower Secondary Level,No,0.87179,790,910,0.85006,0.89352
1985,Direct migration background,Upper Secondary Level,Yes,0.09119,97,904,0.07241,0.10996
1985,Direct migration background,Upper Secondary Level,No,0.90881,807,904,0.89004,0.92759
1985,Direct migration background,Post-secondary Non-tertiary Level,No,0.93501,93,93,0.88464,0.98538
1985,Direct migration background,First Stage of Tertiary Education,No,0.88725,41,41,0.78924,0.98527
1985,Direct migration background,Second Stage of Tertiary Education,No,0.94338,102,102,0.89830,0.98845
1985,Indirect migration background,Lower Secondary Level,No,0.81941,50,50,0.71170,0.92712
1985,Indirect migration background,Upper Secondary Level,No,0.87445,49,49,0.78072,0.96819
1986,No migration background,No answer / don't know,No,0.84043,41,41,0.72694,0.95392
1986,No migration background,Pre-primary Level,No,0.91883,135,135,0.87258,0.96507
1986,No migration background,Primary Level,No,0.89482,75,75,0.82492,0.96472
1986,No migration background,Lower Secondary Level,Yes,0.12202,222,1925,0.10740,0.13665
1986,No migration background,Lower Secondary Level,No,0.87798,1703,1925,0.86335,0.89260
1986,No migration background,Upper Secondary Level,Yes,0.12800,501,4050,0.11771,0.13829
1986,No migration background,Upper Secondary Level,No,0.87200,3549,4050,0.86171,0.88229
1986,No migration background,Post-secondary Non-tertiary Level,No,0.92489,158,158,0.88367,0.96612
1986,No migration background,First Stage of Tertiary Education,Yes,0.11542,64,524,0.08804,0.14281
1986,No migration background,First Stage of Tertiary Education,No,0.88458,460,524,0.85719,0.91196
1986,No migration background,Second Stage of Tertiary Education,Yes,0.10641,63,634,0.08238,0.13043
1986,No migration background,Second Stage of Tertiary Education,No,0.89359,571,634,0.86957,0.91762
1986,Direct migration background,No answer / don't know,No,0.93339,54,54,0.86626,1.00052
1986,Direct migration background,Primary Level,Yes,0.15394,97,684,0.12687,0.18100
1986,Direct migration background,Primary Level,No,0.84606,587,684,0.81900,0.87313
1986,Direct migration background,Lower Secondary Level,Yes,0.15538,135,914,0.13188,0.17887
1986,Direct migration background,Lower Secondary Level,No,0.84462,779,914,0.82113,0.86812
1986,Direct migration background,Upper Secondary Level,Yes,0.10442,106,871,0.08410,0.12474
1986,Direct migration background,Upper Secondary Level,No,0.89558,765,871,0.87526,0.91590
1986,Direct migration background,Post-secondary Non-tertiary Level,No,0.84379,82,82,0.76472,0.92285
1986,Direct migration background,First Stage of Tertiary Education,No,0.81840,41,41,0.69892,0.93787
1986,Direct migration background,Second Stage of Tertiary Education,No,0.87893,100,100,0.81467,0.94319
1986,Indirect migration background,Lower Secondary Level,No,0.80693,54,54,0.70067,0.91320
1986,Indirect migration background,Upper Secondary Level,No,0.73400,51,51,0.61152,0.85648
1987,No migration background,No answer / don't know,No,0.86452,47,47,0.76562,0.96342
1987,No migration background,Pre-primary Level,No,0.90904,137,137,0.86071,0.95737
1987,No migration background,Primary Level,No,0.86804,65,65,0.78512,0.95096
1987,No migration background,Lower Secondary Level,Yes,0.13151,232,1829,0.11601,0.14700
