"hlf0094","year","hhtyp","quintil","n","percent","lower_confidence","upper_confidence"
"Sehr guenstig","1995","1-Pers.- Haushalt","1","","","",""
"Sehr guenstig","1995","1-Pers.- Haushalt","2","","","",""
"Sehr guenstig","1995","1-Pers.- Haushalt","3","","","",""
"Sehr guenstig","1995","1-Pers.- Haushalt","4","","","",""
"Sehr guenstig","1995","1-Pers.- Haushalt","5","","","",""
"Sehr guenstig","1995","(Ehe-)Paar ohne Kind(er)","1","36","0.179367755627696","0.13218560764929","0.226549903606102"
"Sehr guenstig","1995","(Ehe-)Paar ohne Kind(er)","2","62","0.198038823585458","0.154910457008468","0.241167190162447"
"Sehr guenstig","1995","(Ehe-)Paar ohne Kind(er)","3","48","0.185026888383866","0.139864387423794","0.230189389343937"
"Sehr guenstig","1995","(Ehe-)Paar ohne Kind(er)","4","50","0.16858367658605","0.122722505304625","0.214444847867476"
"Sehr guenstig","1995","(Ehe-)Paar ohne Kind(er)","5","56","0.337855907245144","0.27357848726648","0.402133327223809"
"Sehr guenstig","1995","Alleinerziehende","1","","","",""
"Sehr guenstig","1995","Alleinerziehende","2","","","",""
"Sehr guenstig","1995","Alleinerziehende","3","","","",""
"Sehr guenstig","1995","Alleinerziehende","4","","","",""
"Sehr guenstig","1995","Alleinerziehende","5","","","",""
"Sehr guenstig","1995","Paar mit Kind(ern)","1","140","0.124441809089329","0.107698401372287","0.14118521680637"
"Sehr guenstig","1995","Paar mit Kind(ern)","2","162","0.124423362306229","0.10643966425895","0.142407060353507"
"Sehr guenstig","1995","Paar mit Kind(ern)","3","105","0.126753669395472","0.104133480143957","0.149373858646988"
"Sehr guenstig","1995","Paar mit Kind(ern)","4","92","0.162212916469691","0.130218621127238","0.194207211812143"
"Sehr guenstig","1995","Paar mit Kind(ern)","5","40","0.171991631112364","0.126383609105719","0.217599653119008"
"Sehr guenstig","1995","Sonstige","1","","","",""
"Sehr guenstig","1995","Sonstige","2","42","0.311338977171488","0.241733545829055","0.380944408513921"
"Sehr guenstig","1995","Sonstige","3","","","",""
"Sehr guenstig","1995","Sonstige","4","","","",""
"Sehr guenstig","1995","Sonstige","5","","","",""
"Guenstig","1995","1-Pers.- Haushalt","1","32","0.37635312740281","0.272127100234214","0.480579154571405"
"Guenstig","1995","1-Pers.- Haushalt","2","","","",""
"Guenstig","1995","1-Pers.- Haushalt","3","","","",""
