"hlf0094","year","bula_h","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr guenstig","1995","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Schleswig-Holstein","2","7","","",""
"Sehr guenstig","1995","Schleswig-Holstein","3","10","","",""
"Sehr guenstig","1995","Schleswig-Holstein","4","4","","",""
"Sehr guenstig","1995","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Hamburg","2","3","","",""
"Sehr guenstig","1995","Hamburg","3","7","","",""
"Sehr guenstig","1995","Hamburg","4","4","","",""
"Sehr guenstig","1995","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Niedersachsen","2","39","0.231635660383161","0.168770308647646","0.294501012118676"
"Sehr guenstig","1995","Niedersachsen","3","22","","",""
"Sehr guenstig","1995","Niedersachsen","4","34","0.344942267448851","0.256512273084446","0.433372261813257"
"Sehr guenstig","1995","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Bremen","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Bremen","2","5","","",""
"Sehr guenstig","1995","Bremen","3","","","",""
"Sehr guenstig","1995","Bremen","4","5","","",""
"Sehr guenstig","1995","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Nordrhein-Westfalen","2","64","0.158433797717607","0.117786160744137","0.199081434691077"
"Sehr guenstig","1995","Nordrhein-Westfalen","3","49","0.174798185590601","0.129580118607166","0.220016252574036"
"Sehr guenstig","1995","Nordrhein-Westfalen","4","33","0.118097340988925","0.0767478137944835","0.159446868183367"
"Sehr guenstig","1995","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Hessen","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Hessen","2","4","","",""
"Sehr guenstig","1995","Hessen","3","10","","",""
