year,quintil_oecd_hh,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2008,2nd Quintile,,,,,,,,,,,,
2008,3rd Quintile,,,,,,,,,,,,
2008,4th Quintile,,,,,,,,,,,,
2008,5th Quintile,,,,,,,,,,,,
2009,1st Quintile,,,,,,,,,,,,
2009,2nd Quintile,,,,,,,,,,,,
2009,3rd Quintile,,,,,,,,,,,,
2009,4th Quintile,,,,,,,,,,,,
2009,5th Quintile,,,,,,,,,,,,
2010,1st Quintile,,,,,,,,,,,,
2010,2nd Quintile,,,,,,,,,,,,
2010,3rd Quintile,,,,,,,,,,,,
2010,4th Quintile,,,,,,,,,,,,
2010,5th Quintile,,,,,,,,,,,,
2011,1st Quintile,,,,,,,,,,,,
2011,2nd Quintile,,,,,,,,,,,,
2011,3rd Quintile,,,,,,,,,,,,
2011,4th Quintile,,,,,,,,,,,,
2011,5th Quintile,,,,,,,,,,,,
2012,1st Quintile,,,,,,,,,,,,
2012,2nd Quintile,,,,,,,,,,,,
2012,3rd Quintile,,,,,,,,,,,,
2012,4th Quintile,,,,,,,,,,,,
2012,5th Quintile,,,,,,,,,,,,
2013,1st Quintile,,,,,,,,,,,,
2013,2nd Quintile,,,,,,,,,,,,
2013,3rd Quintile,,,,,,,,,,,,
2013,4th Quintile,,,,,,,,,,,,
2013,5th Quintile,,,,,,,,,,,,
2014,1st Quintile,,,,,,,,,,,,
2014,2nd Quintile,,,,,,,,,,,,
2014,3rd Quintile,,,,,,,,,,,,
2014,4th Quintile,,,,,,,,,,,,
2014,5th Quintile,,,,,,,,,,,,
2015,1st Quintile,,,,,,,,,,,,
2015,2nd Quintile,,,,,,,,,,,,
2015,3rd Quintile,,,,,,,,,,,,
2015,4th Quintile,,,,,,,,,,,,
2015,5th Quintile,,,,,,,,,,,,
2016,1st Quintile,,,,,,,,,,,,
2016,2nd Quintile,,,,,,,,,,,,
2016,3rd Quintile,,,,,,,,,,,,
2016,4th Quintile,,,,,,,,,,,,
2016,5th Quintile,,,,,,,,,,,,
2017,1st Quintile,2724,4.38142,4.26894,4.49389,2.00000,5.00000,7.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2017,2nd Quintile,2089,3.64966,3.52981,3.76951,1.00000,4.00000,5.00000,0.00000,10.00000,4.00000,3.00000,4.00000
2017,3rd Quintile,1508,2.90541,2.77379,3.03703,0.00000,3.00000,5.00000,0.00000,10.00000,3.00000,2.00000,3.00000
2017,4th Quintile,1197,2.53946,2.39688,2.68204,0.00000,2.00000,5.00000,0.00000,10.00000,2.00000,2.00000,2.00000
2017,5th Quintile,799,2.16888,2.01113,2.32663,0.00000,2.00000,4.00000,0.00000,10.00000,2.00000,1.00000,2.00000
2018,1st Quintile,4342,4.38316,4.29556,4.47076,2.00000,5.00000,7.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2018,2nd Quintile,2253,3.73000,3.61664,3.84336,1.00000,4.00000,5.00000,0.00000,10.00000,4.00000,4.00000,4.00000
2018,3rd Quintile,1467,3.07260,2.93560,3.20959,0.00000,3.00000,5.00000,0.00000,10.00000,3.00000,2.97500,3.00000
2018,4th Quintile,1117,2.78683,2.64077,2.93288,0.00000,3.00000,5.00000,0.00000,10.00000,3.00000,2.00000,3.00000
2018,5th Quintile,796,2.40489,2.23534,2.57445,0.00000,2.00000,4.00000,0.00000,10.00000,2.00000,1.00000,2.00000
2019,1st Quintile,,,,,,,,,,,,
2019,2nd Quintile,,,,,,,,,,,,
2019,3rd Quintile,,,,,,,,,,,,
2019,4th Quintile,,,,,,,,,,,,
2019,5th Quintile,,,,,,,,,,,,
2020,1st Quintile,3038,4.47247,4.37100,4.57395,2.00000,5.00000,7.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2020,2nd Quintile,2266,3.75511,3.64046,3.86977,1.00000,4.00000,6.00000,0.00000,10.00000,4.00000,3.00000,4.00000
2020,3rd Quintile,1565,3.01454,2.88522,3.14387,0.00000,3.00000,5.00000,0.00000,10.00000,3.00000,2.00000,3.00000
2020,4th Quintile,1185,2.87553,2.73359,3.01746,0.00000,3.00000,5.00000,0.00000,10.00000,3.00000,2.00000,3.00000
2020,5th Quintile,950,2.33399,2.18669,2.48129,0.00000,2.00000,4.00000,0.00000,10.00000,2.00000,1.00000,2.00000
2021,1st Quintile,,,,,,,,,,,,
2021,2nd Quintile,,,,,,,,,,,,
2021,3rd Quintile,,,,,,,,,,,,
2021,4th Quintile,,,,,,,,,,,,
2021,5th Quintile,,,,,,,,,,,,
