year,age_gr,sampreg,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,17-29 y.,West,No,0.99208,3593,3593,0.98918,0.99497
2017,17-29 y.,East,No,0.99018,733,733,0.98303,0.99732
2017,30-45 y.,West,Yes,0.03112,172,5793,0.02665,0.03560
2017,30-45 y.,West,No,0.96888,5621,5793,0.96440,0.97335
2017,30-45 y.,East,Yes,0.02636,46,1464,0.01815,0.03457
2017,30-45 y.,East,No,0.97364,1418,1464,0.96543,0.98185
2017,46-65 y.,West,Yes,0.05086,401,7804,0.04599,0.05574
2017,46-65 y.,West,No,0.94914,7403,7804,0.94426,0.95401
2017,46-65 y.,East,Yes,0.03316,75,2169,0.02562,0.04069
2017,46-65 y.,East,No,0.96684,2094,2169,0.95931,0.97438
2017,66 and older,West,Yes,0.01083,52,3743,0.00751,0.01415
2017,66 and older,West,No,0.98917,3691,3743,0.98585,0.99249
2017,66 and older,East,No,0.99418,1206,1206,0.98988,0.99847
2019,17-29 y.,West,No,0.99238,3172,3172,0.98936,0.99541
2019,17-29 y.,East,No,0.98300,633,633,0.97292,0.99308
2019,30-45 y.,West,Yes,0.03376,163,4929,0.02872,0.03881
2019,30-45 y.,West,No,0.96624,4766,4929,0.96119,0.97128
2019,30-45 y.,East,Yes,0.05322,62,1332,0.04116,0.06528
2019,30-45 y.,East,No,0.94678,1270,1332,0.93472,0.95884
2019,46-65 y.,West,Yes,0.06189,450,8114,0.05665,0.06714
2019,46-65 y.,West,No,0.93811,7664,8114,0.93286,0.94335
2019,46-65 y.,East,Yes,0.05032,107,2278,0.04134,0.05930
2019,46-65 y.,East,No,0.94968,2171,2278,0.94070,0.95866
2019,66 and older,West,Yes,0.01613,75,3868,0.01216,0.02010
2019,66 and older,West,No,0.98387,3793,3868,0.97990,0.98784
2019,66 and older,East,No,0.97983,1276,1276,0.97211,0.98754
2021,17-29 y.,West,Yes,0.01082,33,2704,0.00692,0.01473
2021,17-29 y.,West,No,0.98918,2671,2704,0.98527,0.99308
2021,17-29 y.,East,No,0.97538,464,464,0.96126,0.98949
2021,30-45 y.,West,Yes,0.05716,170,4158,0.05010,0.06422
2021,30-45 y.,West,No,0.94284,3988,4158,0.93578,0.94990
2021,30-45 y.,East,Yes,0.05031,42,1047,0.03706,0.06355
2021,30-45 y.,East,No,0.94969,1005,1047,0.93645,0.96294
2021,46-65 y.,West,Yes,0.08397,404,5745,0.07679,0.09114
2021,46-65 y.,West,No,0.91603,5341,5745,0.90886,0.92321
2021,46-65 y.,East,Yes,0.05215,75,1470,0.04078,0.06352
2021,46-65 y.,East,No,0.94785,1395,1470,0.93648,0.95922
2021,66 and older,West,Yes,0.02897,87,2710,0.02265,0.03529
2021,66 and older,West,No,0.97103,2623,2710,0.96471,0.97735
2021,66 and older,East,No,0.99126,841,841,0.98497,0.99756
