,Unnamed: 0,year,age_gr,regtyp,ple0187,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2017,17-29 y.,Urban regions,No,1.0,2917,26496,0.9581,1.04323
1,1,2017,17-29 y.,Rural regions,No,1.0,1410,26496,0.93766,1.07213
2,2,2017,30-45 y.,Urban regions,Yes,0.02774,142,26496,0.02298,0.03298
3,3,2017,30-45 y.,Urban regions,No,0.97226,4689,26496,0.93765,1.01492
4,4,2017,30-45 y.,Rural regions,Yes,0.03629,76,26496,0.02623,0.04894
5,5,2017,30-45 y.,Rural regions,No,0.96371,2350,26496,0.90678,1.01489
6,6,2017,46-65 y.,Urban regions,Yes,0.04881,318,26496,0.04344,0.056
7,7,2017,46-65 y.,Urban regions,No,0.95119,5956,26496,0.92207,0.9772
8,8,2017,46-65 y.,Rural regions,Yes,0.04498,158,26496,0.03858,0.05194
9,9,2017,46-65 y.,Rural regions,No,0.95502,3541,26496,0.91951,0.99326
10,10,2017,66 and older,Urban regions,Yes,0.01069,43,26496,0.00846,0.01348
11,11,2017,66 and older,Urban regions,No,0.98931,3060,26496,0.96045,1.01583
12,12,2017,66 and older,Rural regions,No,1.0,1836,26496,0.96127,1.04172
13,13,2019,17-29 y.,Urban regions,No,1.0,2549,25145,0.95549,1.05508
14,14,2019,17-29 y.,Rural regions,No,1.0,1149,25145,0.92139,1.07467
15,15,2019,30-45 y.,Urban regions,Yes,0.03359,145,25145,0.02831,0.04014
16,16,2019,30-45 y.,Urban regions,No,0.96641,3908,25145,0.92545,1.00832
17,17,2019,30-45 y.,Rural regions,Yes,0.03783,64,25145,0.02591,0.05519
18,18,2019,30-45 y.,Rural regions,No,0.96217,2014,25145,0.89587,1.02493
19,19,2019,46-65 y.,Urban regions,Yes,0.0628,376,25145,0.05583,0.07021
20,20,2019,46-65 y.,Urban regions,No,0.9372,6150,25145,0.90818,0.96754
21,21,2019,46-65 y.,Rural regions,Yes,0.05331,158,25145,0.04237,0.06274
22,22,2019,46-65 y.,Rural regions,No,0.94669,3539,25145,0.90848,0.97817
23,23,2019,66 and older,Urban regions,Yes,0.01265,57,25145,0.00993,0.01662
24,24,2019,66 and older,Urban regions,No,0.98735,3164,25145,0.94946,1.02986
25,25,2019,66 and older,Rural regions,Yes,0.02455,36,25145,0.01815,0.03241
26,26,2019,66 and older,Rural regions,No,0.97545,1836,25145,0.93037,1.02129
27,27,2021,17-29 y.,Urban regions,Yes,0.01354,32,19150,0.0081,0.02102
28,28,2021,17-29 y.,Urban regions,No,0.98646,2287,19150,0.93196,1.04431
29,29,2021,17-29 y.,Rural regions,No,1.0,847,19150,0.90433,1.08582
30,30,2021,30-45 y.,Urban regions,Yes,0.05409,144,19150,0.04315,0.0636
31,31,2021,30-45 y.,Urban regions,No,0.94591,3519,19150,0.89709,0.99455
32,32,2021,30-45 y.,Rural regions,Yes,0.06189,68,19150,0.04229,0.09312
33,33,2021,30-45 y.,Rural regions,No,0.93811,1475,19150,0.86483,1.02019
34,34,2021,46-65 y.,Urban regions,Yes,0.08089,329,19150,0.07003,0.09233
35,35,2021,46-65 y.,Urban regions,No,0.91911,4443,19150,0.87853,0.95413
36,36,2021,46-65 y.,Rural regions,Yes,0.07368,149,19150,0.05876,0.09248
37,37,2021,46-65 y.,Rural regions,No,0.92632,2294,19150,0.87962,0.97987
38,38,2021,66 and older,Urban regions,Yes,0.0246,60,19150,0.01918,0.03101
39,39,2021,66 and older,Urban regions,No,0.9754,2182,19150,0.92978,1.02024
40,40,2021,66 and older,Rural regions,Yes,0.02675,40,19150,0.01851,0.03647
41,41,2021,66 and older,Rural regions,No,0.97325,1281,19150,0.91493,1.03218
