year,migback,regtyp,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,No migration background,Urban regions,Yes,0.03295,456,12289,0.02980,0.03611
2017,No migration background,Urban regions,No,0.96705,11833,12289,0.96389,0.97020
2017,No migration background,Rural regions,Yes,0.03012,240,7822,0.02634,0.03391
2017,No migration background,Rural regions,No,0.96988,7582,7822,0.96609,0.97366
2017,Direct migration background,Urban regions,Yes,0.01007,49,3553,0.00679,0.01335
2017,Direct migration background,Urban regions,No,0.98993,3504,3553,0.98665,0.99321
2017,Direct migration background,Rural regions,No,0.98503,1246,1246,0.97828,0.99177
2017,Indirect migration background,Urban regions,No,0.98470,1318,1318,0.97807,0.99133
2017,Indirect migration background,Rural regions,No,0.96623,276,276,0.94487,0.98758
2019,No migration background,No answer / don't know,Yes,0.08152,46,484,0.05712,0.10592
2019,No migration background,No answer / don't know,No,0.91848,438,484,0.89408,0.94288
2019,No migration background,Urban regions,Yes,0.04205,516,12180,0.03849,0.04562
2019,No migration background,Urban regions,No,0.95795,11664,12180,0.95438,0.96151
2019,No migration background,Rural regions,Yes,0.04091,253,7459,0.03642,0.04541
2019,No migration background,Rural regions,No,0.95909,7206,7459,0.95459,0.96358
2019,Direct migration background,Urban regions,Yes,0.01228,51,2967,0.00832,0.01624
2019,Direct migration background,Urban regions,No,0.98772,2916,2967,0.98376,0.99168
2019,Direct migration background,Rural regions,No,0.99640,1023,1023,0.99273,1.00007
2019,Indirect migration background,No answer / don't know,No,0.89170,32,32,0.78230,1.00109
2019,Indirect migration background,Urban regions,No,0.98533,1216,1216,0.97857,0.99209
2019,Indirect migration background,Rural regions,No,0.97390,285,285,0.95536,0.99244
2021,No migration background,Urban regions,Yes,0.05285,448,8244,0.04802,0.05768
2021,No migration background,Urban regions,No,0.94715,7796,8244,0.94232,0.95198
2021,No migration background,Rural regions,Yes,0.05438,235,4809,0.04797,0.06079
2021,No migration background,Rural regions,No,0.94562,4574,4809,0.93921,0.95203
2021,Direct migration background,Urban regions,Yes,0.04308,92,4034,0.03681,0.04935
2021,Direct migration background,Urban regions,No,0.95692,3942,4034,0.95065,0.96319
2021,Direct migration background,Rural regions,No,0.97257,1127,1127,0.96303,0.98211
2021,Indirect migration background,Urban regions,No,0.98117,708,708,0.97115,0.99119
2021,Indirect migration background,Rural regions,No,0.96038,181,181,0.93189,0.98888
