,Unnamed: 0,year,pgisced97,sampreg,ple0187,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2017,Pre-primary Level,West,No,1.0,345,25902,0.87026,1.12177
1,1,2017,Pre-primary Level,East,No,1.0,66,25902,0.72596,1.45797
2,2,2017,Primary Level,West,No,1.0,394,25902,0.90306,1.10306
3,3,2017,Primary Level,East,No,1.0,51,25902,0.73925,1.33819
4,4,2017,Lower Secondary Level,West,Yes,0.01473,38,25902,0.0102,0.01923
5,5,2017,Lower Secondary Level,West,No,0.98527,2325,25902,0.94731,1.02907
6,6,2017,Lower Secondary Level,East,No,1.0,372,25902,0.88162,1.12122
7,7,2017,Upper Secondary Level,West,Yes,0.03113,296,25902,0.02783,0.03472
8,8,2017,Upper Secondary Level,West,No,0.96887,8929,25902,0.95041,0.99318
9,9,2017,Upper Secondary Level,East,Yes,0.02038,71,25902,0.01594,0.0252
10,10,2017,Upper Secondary Level,East,No,0.97962,2772,25902,0.9382,1.01875
11,11,2017,Post-secondary Non-tertiary Level,West,Yes,0.03368,69,25902,0.0237,0.04647
12,12,2017,Post-secondary Non-tertiary Level,West,No,0.96632,1815,25902,0.91298,1.01978
13,13,2017,Post-secondary Non-tertiary Level,East,No,1.0,319,25902,0.8861,1.11269
14,14,2017,First Stage of Tertiary Education,West,Yes,0.03915,57,25902,0.02967,0.05054
15,15,2017,First Stage of Tertiary Education,West,No,0.96085,1081,25902,0.8951,1.02128
16,16,2017,First Stage of Tertiary Education,East,No,1.0,387,25902,0.86696,1.10693
17,17,2017,Second Stage of Tertiary Education,West,Yes,0.03313,174,25902,0.02881,0.03854
18,18,2017,Second Stage of Tertiary Education,West,No,0.96687,4908,25902,0.92939,0.99903
19,19,2017,Second Stage of Tertiary Education,East,Yes,0.02301,41,25902,0.01624,0.0331
20,20,2017,Second Stage of Tertiary Education,East,No,0.97699,1392,25902,0.91724,1.02957
21,21,2019,Pre-primary Level,West,No,1.0,277,25027,0.82727,1.21011
22,22,2019,Pre-primary Level,East,No,1.0,53,25027,0.6812,1.36253
23,23,2019,Primary Level,West,No,1.0,338,25027,0.88942,1.13083
24,24,2019,Primary Level,East,No,1.0,42,25027,0.61583,1.39706
25,25,2019,Lower Secondary Level,West,Yes,0.01574,37,25027,0.01101,0.02041
26,26,2019,Lower Secondary Level,West,No,0.98426,2003,25027,0.93448,1.03664
27,27,2019,Lower Secondary Level,East,No,1.0,364,25027,0.89699,1.1351
28,28,2019,Upper Secondary Level,West,Yes,0.03893,305,25027,0.03437,0.0441
29,29,2019,Upper Secondary Level,West,No,0.96107,8197,25027,0.93882,0.98305
30,30,2019,Upper Secondary Level,East,Yes,0.0319,86,25027,0.02392,0.0415
31,31,2019,Upper Secondary Level,East,No,0.9681,2524,25027,0.92709,1.01621
32,32,2019,Post-secondary Non-tertiary Level,West,Yes,0.03955,86,25027,0.02827,0.05479
33,33,2019,Post-secondary Non-tertiary Level,West,No,0.96045,1761,25027,0.90553,1.02697
34,34,2019,Post-secondary Non-tertiary Level,East,No,1.0,307,25027,0.89828,1.13829
35,35,2019,First Stage of Tertiary Education,West,Yes,0.04873,58,25027,0.03532,0.06467
36,36,2019,First Stage of Tertiary Education,West,No,0.95127,1167,25027,0.87863,1.01527
37,37,2019,First Stage of Tertiary Education,East,No,1.0,430,25027,0.87711,1.1509
38,38,2019,Second Stage of Tertiary Education,West,Yes,0.03759,212,25027,0.03193,0.04404
39,39,2019,Second Stage of Tertiary Education,West,No,0.96241,5194,25027,0.93244,1.00068
40,40,2019,Second Stage of Tertiary Education,East,Yes,0.05087,70,25027,0.03682,0.06436
41,41,2019,Second Stage of Tertiary Education,East,No,0.94913,1516,25027,0.89026,1.00688
42,42,2021,Pre-primary Level,West,No,1.0,154,18332,0.72056,1.28651
43,43,2021,Pre-primary Level,East,No,1.0,35,18332,0.63079,1.48161
44,44,2021,Primary Level,West,No,1.0,796,18332,0.8302,1.16096
45,45,2021,Primary Level,East,No,1.0,116,18332,0.62586,1.40148
46,46,2021,Lower Secondary Level,West,Yes,0.03721,43,18332,0.0245,0.05108
47,47,2021,Lower Secondary Level,West,No,0.96279,1444,18332,0.89003,1.03446
48,48,2021,Lower Secondary Level,East,No,1.0,249,18332,0.81427,1.20433
49,49,2021,Upper Secondary Level,West,Yes,0.05297,290,18332,0.04527,0.06054
50,50,2021,Upper Secondary Level,West,No,0.94703,5348,18332,0.91486,0.9764
51,51,2021,Upper Secondary Level,East,Yes,0.03673,61,18332,0.02544,0.04735
52,52,2021,Upper Secondary Level,East,No,0.96327,1597,18332,0.91664,1.02463
53,53,2021,Post-secondary Non-tertiary Level,West,Yes,0.0722,75,18332,0.05371,0.09372
54,54,2021,Post-secondary Non-tertiary Level,West,No,0.9278,1293,18332,0.85532,1.01977
55,55,2021,Post-secondary Non-tertiary Level,East,No,1.0,212,18332,0.83304,1.21503
56,56,2021,First Stage of Tertiary Education,West,Yes,0.05545,54,18332,0.03901,0.07027
57,57,2021,First Stage of Tertiary Education,West,No,0.94455,676,18332,0.8587,1.04491
58,58,2021,First Stage of Tertiary Education,East,No,1.0,253,18332,0.83739,1.1907
59,59,2021,Second Stage of Tertiary Education,West,Yes,0.05167,200,18332,0.04286,0.06269
60,60,2021,Second Stage of Tertiary Education,West,No,0.94833,4257,18332,0.91159,0.98739
61,61,2021,Second Stage of Tertiary Education,East,Yes,0.03531,45,18332,0.02516,0.04925
62,62,2021,Second Stage of Tertiary Education,East,No,0.96469,1134,18332,0.88467,1.03201
