year,age_gr,migback,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,17-29 y.,No migration background,No,0.98963,2896,2896,0.98594,0.99332
2017,17-29 y.,Direct migration background,No,0.99802,621,621,0.99452,1.00152
2017,17-29 y.,Indirect migration background,No,0.99669,809,809,0.99274,1.00065
2017,30-45 y.,No migration background,Yes,0.03518,171,4558,0.02983,0.04053
2017,30-45 y.,No migration background,No,0.96482,4387,4558,0.95947,0.97017
2017,30-45 y.,Direct migration background,Yes,0.01450,32,2122,0.00942,0.01959
2017,30-45 y.,Direct migration background,No,0.98550,2090,2122,0.98041,0.99058
2017,30-45 y.,Indirect migration background,No,0.96882,562,562,0.95444,0.98321
2017,46-65 y.,No migration background,Yes,0.05393,435,8130,0.04902,0.05885
2017,46-65 y.,No migration background,No,0.94607,7695,8130,0.94115,0.95098
2017,46-65 y.,Direct migration background,Yes,0.01527,32,1626,0.00931,0.02123
2017,46-65 y.,Direct migration background,No,0.98473,1594,1626,0.97877,0.99069
2017,46-65 y.,Indirect migration background,No,0.95753,208,208,0.93006,0.98500
2017,66 and older,No migration background,Yes,0.01105,62,4499,0.00799,0.01410
2017,66 and older,No migration background,No,0.98895,4437,4499,0.98590,0.99201
2019,17-29 y.,No migration background,No,0.98795,2669,2669,0.98382,0.99209
2019,17-29 y.,Indirect migration background,No,0.99820,724,724,0.99512,1.00129
2019,30-45 y.,No migration background,Yes,0.04685,182,4133,0.04041,0.05329
2019,30-45 y.,No migration background,No,0.95315,3951,4133,0.94671,0.95959
2019,30-45 y.,Direct migration background,No,0.98504,1590,1590,0.97907,0.99101
2019,30-45 y.,Indirect migration background,No,0.97764,515,515,0.96486,0.99042
2019,46-65 y.,No migration background,Yes,0.06938,517,8597,0.06400,0.07475
2019,46-65 y.,No migration background,No,0.93062,8080,8597,0.92525,0.93600
2019,46-65 y.,Direct migration background,Yes,0.01375,33,1543,0.00793,0.01956
2019,46-65 y.,Direct migration background,No,0.98625,1510,1543,0.98044,0.99207
2019,46-65 y.,Indirect migration background,No,0.94204,267,267,0.91395,0.97012
2019,66 and older,No migration background,Yes,0.01827,92,4700,0.01444,0.02210
2019,66 and older,No migration background,No,0.98173,4608,4700,0.97790,0.98556
2019,66 and older,Direct migration background,No,0.99731,444,444,0.99248,1.00213
2021,17-29 y.,No migration background,No,0.98478,1712,1712,0.97898,0.99058
2021,17-29 y.,Direct migration background,No,0.99133,1012,1012,0.98562,0.99705
2021,17-29 y.,Indirect migration background,No,0.99479,411,411,0.98783,1.00176
2021,30-45 y.,No migration background,Yes,0.06134,142,2587,0.05209,0.07059
2021,30-45 y.,No migration background,No,0.93866,2445,2587,0.92941,0.94791
2021,30-45 y.,Direct migration background,Yes,0.04724,51,2318,0.03860,0.05588
2021,30-45 y.,Direct migration background,No,0.95276,2267,2318,0.94412,0.96140
2021,30-45 y.,Indirect migration background,No,0.96657,281,281,0.94552,0.98763
2021,46-65 y.,No migration background,Yes,0.08392,415,5525,0.07661,0.09123
2021,46-65 y.,No migration background,No,0.91608,5110,5525,0.90877,0.92339
2021,46-65 y.,Direct migration background,Yes,0.05820,55,1507,0.04638,0.07003
2021,46-65 y.,Direct migration background,No,0.94180,1452,1507,0.92997,0.95362
2021,46-65 y.,Indirect migration background,No,0.95988,174,174,0.93064,0.98912
2021,66 and older,No migration background,Yes,0.02824,97,3200,0.02250,0.03398
2021,66 and older,No migration background,No,0.97176,3103,3200,0.96602,0.97750
2021,66 and older,Direct migration background,No,0.99836,338,338,0.99404,1.00268
