,Unnamed: 0,year,migback,sampreg,ple0187,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2017,No migration background,West,Yes,0.03443,564,26515,0.03116,0.03747
1,1,2017,No migration background,West,No,0.96557,14476,26515,0.94805,0.98282
2,2,2017,No migration background,East,Yes,0.02247,134,26515,0.01798,0.02736
3,3,2017,No migration background,East,No,0.97753,4984,26515,0.94835,1.00739
4,4,2017,Direct migration background,West,Yes,0.01088,58,26515,0.00831,0.01434
5,5,2017,Direct migration background,West,No,0.98912,4323,26515,0.94319,1.0271
6,6,2017,Direct migration background,East,No,1.0,369,26515,0.88036,1.13535
7,7,2017,Indirect migration background,West,No,1.0,1509,26515,0.94399,1.05676
8,8,2017,Indirect migration background,East,No,1.0,98,26515,0.8052,1.26969
9,9,2019,No migration background,West,Yes,0.04216,615,25645,0.03815,0.04604
10,10,2019,No migration background,West,No,0.95784,14372,25645,0.93784,0.97477
11,11,2019,No migration background,East,Yes,0.0409,192,25645,0.03433,0.04906
12,12,2019,No migration background,East,No,0.9591,4937,25645,0.91718,0.98777
13,13,2019,Direct migration background,West,Yes,0.01298,59,25645,0.00921,0.01687
14,14,2019,Direct migration background,West,No,0.98702,3600,25645,0.94053,1.02657
15,15,2019,Direct migration background,East,No,1.0,300,25645,0.83217,1.14768
16,16,2019,Indirect migration background,West,Yes,0.01697,35,25645,0.0104,0.02408
17,17,2019,Indirect migration background,West,No,0.98303,1422,25645,0.9132,1.05151
18,18,2019,Indirect migration background,East,No,1.0,113,25645,0.7587,1.25719
19,19,2021,No migration background,West,Yes,0.05717,559,19151,0.05182,0.06213
20,20,2021,No migration background,West,No,0.94283,9309,19151,0.92122,0.96769
21,21,2021,No migration background,East,Yes,0.03758,129,19151,0.03038,0.04654
22,22,2021,No migration background,East,No,0.96242,3112,19151,0.91916,0.99857
23,23,2021,Direct migration background,West,Yes,0.04297,99,19151,0.02969,0.05917
24,24,2021,Direct migration background,West,No,0.95703,4495,19151,0.89503,1.03387
25,25,2021,Direct migration background,East,No,1.0,516,19151,0.81749,1.20335
26,26,2021,Indirect migration background,West,Yes,0.02431,36,19151,0.01657,0.03512
27,27,2021,Indirect migration background,West,No,0.97569,819,19151,0.88518,1.07478
28,28,2021,Indirect migration background,East,No,1.0,77,19151,0.73035,1.35073
