year,sampreg,sex,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,West,male,Yes,0.02538,234,9685,0.02225,0.02851
2017,West,male,No,0.97462,9451,9685,0.97149,0.97775
2017,West,female,Yes,0.03330,417,11274,0.02998,0.03661
2017,West,female,No,0.96670,10857,11274,0.96339,0.97002
2017,East,male,Yes,0.01574,42,2576,0.01093,0.02055
2017,East,male,No,0.98426,2534,2576,0.97945,0.98907
2017,East,female,Yes,0.02751,97,3014,0.02167,0.03335
2017,East,female,No,0.97249,2917,3014,0.96665,0.97833
2019,Does not apply,female,No,0.85473,31,31,0.72863,0.98082
2019,West,male,Yes,0.03307,311,9601,0.02949,0.03665
2019,West,male,No,0.96693,9290,9601,0.96335,0.97051
2019,West,female,Yes,0.03753,398,10501,0.03390,0.04117
2019,West,female,No,0.96247,10103,10501,0.95883,0.96610
2019,East,male,Yes,0.02963,66,2642,0.02316,0.03610
2019,East,male,No,0.97037,2576,2642,0.96390,0.97684
2019,East,female,Yes,0.04787,130,2903,0.04010,0.05564
2019,East,female,No,0.95213,2773,2903,0.94436,0.95990
2021,West,male,Yes,0.04916,275,7449,0.04425,0.05407
2021,West,male,No,0.95084,7174,7449,0.94593,0.95575
2021,West,female,Yes,0.05554,418,7863,0.05048,0.06060
2021,West,female,No,0.94446,7445,7863,0.93940,0.94952
2021,East,male,Yes,0.03171,47,1841,0.02370,0.03972
2021,East,male,No,0.96829,1794,1841,0.96028,0.97630
2021,East,female,Yes,0.04243,94,2004,0.03360,0.05125
2021,East,female,No,0.95757,1910,2004,0.94875,0.96640
