year,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,"Yes, happily",0.02753,596,10016,0.02433,0.03074
2009,"Yes, depending on situation",0.17502,4050,10016,0.16758,0.18246
2009,Rather not,0.16771,3490,10016,0.16040,0.17503
2009,Never,0.09837,1880,10016,0.09254,0.10420
2014,"Yes, happily",0.03943,1352,26481,0.03709,0.04177
2014,"Yes, depending on situation",0.22177,7243,26481,0.21676,0.22677
2014,Rather not,0.23071,7475,26481,0.22563,0.23578
2014,Never,0.32728,10411,26481,0.32163,0.33293
2019,"Yes, happily",0.04828,1506,25079,0.04563,0.05094
2019,"Yes, depending on situation",0.20952,6972,25079,0.20448,0.21455
2019,Rather not,0.23363,7105,25079,0.22839,0.23886
2019,Never,0.31665,9496,25079,0.31089,0.32240
