year,regtyp,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,"Yes, happily",0.02779,372,6751,0.02387,0.03171
2009,Urban regions,"Yes, depending on situation",0.17391,2605,6751,0.16486,0.18295
2009,Urban regions,Rather not,0.17332,2380,6751,0.16429,0.18235
2009,Urban regions,Never,0.11029,1394,6751,0.10282,0.11776
2009,Rural regions,"Yes, happily",0.02700,224,3265,0.02144,0.03256
2009,Rural regions,"Yes, depending on situation",0.17735,1445,3265,0.16424,0.19045
2009,Rural regions,Rather not,0.15599,1110,3265,0.14354,0.16843
2009,Rural regions,Never,0.07342,486,3265,0.06448,0.08237
2014,Urban regions,"Yes, happily",0.04050,896,17235,0.03755,0.04344
2014,Urban regions,"Yes, depending on situation",0.22622,4746,17235,0.21998,0.23247
2014,Urban regions,Rather not,0.23189,4941,17235,0.22559,0.23819
2014,Urban regions,Never,0.31506,6652,17235,0.30812,0.32199
2014,Rural regions,"Yes, happily",0.03719,456,9246,0.03333,0.04104
2014,Rural regions,"Yes, depending on situation",0.21238,2497,9246,0.20404,0.22072
2014,Rural regions,Rather not,0.22821,2534,9246,0.21966,0.23677
2014,Rural regions,Never,0.35303,3759,9246,0.34328,0.36277
2019,Urban regions,"Yes, happily",0.05025,989,15920,0.04686,0.05364
2019,Urban regions,"Yes, depending on situation",0.21565,4547,15920,0.20926,0.22204
2019,Urban regions,Rather not,0.23393,4574,15920,0.22735,0.24050
2019,Urban regions,Never,0.30916,5810,15920,0.30198,0.31634
2019,Rural regions,"Yes, happily",0.04005,436,8621,0.03591,0.04419
2019,Rural regions,"Yes, depending on situation",0.19041,2221,8621,0.18212,0.19870
2019,Rural regions,Rather not,0.23499,2404,8621,0.22604,0.24394
2019,Rural regions,Never,0.33999,3560,8621,0.32999,0.34999
