year,sampreg,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,"Yes, happily",0.02266,379,7624,0.01932,0.02600
2009,West,"Yes, depending on situation",0.15818,2724,7624,0.14998,0.16637
2009,West,Rather not,0.17672,2812,7624,0.16815,0.18528
2009,West,Never,0.11202,1709,7624,0.10494,0.11910
2009,East,"Yes, happily",0.04939,217,2392,0.04071,0.05808
2009,East,"Yes, depending on situation",0.25056,1326,2392,0.23319,0.26793
2009,East,Rather not,0.12734,678,2392,0.11398,0.14070
2009,East,Never,0.03716,171,2392,0.02958,0.04475
2014,West,"Yes, happily",0.03508,957,20948,0.03259,0.03757
2014,West,"Yes, depending on situation",0.21575,5523,20948,0.21018,0.22132
2014,West,Rather not,0.22936,5941,20948,0.22367,0.23506
2014,West,Never,0.33259,8527,20948,0.32621,0.33897
2014,East,"Yes, happily",0.05994,395,5533,0.05368,0.06619
2014,East,"Yes, depending on situation",0.25012,1720,5533,0.23871,0.26153
2014,East,Rather not,0.23703,1534,5533,0.22582,0.24823
2014,East,Never,0.30227,1884,5533,0.29017,0.31438
2019,West,"Yes, happily",0.04374,1070,19527,0.04087,0.04660
2019,West,"Yes, depending on situation",0.20571,5348,19527,0.20004,0.21138
2019,West,Rather not,0.23653,5645,19527,0.23057,0.24249
2019,West,Never,0.31730,7464,19527,0.31077,0.32383
2019,East,"Yes, happily",0.06901,415,5476,0.06229,0.07572
2019,East,"Yes, depending on situation",0.22654,1590,5476,0.21545,0.23763
2019,East,Rather not,0.22001,1447,5476,0.20904,0.23098
2019,East,Never,0.31559,2024,5476,0.30328,0.32790
