year,age_gr,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,"Yes, happily",0.06140,216,2314,0.05162,0.07118
2009,17-29 y.,"Yes, depending on situation",0.28873,1003,2314,0.27026,0.30720
2009,17-29 y.,Rather not,0.26841,765,2314,0.25035,0.28647
2009,17-29 y.,Never,0.12420,330,2314,0.11076,0.13764
2009,30-45 y.,"Yes, happily",0.04035,185,3127,0.03346,0.04725
2009,30-45 y.,"Yes, depending on situation",0.25538,1242,3127,0.24009,0.27066
2009,30-45 y.,Rather not,0.23811,1131,3127,0.22317,0.25304
2009,30-45 y.,Never,0.13590,569,3127,0.12388,0.14791
2009,46-65 y.,"Yes, happily",0.02325,143,3422,0.01820,0.02830
2009,46-65 y.,"Yes, depending on situation",0.20410,1411,3422,0.19060,0.21761
2009,46-65 y.,Rather not,0.20148,1218,3422,0.18804,0.21492
2009,46-65 y.,Never,0.11639,650,3422,0.10564,0.12714
2009,66 and older,"Yes, happily",0.01287,52,1153,0.00636,0.01938
2009,66 and older,"Yes, depending on situation",0.08456,394,1153,0.06849,0.10063
2009,66 and older,Rather not,0.08687,376,1153,0.07060,0.10313
2009,66 and older,Never,0.08325,331,1153,0.06729,0.09920
2014,17-29 y.,"Yes, happily",0.08571,403,4221,0.07726,0.09415
2014,17-29 y.,"Yes, depending on situation",0.34765,1487,4221,0.33328,0.36202
2014,17-29 y.,Rather not,0.25399,1192,4221,0.24086,0.26712
2014,17-29 y.,Never,0.22542,1139,4221,0.21282,0.23803
2014,30-45 y.,"Yes, happily",0.05828,492,8339,0.05325,0.06331
2014,30-45 y.,"Yes, depending on situation",0.32286,2507,8339,0.31283,0.33290
2014,30-45 y.,Rather not,0.28842,2403,8339,0.27870,0.29814
2014,30-45 y.,Never,0.30459,2937,8339,0.29471,0.31447
2014,46-65 y.,"Yes, happily",0.03761,356,9111,0.03371,0.04152
2014,46-65 y.,"Yes, depending on situation",0.25896,2521,9111,0.24997,0.26796
2014,46-65 y.,Rather not,0.29873,2773,9111,0.28933,0.30813
2014,46-65 y.,Never,0.37886,3461,9111,0.36890,0.38882
2014,66 and older,"Yes, happily",0.01904,101,4810,0.01518,0.02290
2014,66 and older,"Yes, depending on situation",0.13816,728,4810,0.12841,0.14791
2014,66 and older,Rather not,0.22390,1107,4810,0.21212,0.23568
2014,66 and older,Never,0.58019,2874,4810,0.56624,0.59414
2019,17-29 y.,"Yes, happily",0.08010,353,3700,0.07135,0.08884
2019,17-29 y.,"Yes, depending on situation",0.29968,1299,3700,0.28492,0.31444
2019,17-29 y.,Rather not,0.28933,1171,3700,0.27471,0.30394
2019,17-29 y.,Never,0.20724,877,3700,0.19418,0.22030
2019,30-45 y.,"Yes, happily",0.07932,428,6165,0.07258,0.08607
2019,30-45 y.,"Yes, depending on situation",0.28205,1795,6165,0.27082,0.29329
2019,30-45 y.,Rather not,0.28111,1773,6165,0.26989,0.29234
2019,30-45 y.,Never,0.31455,2169,6165,0.30296,0.32614
2019,46-65 y.,"Yes, happily",0.05581,601,10162,0.05134,0.06027
2019,46-65 y.,"Yes, depending on situation",0.26335,2973,10162,0.25479,0.27192
2019,46-65 y.,Rather not,0.28713,2895,10162,0.27833,0.29592
2019,46-65 y.,Never,0.36460,3693,10162,0.35524,0.37396
2019,66 and older,"Yes, happily",0.02045,124,5052,0.01654,0.02435
2019,66 and older,"Yes, depending on situation",0.15211,905,5052,0.14221,0.16202
2019,66 and older,Rather not,0.24296,1266,5052,0.23113,0.25479
2019,66 and older,Never,0.55756,2757,5052,0.54386,0.57126
