"pli0098_h","year","bildungsniveau","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Taeglich","1990","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1990","(noch) kein Abschluss","direkter Migrationshintergrund","13","","",""
"Taeglich","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","Hauptschule","kein Migrationshintergrund","34","0.00726809579208721","0.00499493572876745","0.00954125585540698"
"Taeglich","1990","Hauptschule","direkter Migrationshintergrund","21","","",""
"Taeglich","1990","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","Realschule","kein Migrationshintergrund","2","","",""
"Taeglich","1990","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1990","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1990","(Fach-)Abitur","direkter Migrationshintergrund","1","","",""
"Taeglich","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","AkademikerIn","kein Migrationshintergrund","5","","",""
"Taeglich","1990","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","kein Migrationshintergrund","20","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","direkter Migrationshintergrund","125","0.18962951405988","0.158994538225579","0.220264489894181"
"Min 1x pro Woche","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","7","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","Hauptschule","kein Migrationshintergrund","620","0.132997463419297","0.123910148693193","0.142084778145401"
