year,age_gr,migback,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,At least once per week,0.08201,219,2861,0.07195,0.09207
1990,17-29 y.,No migration background,At least once per month,0.06725,186,2861,0.05807,0.07643
1990,17-29 y.,No migration background,Seldom,0.28176,729,2861,0.26527,0.29824
1990,17-29 y.,No migration background,Never,0.56898,1727,2861,0.55083,0.58713
1990,17-29 y.,Direct migration background,At least once per week,0.09951,98,693,0.07721,0.12182
1990,17-29 y.,Direct migration background,At least once per month,0.09626,78,693,0.07429,0.11824
1990,17-29 y.,Direct migration background,Seldom,0.25765,171,693,0.22507,0.29024
1990,17-29 y.,Direct migration background,Never,0.54657,346,693,0.50948,0.58366
1990,17-29 y.,Indirect migration background,Seldom,0.31027,88,204,0.24663,0.37391
1990,17-29 y.,Indirect migration background,Never,0.46386,116,204,0.39526,0.53246
1990,30-45 y.,No migration background,At least once per week,0.08153,242,3378,0.07230,0.09076
1990,30-45 y.,No migration background,At least once per month,0.08275,243,3378,0.07346,0.09204
1990,30-45 y.,No migration background,Seldom,0.32412,970,3378,0.30833,0.33991
1990,30-45 y.,No migration background,Never,0.51160,1923,3378,0.49474,0.52846
1990,30-45 y.,Direct migration background,At least once per week,0.14429,123,862,0.12082,0.16776
1990,30-45 y.,Direct migration background,At least once per month,0.11128,110,862,0.09027,0.13228
1990,30-45 y.,Direct migration background,Seldom,0.29590,252,862,0.26541,0.32639
1990,30-45 y.,Direct migration background,Never,0.44853,377,862,0.41531,0.48175
1990,46-65 y.,No migration background,At least once per week,0.15138,420,3227,0.13901,0.16375
1990,46-65 y.,No migration background,At least once per month,0.11081,323,3227,0.09997,0.12164
1990,46-65 y.,No migration background,Seldom,0.30035,888,3227,0.28453,0.31617
1990,46-65 y.,No migration background,Never,0.43746,1596,3227,0.42034,0.45458
1990,46-65 y.,Direct migration background,At least once per week,0.16721,200,973,0.14375,0.19067
1990,46-65 y.,Direct migration background,At least once per month,0.13464,147,973,0.11318,0.15610
1990,46-65 y.,Direct migration background,Seldom,0.26078,231,973,0.23318,0.28839
1990,46-65 y.,Direct migration background,Never,0.43737,395,973,0.40618,0.46856
1990,66 and older,No migration background,At least once per week,0.20603,256,1331,0.18429,0.22777
1990,66 and older,No migration background,At least once per month,0.15710,194,1331,0.13754,0.17665
1990,66 and older,No migration background,Seldom,0.22011,295,1331,0.19784,0.24238
1990,66 and older,No migration background,Never,0.41676,586,1331,0.39027,0.44326
1990,66 and older,Direct migration background,Never,0.40640,41,41,0.25418,0.55861
1992,17-29 y.,No migration background,At least once per week,0.06530,163,2562,0.05573,0.07487
1992,17-29 y.,No migration background,At least once per month,0.05435,142,2562,0.04557,0.06313
1992,17-29 y.,No migration background,Seldom,0.27190,650,2562,0.25467,0.28913
1992,17-29 y.,No migration background,Never,0.60845,1607,2562,0.58955,0.62736
