year,migback,pgisced97,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Pre-primary Level,Seldom,0.37475,41,96,0.27741,0.47208
1990,No migration background,Pre-primary Level,Never,0.32673,55,96,0.23242,0.42105
1990,No migration background,Primary Level,Never,0.46461,40,40,0.30808,0.62114
1990,No migration background,Lower Secondary Level,At least once per week,0.17148,301,1977,0.15486,0.18810
1990,No migration background,Lower Secondary Level,At least once per month,0.12495,220,1977,0.11037,0.13953
1990,No migration background,Lower Secondary Level,Seldom,0.27282,539,1977,0.25318,0.29246
1990,No migration background,Lower Secondary Level,Never,0.42486,917,1977,0.40306,0.44666
1990,No migration background,Upper Secondary Level,At least once per week,0.10863,562,6035,0.10078,0.11649
1990,No migration background,Upper Secondary Level,At least once per month,0.09712,513,6035,0.08965,0.10459
1990,No migration background,Upper Secondary Level,Seldom,0.28985,1612,6035,0.27840,0.30130
1990,No migration background,Upper Secondary Level,Never,0.49679,3348,6035,0.48418,0.50941
1990,No migration background,Post-secondary Non-tertiary Level,Seldom,0.28537,76,225,0.22623,0.34451
1990,No migration background,Post-secondary Non-tertiary Level,Never,0.54656,149,225,0.48136,0.61175
1990,No migration background,First Stage of Tertiary Education,At least once per week,0.13477,80,697,0.10940,0.16013
1990,No migration background,First Stage of Tertiary Education,At least once per month,0.09445,64,697,0.07273,0.11618
1990,No migration background,First Stage of Tertiary Education,Seldom,0.31234,216,697,0.27790,0.34677
1990,No migration background,First Stage of Tertiary Education,Never,0.45356,337,697,0.41657,0.49055
1990,No migration background,Second Stage of Tertiary Education,At least once per week,0.11481,135,1538,0.09887,0.13075
1990,No migration background,Second Stage of Tertiary Education,At least once per month,0.08339,105,1538,0.06957,0.09721
1990,No migration background,Second Stage of Tertiary Education,Seldom,0.26650,358,1538,0.24439,0.28860
1990,No migration background,Second Stage of Tertiary Education,Never,0.52420,940,1538,0.49923,0.54916
1990,Direct migration background,Primary Level,At least once per week,0.20250,122,542,0.16863,0.23636
1990,Direct migration background,Primary Level,At least once per month,0.11338,77,542,0.08666,0.14009
1990,Direct migration background,Primary Level,Seldom,0.19916,114,542,0.16550,0.23281
1990,Direct migration background,Primary Level,Never,0.47215,229,542,0.43008,0.51421
1990,Direct migration background,Lower Secondary Level,At least once per week,0.19231,150,858,0.16592,0.21870
1990,Direct migration background,Lower Secondary Level,At least once per month,0.13558,121,858,0.11265,0.15850
