year,quintil_oecd,sampreg,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,West,At least once per week,0.18152,363,1881,0.16409,0.19894
1990,1st Quintile,West,At least once per month,0.13824,250,1881,0.12264,0.15384
1990,1st Quintile,West,Seldom,0.25332,472,1881,0.23366,0.27298
1990,1st Quintile,West,Never,0.42693,796,1881,0.40457,0.44929
1990,2nd Quintile,West,At least once per week,0.16062,310,1881,0.14403,0.17722
1990,2nd Quintile,West,At least once per month,0.12128,219,1881,0.10652,0.13604
1990,2nd Quintile,West,Seldom,0.32150,612,1881,0.30039,0.34262
1990,2nd Quintile,West,Never,0.39659,740,1881,0.37448,0.41871
1990,3rd Quintile,West,At least once per week,0.14823,276,1883,0.13217,0.16428
1990,3rd Quintile,West,At least once per month,0.10395,225,1883,0.09016,0.11774
1990,3rd Quintile,West,Seldom,0.34637,623,1883,0.32487,0.36786
1990,3rd Quintile,West,Never,0.40146,759,1883,0.37931,0.42360
1990,4th Quintile,West,At least once per week,0.13052,266,1937,0.11551,0.14552
1990,4th Quintile,West,At least once per month,0.12026,248,1937,0.10577,0.13475
1990,4th Quintile,West,Seldom,0.31551,611,1937,0.29481,0.33621
1990,4th Quintile,West,Never,0.43371,812,1937,0.41164,0.45579
1990,5th Quintile,West,At least once per week,0.13647,239,1812,0.12066,0.15229
1990,5th Quintile,West,At least once per month,0.09689,182,1812,0.08327,0.11052
1990,5th Quintile,West,Seldom,0.34184,628,1812,0.31999,0.36368
1990,5th Quintile,West,Never,0.42480,763,1812,0.40203,0.44756
1992,1st Quintile,West,At least once per week,0.15035,188,1153,0.12971,0.17098
1992,1st Quintile,West,At least once per month,0.10830,146,1153,0.09036,0.12625
1992,1st Quintile,West,Seldom,0.23377,252,1153,0.20933,0.25821
1992,1st Quintile,West,Never,0.50758,567,1153,0.47871,0.53645
1992,1st Quintile,East,At least once per week,0.04418,66,1583,0.03405,0.05431
1992,1st Quintile,East,At least once per month,0.04335,60,1583,0.03332,0.05339
1992,1st Quintile,East,Seldom,0.13970,220,1583,0.12261,0.15678
1992,1st Quintile,East,Never,0.77277,1237,1583,0.75212,0.79342
1992,2nd Quintile,West,At least once per week,0.15292,258,1634,0.13547,0.17038
1992,2nd Quintile,West,At least once per month,0.11128,199,1634,0.09603,0.12653
1992,2nd Quintile,West,Seldom,0.29253,435,1634,0.27046,0.31459
1992,2nd Quintile,West,Never,0.44327,742,1634,0.41917,0.46736
1992,2nd Quintile,East,At least once per week,0.03934,48,1205,0.02836,0.05032
1992,2nd Quintile,East,At least once per month,0.03874,48,1205,0.02784,0.04964
1992,2nd Quintile,East,Seldom,0.14418,185,1205,0.12434,0.16402
1992,2nd Quintile,East,Never,0.77774,924,1205,0.75425,0.80122
1992,3rd Quintile,West,At least once per week,0.14741,298,1944,0.13164,0.16317
1992,3rd Quintile,West,At least once per month,0.10385,221,1944,0.09028,0.11741
1992,3rd Quintile,West,Seldom,0.32161,585,1944,0.30084,0.34238
1992,3rd Quintile,West,Never,0.42714,840,1944,0.40514,0.44913
1992,3rd Quintile,East,Seldom,0.18875,139,666,0.15900,0.21849
1992,3rd Quintile,East,Never,0.75601,527,666,0.72336,0.78865
1992,4th Quintile,West,At least once per week,0.10589,245,2276,0.09325,0.11854
1992,4th Quintile,West,At least once per month,0.09612,229,2276,0.08400,0.10823
1992,4th Quintile,West,Seldom,0.33471,765,2276,0.31532,0.35410
1992,4th Quintile,West,Never,0.46328,1037,2276,0.44279,0.48377
1992,4th Quintile,East,Seldom,0.15505,48,290,0.11332,0.19678
