year,pli0098_h,migback,regtyp,proportion,n,lower_confidence,upper_confidence
1990,At least once per week,No migration background,Urban regions,0.4580441640378549,18165,0.4507985700233596,0.46528975805235023
1990,At least once per week,Direct migration background,Urban regions,0.25236593059936907,18165,0.24604911390336764,0.2586827472953705
1990,At least once per week,No migration background,Rural regions,0.24794952681388013,18165,0.24166976015642996,0.2542292934713303
1990,At least once per week,Direct migration background,Rural regions,0.026498422712933754,18165,0.024162724588856294,0.028834120837011215
1990,At least once per week,Indirect migration background,Urban regions,0.0138801261829653,18165,0.012178751629056704,0.015581500736873897
1990,At least once per week,Indirect migration background,Rural regions,0.0012618296529968455,18165,0.0007455743105494157,0.0017780849954442753
1990,At least once per month,No migration background,Urban regions,0.43846153846153846,18165,0.4312455824705437,0.44567749445253324
1990,At least once per month,No migration background,Rural regions,0.2784615384615385,18165,0.27194299264451893,0.28498008427855803
1990,At least once per month,Direct migration background,Urban regions,0.22692307692307692,18165,0.2208320705091931,0.23301408333696075
1990,At least once per month,Direct migration background,Rural regions,0.03461538461538462,18165,0.031956967417987495,0.03727380181278174
1990,At least once per month,Indirect migration background,Urban regions,0.01769230769230769,18165,0.01577516523788,0.01960945014673538
1990,At least once per month,Indirect migration background,Rural regions,0.0038461538461538464,18165,0.0029460038077987615,0.004746303884508931
1990,Seldom,No migration background,Urban regions,0.5061315496098104,18165,0.4988608581247851,0.5134022410948358
1990,Seldom,No migration background,Rural regions,0.2814938684503902,18165,0.27495371287556697,0.28803402402521344
1990,Seldom,Direct migration background,Urban regions,0.16025641025641027,18165,0.15492159451384063,0.1655912259989799
1990,Seldom,Direct migration background,Rural regions,0.027591973244147156,18165,0.02520990599589401,0.0299740404924003
1990,Seldom,Indirect migration background,Urban regions,0.02201783723522854,18165,0.019883853202047497,0.024151821268409583
1990,Seldom,Indirect migration background,Rural regions,0.002508361204013378,18165,0.0017809365104019823,0.0032357858976247737
1990,Never,No migration background,Urban regions,0.46274906150736356,18165,0.45549803095596636,0.47000009205876075
1990,Never,No migration background,Rural regions,0.35792665319087497,18165,0.3509551294420395,0.36489817693971044
1990,Never,Direct migration background,Urban regions,0.13355472133987872,18165,0.12860775947150488,0.13850168320825257
1990,Never,Direct migration background,Rural regions,0.030898065261334103,18165,0.02838161272387653,0.033414517798791676
1990,Never,Indirect migration background,Urban regions,0.012272596015015883,18165,0.010671471374642865,0.0138737206553889
1990,Never,Indirect migration background,Rural regions,0.0025989026855327752,18165,0.0018584994634540024,0.0033393059076115483
1992,At least once per week,No migration background,Urban regions,0.43529411764705883,17350,0.42791662327617885,0.4426716120179388
1992,At least once per week,Direct migration background,Urban regions,0.26029411764705884,17350,0.2537647962785107,0.266823439015607
1992,At least once per week,No migration background,Rural regions,0.25073529411764706,17350,0.24428571009535474,0.2571848781399394
1992,At least once per week,Direct migration background,Rural regions,0.03529411764705882,17350,0.03254840578711039,0.03803982950700725
1992,At least once per week,Indirect migration background,Urban regions,0.014705882352941176,17350,0.01291472054494099,0.016497044160941363
1992,At least once per week,Indirect migration background,Rural regions,0.003676470588235294,17350,0.0027758910543218464,0.004577050122148742
1992,At least once per month,No migration background,Urban regions,0.4118705035971223,17350,0.40454692818858795,0.41919407900565664
1992,At least once per month,Direct migration background,Urban regions,0.27967625899280574,17350,0.27299746578074946,0.286355052204862
1992,At least once per month,No migration background,Rural regions,0.24190647482014388,17350,0.2355342443950234,0.24827870524526435
1992,At least once per month,Direct migration background,Rural regions,0.0341726618705036,17350,0.031469354157444694,0.036875969583562505
1992,At least once per month,Indirect migration background,Urban regions,0.02877697841726619,17350,0.026289333376527238,0.03126462345800514
1992,At least once per month,Indirect migration background,Rural regions,0.0035971223021582736,17350,0.0027062787921619566,0.00448796581215459
1992,Seldom,No migration background,Urban regions,0.5057263411693791,17350,0.49828677086261935,0.5131659114761388
1992,Seldom,No migration background,Rural regions,0.2890295358649789,17350,0.2822842055119312,0.2957748662180267
1992,Seldom,Direct migration background,Urban regions,0.14647377938517178,17350,0.14121245947826247,0.1517350992920811
1992,Seldom,Indirect migration background,Urban regions,0.02923447860156721,17350,0.026727727700936735,0.03174122950219768
1992,Seldom,Direct migration background,Rural regions,0.026220614828209764,17350,0.023842909366269954,0.028598320290149574
1992,Seldom,Indirect migration background,Rural regions,0.003315250150693189,17350,0.00245990107553082,0.004170599225855558
