year,bula_h,migback,pli0098_h,proportion,n,lower_confidence,upper_confidence
1990,Sachsen,kein Migrationshintergrund,Nie,0.0660734149054505,18165,0.062460912741041145,0.06968591706985987
1990,Nordrhein-Westfalen,kein Migrationshintergrund,Nie,0.05702632554690397,18165,0.053654028292165735,0.0603986228016422
1990,Sachsen-Anhalt,kein Migrationshintergrund,Nie,0.04375231738969225,18165,0.040777748040543516,0.046726886738840984
1990,Brandenburg,kein Migrationshintergrund,Nie,0.041230997404523545,18165,0.03833960335448821,0.04412239145455888
1990,Nordrhein-Westfalen,kein Migrationshintergrund,Seltener,0.04011865035224323,18165,0.03726487157336039,0.042972429131126075
1990,Thüringen,kein Migrationshintergrund,Nie,0.03566926214312199,18165,0.032972153516750556,0.03836637076949342
1990,Niedersachsen,kein Migrationshintergrund,Nie,0.029588431590656286,18165,0.02712422380555995,0.03205263937575262
1990,Berlin,kein Migrationshintergrund,Nie,0.02817945865776789,18165,0.025772892914175213,0.030586024401360566
1990,Mecklenburg-Vorpommern,kein Migrationshintergrund,Nie,0.026622172784575453,18165,0.024281175856959703,0.028963169712191202
1990,Bayern,kein Migrationshintergrund,Nie,0.026622172784575453,18165,0.024281175856959703,0.028963169712191202
1990,Bayern,kein Migrationshintergrund,Seltener,0.02632554690396737,18165,0.023997273597394005,0.028653820210540738
1990,Baden-Württemberg,kein Migrationshintergrund,Seltener,0.02513904338153504,18165,0.022862457267577765,0.027415629495492314
1990,Baden-Württemberg,kein Migrationshintergrund,Nie,0.023507601038190582,18165,0.02130428416914973,0.025710917907231436
1990,Nordrhein-Westfalen,direkter Migrationshintergrund,Nie,0.02246941045606229,18165,0.02031415185276946,0.02462466905935512
1990,Niedersachsen,kein Migrationshintergrund,Seltener,0.02135706340378198,18165,0.01925463472665842,0.023459492080905538
1990,Nordrhein-Westfalen,kein Migrationshintergrund,Min 1x pro Woche,0.020837968112717833,18165,0.01876069625595794,0.022915239969477728
1990,Hessen,kein Migrationshintergrund,Seltener,0.019058212829069335,18165,0.017069825100276728,0.021046600557861943
1990,Bayern,kein Migrationshintergrund,Min 1x pro Woche,0.018835743418613275,18165,0.016858770990325157,0.020812715846901392
1990,Sachsen,kein Migrationshintergrund,Seltener,0.018020022246941044,18165,0.016085528420738366,0.019954516073143722
1990,Baden-Württemberg,direkter Migrationshintergrund,Nie,0.016981831664812756,18165,0.0151028981704235,0.018860765159202014
1990,Hessen,kein Migrationshintergrund,Nie,0.016314423433444566,18165,0.014472157221351775,0.01815668964553736
1990,Baden-Württemberg,kein Migrationshintergrund,Min 1x pro Woche,0.0157211716722284,18165,0.013912166131146127,0.017530177213310672
1990,Baden-Württemberg,direkter Migrationshintergrund,Seltener,0.014979606970708194,18165,0.013213116941207276,0.016746097000209112
1990,Bayern,kein Migrationshintergrund,Min 1x pro Monat,0.014831294030404153,18165,0.013073438431109526,0.01658914962969878
1990,"Rheinland-Pfalz,Saarland",kein Migrationshintergrund,Seltener,0.01468298109010011,18165,0.012933805201939846,0.016432156978260375
1990,Nordrhein-Westfalen,kein Migrationshintergrund,Min 1x pro Monat,0.013793103448275862,18165,0.012096995909110538,0.015489210987441186
1990,"Rheinland-Pfalz,Saarland",kein Migrationshintergrund,Nie,0.012087504634779384,18165,0.010498350814266423,0.013676658455292345
1990,Nordrhein-Westfalen,direkter Migrationshintergrund,Seltener,0.011420096403411198,18165,0.009874916169055552,0.012965276637766844
1990,Bayern,direkter Migrationshintergrund,Nie,0.011049314052651095,18165,0.009529139889201456,0.012569488216100733
1990,Thüringen,kein Migrationshintergrund,Seltener,0.010826844642195032,18165,0.00932188281747022,0.012331806466919844
1990,Baden-Württemberg,kein Migrationshintergrund,Min 1x pro Monat,0.010826844642195032,18165,0.00932188281747022,0.012331806466919844
1990,Hessen,direkter Migrationshintergrund,Nie,0.010011123470522803,18165,0.008563368926994462,0.011458878014051144
1990,Schleswig-Holstein,kein Migrationshintergrund,Nie,0.00971449758991472,18165,0.008288138897053586,0.011140856282775854
1990,Baden-Württemberg,direkter Migrationshintergrund,Min 1x pro Woche,0.009343715239154617,18165,0.007944580090471675,0.010742850387837559
1990,Nordrhein-Westfalen,direkter Migrationshintergrund,Min 1x pro Woche,0.008898776418242492,18165,0.007533053730638159,0.010264499105846824
1990,Baden-Württemberg,direkter Migrationshintergrund,Min 1x pro Monat,0.007934742306266222,18165,0.006644489227278961,0.009224995385253483
1990,Bayern,direkter Migrationshintergrund,Seltener,0.007267334074898035,18165,0.006032120405774417,0.008502547744021653
1990,"Rheinland-Pfalz,Saarland",kein Migrationshintergrund,Min 1x pro Woche,0.007267334074898035,18165,0.006032120405774417,0.008502547744021653
1990,Sachsen-Anhalt,kein Migrationshintergrund,Seltener,0.007119021134593994,18165,0.00589638533867323,0.008341656930514757
