year,migback,quintil_oecd,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,1st Quintile,At least once per week,0.18746,189,9124,0.18719,0.18774
1990,No migration background,1st Quintile,At least once per month,0.13833,130,9124,0.13809,0.13857
1990,No migration background,1st Quintile,Seldom,0.26228,279,9124,0.26197,0.26259
1990,No migration background,1st Quintile,Never,0.41193,414,9124,0.41158,0.41227
1990,No migration background,2nd Quintile,At least once per week,0.14685,173,9124,0.14661,0.14709
1990,No migration background,2nd Quintile,At least once per month,0.13129,149,9124,0.13106,0.13152
1990,No migration background,2nd Quintile,Seldom,0.32489,420,9124,0.32456,0.32521
1990,No migration background,2nd Quintile,Never,0.39698,475,9124,0.39664,0.39731
1990,No migration background,3rd Quintile,At least once per week,0.14547,195,9124,0.14524,0.14570
1990,No migration background,3rd Quintile,At least once per month,0.10212,143,9124,0.10192,0.10232
1990,No migration background,3rd Quintile,Seldom,0.35793,470,9124,0.35761,0.35824
1990,No migration background,3rd Quintile,Never,0.39448,491,9124,0.39416,0.39480
1990,No migration background,4th Quintile,At least once per week,0.13424,209,9124,0.13403,0.13445
1990,No migration background,4th Quintile,At least once per month,0.10924,174,9124,0.10905,0.10943
1990,No migration background,4th Quintile,Seldom,0.31015,471,9124,0.30987,0.31044
1990,No migration background,4th Quintile,Never,0.44637,657,9124,0.44607,0.44668
1990,No migration background,5th Quintile,At least once per week,0.13874,213,9124,0.13853,0.13895
1990,No migration background,5th Quintile,At least once per month,0.10159,163,9124,0.10140,0.10177
1990,No migration background,5th Quintile,Seldom,0.34959,558,9124,0.34930,0.34988
1990,No migration background,5th Quintile,Never,0.41008,635,9124,0.40978,0.41038
1990,Direct migration background,1st Quintile,At least once per week,0.20210,177,9124,0.20148,0.20272
1990,Direct migration background,1st Quintile,At least once per month,0.12096,103,9124,0.12046,0.12146
1990,Direct migration background,1st Quintile,Seldom,0.21284,160,9124,0.21221,0.21347
1990,Direct migration background,1st Quintile,Never,0.46410,332,9124,0.46333,0.46486
1990,Direct migration background,2nd Quintile,At least once per week,0.20470,119,9124,0.20401,0.20539
1990,Direct migration background,2nd Quintile,At least once per month,0.11313,70,9124,0.11259,0.11368
1990,Direct migration background,2nd Quintile,Seldom,0.27595,164,9124,0.27519,0.27672
1990,Direct migration background,2nd Quintile,Never,0.40622,239,9124,0.40538,0.40706
1990,Direct migration background,3rd Quintile,At least once per week,0.15113,75,9124,0.15051,0.15174
1990,Direct migration background,3rd Quintile,At least once per month,0.12668,86,9124,0.12611,0.12725
1990,Direct migration background,3rd Quintile,Seldom,0.29511,147,9124,0.29433,0.29589
1990,Direct migration background,3rd Quintile,Never,0.42708,230,9124,0.42623,0.42793
1990,Direct migration background,4th Quintile,At least once per week,0.10688,50,9124,0.10623,0.10753
1990,Direct migration background,4th Quintile,At least once per month,0.12618,49,9124,0.12547,0.12688
1990,Direct migration background,4th Quintile,Seldom,0.36435,111,9124,0.36334,0.36537
1990,Direct migration background,4th Quintile,Never,0.40259,157,9124,0.40155,0.40363
1990,Direct migration background,5th Quintile,Seldom,0.29806,67,9124,0.29693,0.29920
1990,Direct migration background,5th Quintile,Never,0.70194,111,9124,0.70080,0.70307
1990,Indirect migration background,1st Quintile,Never,1.00000,35,9124,1.00000,1.00000
1990,Indirect migration background,2nd Quintile,Never,1.00000,34,9124,1.00000,1.00000
1992,No migration background,1st Quintile,At least once per week,0.08233,139,13010,0.08217,0.08250
1992,No migration background,1st Quintile,At least once per month,0.06760,115,13010,0.06745,0.06775
1992,No migration background,1st Quintile,Seldom,0.19841,376,13010,0.19817,0.19865
1992,No migration background,1st Quintile,Never,0.65166,1532,13010,0.65137,0.65194
1992,No migration background,2nd Quintile,At least once per week,0.11939,193,13010,0.11919,0.11958
1992,No migration background,2nd Quintile,At least once per month,0.07835,142,13010,0.07819,0.07851
1992,No migration background,2nd Quintile,Seldom,0.26410,499,13010,0.26383,0.26437
1992,No migration background,2nd Quintile,Never,0.53817,1311,13010,0.53786,0.53847
1992,No migration background,3rd Quintile,At least once per week,0.12597,207,13010,0.12577,0.12616
1992,No migration background,3rd Quintile,At least once per month,0.09055,147,13010,0.09038,0.09072
1992,No migration background,3rd Quintile,Seldom,0.28660,518,13010,0.28633,0.28687
1992,No migration background,3rd Quintile,Never,0.49688,1069,13010,0.49659,0.49718
1992,No migration background,4th Quintile,At least once per week,0.09972,189,13010,0.09955,0.09989
1992,No migration background,4th Quintile,At least once per month,0.08725,170,13010,0.08709,0.08741
1992,No migration background,4th Quintile,Seldom,0.32342,617,13010,0.32315,0.32369
1992,No migration background,4th Quintile,Never,0.48962,994,13010,0.48933,0.48990
1992,No migration background,5th Quintile,At least once per week,0.11897,219,13010,0.11879,0.11915
1992,No migration background,5th Quintile,At least once per month,0.07777,159,13010,0.07762,0.07791
1992,No migration background,5th Quintile,Seldom,0.32032,662,13010,0.32006,0.32057
1992,No migration background,5th Quintile,Never,0.48295,1010,13010,0.48268,0.48322
1992,Direct migration background,1st Quintile,At least once per week,0.19185,99,13010,0.19122,0.19249
1992,Direct migration background,1st Quintile,At least once per month,0.10900,74,13010,0.10850,0.10950
1992,Direct migration background,1st Quintile,Seldom,0.14728,81,13010,0.14671,0.14786
1992,Direct migration background,1st Quintile,Never,0.55186,264,13010,0.55106,0.55267
1992,Direct migration background,2nd Quintile,At least once per week,0.15310,109,13010,0.15251,0.15370
1992,Direct migration background,2nd Quintile,At least once per month,0.15333,82,13010,0.15274,0.15393
1992,Direct migration background,2nd Quintile,Seldom,0.20089,119,13010,0.20023,0.20155
1992,Direct migration background,2nd Quintile,Never,0.49268,269,13010,0.49185,0.49350
1992,Direct migration background,3rd Quintile,At least once per week,0.15406,100,13010,0.15350,0.15461
1992,Direct migration background,3rd Quintile,At least once per month,0.11412,91,13010,0.11363,0.11461
1992,Direct migration background,3rd Quintile,Seldom,0.26610,138,13010,0.26542,0.26678
1992,Direct migration background,3rd Quintile,Never,0.46572,274,13010,0.46495,0.46649
1992,Direct migration background,4th Quintile,At least once per week,0.12270,73,13010,0.12219,0.12321
1992,Direct migration background,4th Quintile,At least once per month,0.11377,65,13010,0.11328,0.11426
1992,Direct migration background,4th Quintile,Seldom,0.27334,159,13010,0.27264,0.27403
1992,Direct migration background,4th Quintile,Never,0.49019,251,13010,0.48941,0.49097
1992,Direct migration background,5th Quintile,At least once per month,0.16860,40,13010,0.16783,0.16937
1992,Direct migration background,5th Quintile,Seldom,0.27330,79,13010,0.27239,0.27422
1992,Direct migration background,5th Quintile,Never,0.55810,126,13010,0.55708,0.55912
1992,Indirect migration background,1st Quintile,Never,1.00000,38,13010,1.00000,1.00000
1992,Indirect migration background,2nd Quintile,Never,1.00000,49,13010,1.00000,1.00000
1992,Indirect migration background,3rd Quintile,Seldom,0.39865,35,13010,0.39620,0.40110
1992,Indirect migration background,3rd Quintile,Never,0.60135,47,13010,0.59890,0.60380
1992,Indirect migration background,4th Quintile,Seldom,0.44136,36,13010,0.43901,0.44372
1992,Indirect migration background,4th Quintile,Never,0.55864,44,13010,0.55628,0.56099
1994,No migration background,1st Quintile,At least once per week,0.11627,154,12595,0.11607,0.11646
1994,No migration background,1st Quintile,At least once per month,0.06874,91,12595,0.06858,0.06890
1994,No migration background,1st Quintile,Seldom,0.22663,348,12595,0.22637,0.22689
1994,No migration background,1st Quintile,Never,0.58837,1115,12595,0.58806,0.58868
1994,No migration background,2nd Quintile,At least once per week,0.08708,145,12595,0.08691,0.08725
1994,No migration background,2nd Quintile,At least once per month,0.08927,154,12595,0.08910,0.08945
1994,No migration background,2nd Quintile,Seldom,0.27838,518,12595,0.27811,0.27865
1994,No migration background,2nd Quintile,Never,0.54526,1215,12595,0.54496,0.54556
1994,No migration background,3rd Quintile,At least once per week,0.10121,174,12595,0.10103,0.10139
1994,No migration background,3rd Quintile,At least once per month,0.08473,158,12595,0.08456,0.08489
1994,No migration background,3rd Quintile,Seldom,0.27492,548,12595,0.27466,0.27518
1994,No migration background,3rd Quintile,Never,0.53914,1206,12595,0.53885,0.53943
1994,No migration background,4th Quintile,At least once per week,0.11582,204,12595,0.11564,0.11600
1994,No migration background,4th Quintile,At least once per month,0.08798,178,12595,0.08782,0.08814
1994,No migration background,4th Quintile,Seldom,0.30730,593,12595,0.30704,0.30756
1994,No migration background,4th Quintile,Never,0.48890,1078,12595,0.48862,0.48918
1994,No migration background,5th Quintile,At least once per week,0.11540,219,12595,0.11522,0.11557
1994,No migration background,5th Quintile,At least once per month,0.08144,173,12595,0.08129,0.08159
1994,No migration background,5th Quintile,Seldom,0.31506,634,12595,0.31481,0.31531
1994,No migration background,5th Quintile,Never,0.48810,1047,12595,0.48782,0.48837
1994,Direct migration background,1st Quintile,At least once per week,0.18054,147,12595,0.18001,0.18107
1994,Direct migration background,1st Quintile,At least once per month,0.12634,98,12595,0.12589,0.12680
1994,Direct migration background,1st Quintile,Seldom,0.21924,133,12595,0.21868,0.21981
1994,Direct migration background,1st Quintile,Never,0.47387,281,12595,0.47319,0.47456
1994,Direct migration background,2nd Quintile,At least once per week,0.20210,110,12595,0.20148,0.20272
1994,Direct migration background,2nd Quintile,At least once per month,0.15503,78,12595,0.15448,0.15559
1994,Direct migration background,2nd Quintile,Seldom,0.24509,146,12595,0.24443,0.24576
1994,Direct migration background,2nd Quintile,Never,0.39777,213,12595,0.39701,0.39852
1994,Direct migration background,3rd Quintile,At least once per week,0.15625,86,12595,0.15567,0.15684
1994,Direct migration background,3rd Quintile,At least once per month,0.12790,69,12595,0.12736,0.12844
1994,Direct migration background,3rd Quintile,Seldom,0.27693,147,12595,0.27620,0.27765
1994,Direct migration background,3rd Quintile,Never,0.43892,189,12595,0.43812,0.43972
1994,Direct migration background,4th Quintile,At least once per week,0.11364,46,12595,0.11312,0.11417
