"pli0098_h","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","9","","",""
"Täglich","1995","(noch) kein Abschluss","2","2","","",""
"Täglich","1995","(noch) kein Abschluss","3","","","",""
"Täglich","1995","(noch) kein Abschluss","4","","","",""
"Täglich","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","Hauptschule","1 Einkommensschwächstes Quintil","26","","",""
"Täglich","1995","Hauptschule","2","17","","",""
"Täglich","1995","Hauptschule","3","3","","",""
"Täglich","1995","Hauptschule","4","3","","",""
"Täglich","1995","Hauptschule","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","Realschule","1 Einkommensschwächstes Quintil","1","","",""
"Täglich","1995","Realschule","2","2","","",""
"Täglich","1995","Realschule","3","2","","",""
"Täglich","1995","Realschule","4","3","","",""
"Täglich","1995","Realschule","5 Einkommensstärkstes Quintil","1","","",""
"Täglich","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","8","","",""
"Täglich","1995","(Fach-)Abitur","2","1","","",""
"Täglich","1995","(Fach-)Abitur","3","1","","",""
"Täglich","1995","(Fach-)Abitur","4","","","",""
"Täglich","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1995","AkademikerIn","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1995","AkademikerIn","2","","","",""
"Täglich","1995","AkademikerIn","3","","","",""
"Täglich","1995","AkademikerIn","4","1","","",""
"Täglich","1995","AkademikerIn","5 Einkommensstärkstes Quintil","1","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","92","0.151611134810894","0.119459935929945","0.183762333691842"
"Min 1x pro Woche","1995","(noch) kein Abschluss","2","43","0.140456246280014","0.0947499398517094","0.186162552708318"
"Min 1x pro Woche","1995","(noch) kein Abschluss","3","11","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","4","5","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","1","","",""
"Min 1x pro Woche","1995","Hauptschule","1 Einkommensschwächstes Quintil","331","0.129065354376189","0.115959568233262","0.142171140519115"
"Min 1x pro Woche","1995","Hauptschule","2","229","0.136077117727671","0.120565896421806","0.151588339033536"
"Min 1x pro Woche","1995","Hauptschule","3","94","0.106231148860866","0.0866679356874447","0.125794362034288"
"Min 1x pro Woche","1995","Hauptschule","4","65","0.115832802051697","0.0893272375488862","0.142338366554509"
"Min 1x pro Woche","1995","Hauptschule","5 Einkommensstärkstes Quintil","33","0.193713528136757","0.135817837681098","0.251609218592416"
"Min 1x pro Woche","1995","Realschule","1 Einkommensschwächstes Quintil","68","0.0775096932403633","0.061547313977217","0.0934720725035096"
"Min 1x pro Woche","1995","Realschule","2","61","0.080350541739656","0.0626888232141639","0.0980122602651481"
"Min 1x pro Woche","1995","Realschule","3","48","0.105282896830104","0.0794680258502064","0.131097767810002"
"Min 1x pro Woche","1995","Realschule","4","34","0.098919607958219","0.0689804644172036","0.128858751499235"
"Min 1x pro Woche","1995","Realschule","5 Einkommensstärkstes Quintil","11","","",""
"Min 1x pro Woche","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","66","0.136493579587661","0.102155865824503","0.170831293350819"
"Min 1x pro Woche","1995","(Fach-)Abitur","2","31","0.104950625656933","0.0691153339804463","0.14078591733342"
"Min 1x pro Woche","1995","(Fach-)Abitur","3","16","","",""
"Min 1x pro Woche","1995","(Fach-)Abitur","4","9","","",""
"Min 1x pro Woche","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","7","","",""
"Min 1x pro Woche","1995","AkademikerIn","1 Einkommensschwächstes Quintil","24","","",""
"Min 1x pro Woche","1995","AkademikerIn","2","31","0.084431462887839","0.0588563386764195","0.110006587099259"
"Min 1x pro Woche","1995","AkademikerIn","3","39","0.121251627607985","0.0881698875180218","0.154333367697949"
"Min 1x pro Woche","1995","AkademikerIn","4","34","0.121269224489211","0.0848126422764341","0.157725806701988"
"Min 1x pro Woche","1995","AkademikerIn","5 Einkommensstärkstes Quintil","17","","",""
"Min 1x pro Monat","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","62","0.117411850014177","0.0885536556359406","0.146270044392414"
"Min 1x pro Monat","1995","(noch) kein Abschluss","2","30","0.0951113307506673","0.0565203951337978","0.133702266367537"
"Min 1x pro Monat","1995","(noch) kein Abschluss","3","15","","",""
"Min 1x pro Monat","1995","(noch) kein Abschluss","4","4","","",""
"Min 1x pro Monat","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","1","","",""
"Min 1x pro Monat","1995","Hauptschule","1 Einkommensschwächstes Quintil","271","0.109544347865781","0.0973357275099376","0.121752968221625"
"Min 1x pro Monat","1995","Hauptschule","2","205","0.101563922192623","0.0878983041356555","0.11522954024959"
"Min 1x pro Monat","1995","Hauptschule","3","102","0.109399340528269","0.0895817660557019","0.129216915000837"
"Min 1x pro Monat","1995","Hauptschule","4","61","0.0981211950425793","0.073482960659629","0.12275942942553"
"Min 1x pro Monat","1995","Hauptschule","5 Einkommensstärkstes Quintil","19","","",""
"Min 1x pro Monat","1995","Realschule","1 Einkommensschwächstes Quintil","72","0.0821799114176875","0.0657853303157226","0.0985744925196525"
"Min 1x pro Monat","1995","Realschule","2","67","0.0848992322088045","0.066789428790691","0.103009035626918"
"Min 1x pro Monat","1995","Realschule","3","37","0.0664975031099758","0.0455414935736279","0.0874535126463237"
"Min 1x pro Monat","1995","Realschule","4","25","","",""
"Min 1x pro Monat","1995","Realschule","5 Einkommensstärkstes Quintil","26","","",""
"Min 1x pro Monat","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","30","0.0601088807915169","0.0363355204766136","0.0838822411064201"
"Min 1x pro Monat","1995","(Fach-)Abitur","2","23","","",""
"Min 1x pro Monat","1995","(Fach-)Abitur","3","10","","",""
"Min 1x pro Monat","1995","(Fach-)Abitur","4","18","","",""
"Min 1x pro Monat","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","9","","",""
"Min 1x pro Monat","1995","AkademikerIn","1 Einkommensschwächstes Quintil","19","","",""
"Min 1x pro Monat","1995","AkademikerIn","2","31","0.0671177052797034","0.0441005239138123","0.0901348866455945"
"Min 1x pro Monat","1995","AkademikerIn","3","32","0.101059292707132","0.070512477281582","0.131606108132682"
"Min 1x pro Monat","1995","AkademikerIn","4","24","","",""
"Min 1x pro Monat","1995","AkademikerIn","5 Einkommensstärkstes Quintil","28","","",""
"Seltener","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","84","0.197095294944563","0.161433411796732","0.232757178092394"
"Seltener","1995","(noch) kein Abschluss","2","56","0.246693246213762","0.189986312531567","0.303400179895957"
"Seltener","1995","(noch) kein Abschluss","3","31","0.380656680224227","0.284524783798655","0.4767885766498"
"Seltener","1995","(noch) kein Abschluss","4","19","","",""
