year,pgisced97,sex,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,male,Never,0.55022,43,43,0.39976,0.70067
1990,No answer / don't know,female,Never,0.54723,38,38,0.38684,0.70762
1990,Pre-primary Level,male,Seldom,0.41781,36,78,0.30765,0.52797
1990,Pre-primary Level,male,Never,0.29976,42,78,0.19743,0.40210
1990,Pre-primary Level,female,Never,0.38630,38,38,0.22941,0.54319
1990,Primary Level,male,At least once per week,0.11876,44,257,0.07913,0.15839
1990,Primary Level,male,At least once per month,0.12832,43,257,0.08735,0.16929
1990,Primary Level,male,Seldom,0.26160,58,257,0.20776,0.31544
1990,Primary Level,male,Never,0.49132,112,257,0.43008,0.55256
1990,Primary Level,female,At least once per week,0.17622,83,376,0.13765,0.21478
1990,Primary Level,female,At least once per month,0.11942,48,376,0.08659,0.15224
1990,Primary Level,female,Seldom,0.23619,81,376,0.19320,0.27918
1990,Primary Level,female,Never,0.46818,164,376,0.41767,0.51868
1990,Lower Secondary Level,male,At least once per week,0.11514,128,995,0.09530,0.13499
1990,Lower Secondary Level,male,At least once per month,0.09205,97,995,0.07408,0.11002
1990,Lower Secondary Level,male,Seldom,0.27239,257,995,0.24471,0.30006
1990,Lower Secondary Level,male,Never,0.52042,513,995,0.48936,0.55148
1990,Lower Secondary Level,female,At least once per week,0.19676,338,1955,0.17914,0.21439
1990,Lower Secondary Level,female,At least once per month,0.13952,255,1955,0.12416,0.15488
1990,Lower Secondary Level,female,Seldom,0.27120,531,1955,0.25149,0.29092
1990,Lower Secondary Level,female,Never,0.39251,831,1955,0.37086,0.41417
1990,Upper Secondary Level,male,At least once per week,0.10262,352,3641,0.09277,0.11248
1990,Upper Secondary Level,male,At least once per month,0.08153,279,3641,0.07264,0.09042
1990,Upper Secondary Level,male,Seldom,0.28598,957,3641,0.27130,0.30066
1990,Upper Secondary Level,male,Never,0.52986,2053,3641,0.51364,0.54607
1990,Upper Secondary Level,female,At least once per week,0.11868,345,3351,0.10773,0.12963
1990,Upper Secondary Level,female,At least once per month,0.11844,348,3351,0.10749,0.12938
1990,Upper Secondary Level,female,Seldom,0.29905,941,3351,0.28355,0.31456
1990,Upper Secondary Level,female,Never,0.46383,1717,3351,0.44694,0.48071
1990,Post-secondary Non-tertiary Level,male,Seldom,0.31306,60,172,0.24355,0.38257
1990,Post-secondary Non-tertiary Level,male,Never,0.51094,112,172,0.43602,0.58586
1990,Post-secondary Non-tertiary Level,female,Seldom,0.25740,47,129,0.18166,0.33314
1990,Post-secondary Non-tertiary Level,female,Never,0.56642,82,129,0.48057,0.65227
1990,First Stage of Tertiary Education,male,At least once per week,0.10979,43,494,0.08219,0.13739
1990,First Stage of Tertiary Education,male,At least once per month,0.06922,33,494,0.04682,0.09163
1990,First Stage of Tertiary Education,male,Seldom,0.30373,146,494,0.26314,0.34433
1990,First Stage of Tertiary Education,male,Never,0.51725,272,494,0.47314,0.56136
1990,First Stage of Tertiary Education,female,At least once per week,0.17473,44,266,0.12901,0.22046
1990,First Stage of Tertiary Education,female,At least once per month,0.11556,32,266,0.07707,0.15405
1990,First Stage of Tertiary Education,female,Seldom,0.33289,93,266,0.27615,0.38962
1990,First Stage of Tertiary Education,female,Never,0.37682,97,266,0.31847,0.43517
1990,Second Stage of Tertiary Education,male,At least once per week,0.10186,78,908,0.08218,0.12155
1990,Second Stage of Tertiary Education,male,At least once per month,0.09019,65,908,0.07155,0.10883
1990,Second Stage of Tertiary Education,male,Seldom,0.28829,232,908,0.25881,0.31777
1990,Second Stage of Tertiary Education,male,Never,0.51966,533,908,0.48714,0.55217
1990,Second Stage of Tertiary Education,female,At least once per week,0.13328,68,756,0.10904,0.15753
1990,Second Stage of Tertiary Education,female,At least once per month,0.08102,52,756,0.06156,0.10049
1990,Second Stage of Tertiary Education,female,Seldom,0.24820,162,756,0.21739,0.27901
1990,Second Stage of Tertiary Education,female,Never,0.53749,474,756,0.50193,0.57306
1992,No answer / don't know,male,Never,0.60566,53,53,0.47282,0.73849
1992,No answer / don't know,female,Never,0.50299,52,52,0.36576,0.64021
1992,Pre-primary Level,male,Never,0.45522,45,45,0.30807,0.60236
1992,Pre-primary Level,female,Never,0.50801,55,55,0.37466,0.64135
1992,Primary Level,male,At least once per week,0.13593,40,251,0.09345,0.17842
1992,Primary Level,male,At least once per month,0.08149,31,251,0.04757,0.11540
1992,Primary Level,male,Seldom,0.25591,66,251,0.20182,0.31000
1992,Primary Level,male,Never,0.52667,114,251,0.46478,0.58856
1992,Primary Level,female,At least once per week,0.15214,75,372,0.11560,0.18869
1992,Primary Level,female,At least once per month,0.10993,49,372,0.07810,0.14176
1992,Primary Level,female,Seldom,0.19074,78,372,0.15076,0.23072
1992,Primary Level,female,Never,0.54718,170,372,0.49653,0.59783
1992,Lower Secondary Level,male,At least once per week,0.11354,113,963,0.09349,0.13358
1992,Lower Secondary Level,male,At least once per month,0.06266,90,963,0.04735,0.07798
1992,Lower Secondary Level,male,Seldom,0.24315,220,963,0.21604,0.27026
1992,Lower Secondary Level,male,Never,0.58065,540,963,0.54947,0.61184
1992,Lower Secondary Level,female,At least once per week,0.16467,269,1792,0.14749,0.18185
1992,Lower Secondary Level,female,At least once per month,0.12885,220,1792,0.11333,0.14436
1992,Lower Secondary Level,female,Seldom,0.27146,459,1792,0.25086,0.29206
1992,Lower Secondary Level,female,Never,0.43503,844,1792,0.41207,0.45799
1992,Upper Secondary Level,male,At least once per week,0.09217,289,3406,0.08246,0.10189
1992,Upper Secondary Level,male,At least once per month,0.06947,245,3406,0.06093,0.07801
1992,Upper Secondary Level,male,Seldom,0.27218,856,3406,0.25723,0.28713
1992,Upper Secondary Level,male,Never,0.56618,2016,3406,0.54953,0.58282
1992,Upper Secondary Level,female,At least once per week,0.09742,277,3252,0.08722,0.10761
1992,Upper Secondary Level,female,At least once per month,0.09082,282,3252,0.08094,0.10070
1992,Upper Secondary Level,female,Seldom,0.30106,917,3252,0.28530,0.31683
1992,Upper Secondary Level,female,Never,0.51070,1776,3252,0.49352,0.52789
1992,Post-secondary Non-tertiary Level,male,Seldom,0.28233,53,176,0.21564,0.34902
1992,Post-secondary Non-tertiary Level,male,Never,0.55826,123,176,0.48469,0.63184
1992,Post-secondary Non-tertiary Level,female,Seldom,0.23020,42,139,0.15996,0.30043
1992,Post-secondary Non-tertiary Level,female,Never,0.58920,97,139,0.50712,0.67129
1992,First Stage of Tertiary Education,male,At least once per week,0.09849,43,460,0.07123,0.12575
1992,First Stage of Tertiary Education,male,Seldom,0.31155,143,460,0.26918,0.35391
1992,First Stage of Tertiary Education,male,Never,0.53257,274,460,0.48693,0.57822
1992,First Stage of Tertiary Education,female,At least once per week,0.19360,48,240,0.14351,0.24370
1992,First Stage of Tertiary Education,female,Seldom,0.31044,85,240,0.25178,0.36909
1992,First Stage of Tertiary Education,female,Never,0.37660,107,240,0.31517,0.43803
1992,Second Stage of Tertiary Education,male,At least once per week,0.09397,77,904,0.07494,0.11300
1992,Second Stage of Tertiary Education,male,At least once per month,0.07774,57,904,0.06028,0.09521
1992,Second Stage of Tertiary Education,male,Seldom,0.24380,208,904,0.21580,0.27181
1992,Second Stage of Tertiary Education,male,Never,0.58449,562,904,0.55234,0.61663
