,Unnamed: 0,year,age_gr,regtyp,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,17-29 y.,Urban regions,At least once per week,0.08381,246,13633,0.07604,0.0922
1,1,1990,17-29 y.,Urban regions,At least once per month,0.06108,193,13633,0.0536,0.06927
2,2,1990,17-29 y.,Urban regions,Seldom,0.29099,698,13633,0.27283,0.3088
3,3,1990,17-29 y.,Urban regions,Never,0.56412,1355,13633,0.54251,0.58533
4,4,1990,17-29 y.,Rural regions,At least once per week,0.0882,99,13633,0.07882,0.09891
5,5,1990,17-29 y.,Rural regions,At least once per month,0.09007,98,13633,0.08041,0.09884
6,6,1990,17-29 y.,Rural regions,Seldom,0.25914,286,13633,0.24184,0.27937
7,7,1990,17-29 y.,Rural regions,Never,0.56259,817,13633,0.53897,0.59273
8,8,1990,30-45 y.,Urban regions,At least once per week,0.08812,263,13633,0.08119,0.09763
9,9,1990,30-45 y.,Urban regions,At least once per month,0.09088,255,13633,0.08231,0.09882
10,10,1990,30-45 y.,Urban regions,Seldom,0.32706,837,13633,0.31244,0.34229
11,11,1990,30-45 y.,Urban regions,Never,0.49393,1360,13633,0.47486,0.51248
12,12,1990,30-45 y.,Rural regions,At least once per week,0.09022,104,13633,0.08021,0.10068
13,13,1990,30-45 y.,Rural regions,At least once per month,0.07606,101,13633,0.06539,0.08496
14,14,1990,30-45 y.,Rural regions,Seldom,0.31002,387,13633,0.28916,0.33291
15,15,1990,30-45 y.,Rural regions,Never,0.52371,916,13633,0.50037,0.54915
16,16,1990,46-65 y.,Urban regions,At least once per week,0.16322,473,13633,0.15501,0.17222
17,17,1990,46-65 y.,Urban regions,At least once per month,0.11135,330,13633,0.10378,0.1202
18,18,1990,46-65 y.,Urban regions,Seldom,0.29874,766,13633,0.28568,0.31207
19,19,1990,46-65 y.,Urban regions,Never,0.42669,1188,13633,0.41259,0.44122
20,20,1990,46-65 y.,Rural regions,At least once per week,0.13369,148,13633,0.12384,0.1438
21,21,1990,46-65 y.,Rural regions,At least once per month,0.11896,139,13633,0.10808,0.1284
22,22,1990,46-65 y.,Rural regions,Seldom,0.29398,358,13633,0.27546,0.30815
23,23,1990,46-65 y.,Rural regions,Never,0.45336,783,13633,0.43548,0.4732
24,24,1990,66 and older,Urban regions,At least once per week,0.20768,187,13633,0.19418,0.2208
25,25,1990,66 and older,Urban regions,At least once per month,0.14408,120,13633,0.13338,0.15399
26,26,1990,66 and older,Urban regions,Seldom,0.22721,214,13633,0.2133,0.24042
27,27,1990,66 and older,Urban regions,Never,0.42103,379,13633,0.40295,0.43697
28,28,1990,66 and older,Rural regions,At least once per week,0.21342,97,13633,0.19617,0.23153
