"pli0098_h","year","migback","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Taeglich","1990","kein Migrationshintergrund","Westdeutschland","42","0.00701439236556067","0.00500245773541427","0.00902632699570707"
"Taeglich","1990","kein Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1990","direkter Migrationshintergrund","Westdeutschland","36","0.0116975586329232","0.00747944427316498","0.0159156729926814"
"Taeglich","1990","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1990","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Taeglich","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","kein Migrationshintergrund","Westdeutschland","937","0.141918715851272","0.133506093133946","0.150331338568598"
"Min 1x pro Woche","1990","kein Migrationshintergrund","Ostdeutschland","158","0.0395075537731042","0.0336064191028752","0.0454086884433331"
"Min 1x pro Woche","1990","direkter Migrationshintergrund","Westdeutschland","408","0.152082691536275","0.137994915270126","0.166170467802425"
"Min 1x pro Woche","1990","direkter Migrationshintergrund","Ostdeutschland","5","","",""
"Min 1x pro Woche","1990","indirekter Migrationshintergrund","Westdeutschland","31","0.122964629181589","0.0852334608520446","0.160695797511133"
"Min 1x pro Woche","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Woche","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","kein Migrationshintergrund","Westdeutschland","759","0.115130045442919","0.107435527373938","0.1228245635119"
"Min 1x pro Monat","1990","kein Migrationshintergrund","Ostdeutschland","187","0.0488108010760881","0.0422834059673197","0.0553381961848565"
"Min 1x pro Monat","1990","direkter Migrationshintergrund","Westdeutschland","334","0.119385641076366","0.106665417939347","0.132105864213385"
"Min 1x pro Monat","1990","direkter Migrationshintergrund","Ostdeutschland","9","","",""
"Min 1x pro Monat","1990","indirekter Migrationshintergrund","Westdeutschland","31","0.105260392405757","0.0700003832882271","0.140520401523288"
"Min 1x pro Monat","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Monat","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Seltener","1990","kein Migrationshintergrund","Westdeutschland","2198","0.322771973756906","0.311500966444836","0.334042981068976"
"Seltener","1990","kein Migrationshintergrund","Ostdeutschland","683","0.156320133552241","0.145318813983468","0.167321453121015"
"Seltener","1990","direkter Migrationshintergrund","Westdeutschland","649","0.270199515325126","0.252778632603288","0.287620398046964"
"Seltener","1990","direkter Migrationshintergrund","Ostdeutschland","31","0.230029538412408","0.159037435152312","0.301021641672503"
"Seltener","1990","indirekter Migrationshintergrund","Westdeutschland","100","0.334259553733559","0.280059966084335","0.388459141382783"
"Seltener","1990","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"Seltener","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Seltener","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nie","1990","kein Migrationshintergrund","Westdeutschland","2674","0.413164872583343","0.401294424641081","0.425035320525605"
"Nie","1990","kein Migrationshintergrund","Ostdeutschland","3158","0.755361511598566","0.742339193569484","0.768383829627649"
"Nie","1990","direkter Migrationshintergrund","Westdeutschland","1069","0.44663459342931","0.42713129876566","0.466137888092959"
"Nie","1990","direkter Migrationshintergrund","Ostdeutschland","90","0.642919604779889","0.562095194472407","0.723744015087371"
"Nie","1990","indirekter Migrationshintergrund","Westdeutschland","129","0.437515424679095","0.38051821571626","0.494512633641929"
"Nie","1990","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"Nie","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nie","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Taeglich","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Taeglich","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Woche","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Woche","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Woche","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Woche","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Monat","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Monat","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Monat","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Monat","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Seltener","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"Seltener","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"Seltener","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Seltener","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Seltener","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nie","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"Nie","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nie","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nie","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nie","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Taeglich","1992","kein Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1992","kein Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1992","direkter Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1992","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1992","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1992","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Taeglich","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Woche","1992","kein Migrationshintergrund","Westdeutschland","813","0.129932635908502","0.121747438812134","0.138117833004871"
"Min 1x pro Woche","1992","kein Migrationshintergrund","Ostdeutschland","134","0.0366209905770002","0.030637166972408","0.0426048141815924"
"Min 1x pro Woche","1992","direkter Migrationshintergrund","Westdeutschland","401","0.152431924425241","0.137988301849929","0.166875547000553"
"Min 1x pro Woche","1992","direkter Migrationshintergrund","Ostdeutschland","7","","",""
"Min 1x pro Woche","1992","indirekter Migrationshintergrund","Westdeutschland","30","0.0739839395283886","0.0481059935527001","0.0998618855040771"
"Min 1x pro Woche","1992","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"Min 1x pro Woche","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Woche","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Monat","1992","kein Migrationshintergrund","Westdeutschland","599","0.0926616147276937","0.0856028590220996","0.0997203704332878"
"Min 1x pro Monat","1992","kein Migrationshintergrund","Ostdeutschland","134","0.0367126967566166","0.0307216706696493","0.0427037228435839"
"Min 1x pro Monat","1992","direkter Migrationshintergrund","Westdeutschland","345","0.132995646965625","0.119350437017076","0.146640856914173"
"Min 1x pro Monat","1992","direkter Migrationshintergrund","Ostdeutschland","7","","",""
"Min 1x pro Monat","1992","indirekter Migrationshintergrund","Westdeutschland","47","0.10915422512573","0.0783242372738736","0.139984212977587"
"Min 1x pro Monat","1992","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Monat","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Seltener","1992","kein Migrationshintergrund","Westdeutschland","2089","0.318369671050654","0.307029127387841","0.329710214713467"
"Seltener","1992","kein Migrationshintergrund","Ostdeutschland","582","0.14807831591071","0.136763155408995","0.159393476412425"
"Seltener","1992","direkter Migrationshintergrund","Westdeutschland","545","0.229675397382937","0.212773129033339","0.246577665732534"
"Seltener","1992","direkter Migrationshintergrund","Ostdeutschland","31","0.201880579018722","0.136090367522313","0.26767079051513"
"Seltener","1992","indirekter Migrationshintergrund","Westdeutschland","126","0.312433993920985","0.266610504802575","0.358257483039394"
"Seltener","1992","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Seltener","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nie","1992","kein Migrationshintergrund","Westdeutschland","2981","0.45903607831315","0.446904951605478","0.471167205020822"
"Nie","1992","kein Migrationshintergrund","Ostdeutschland","2935","0.778587996755673","0.765360746152366","0.79181524735898"
"Nie","1992","direkter Migrationshintergrund","Westdeutschland","1088","0.484897031226198","0.464814305407905","0.504979757044491"
"Nie","1992","direkter Migrationshintergrund","Ostdeutschland","98","0.674668712653031","0.597881611348295","0.751455813957766"
"Nie","1992","indirekter Migrationshintergrund","Westdeutschland","190","0.504427841424896","0.454996227513467","0.553859455336326"
"Nie","1992","indirekter Migrationshintergrund","Ostdeutschland","8","","",""
"Nie","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nie","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Taeglich","1993","kein Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1993","kein Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1993","direkter Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1993","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1993","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1993","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Taeglich","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","kein Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Woche","1993","kein Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","direkter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Woche","1993","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Woche","1993","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Woche","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","kein Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Monat","1993","kein Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","direkter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Monat","1993","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Monat","1993","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Monat","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Seltener","1993","kein Migrationshintergrund","Westdeutschland","","","",""
"Seltener","1993","kein Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1993","direkter Migrationshintergrund","Westdeutschland","","","",""
"Seltener","1993","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1993","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Seltener","1993","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Seltener","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nie","1993","kein Migrationshintergrund","Westdeutschland","","","",""
"Nie","1993","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1993","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nie","1993","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1993","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nie","1993","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nie","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Taeglich","1994","kein Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1994","kein Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1994","direkter Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1994","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1994","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1994","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1994","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Taeglich","1994","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
