year,quintil_oecd,regtyp,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,Urban regions,At least once per week,0.17321,279,1463,0.15381,0.19261
1990,1st Quintile,Urban regions,At least once per month,0.13222,189,1463,0.11486,0.14958
1990,1st Quintile,Urban regions,Seldom,0.24251,363,1463,0.22054,0.26448
1990,1st Quintile,Urban regions,Never,0.45206,632,1463,0.42655,0.47757
1990,1st Quintile,Rural regions,At least once per week,0.20295,84,418,0.16435,0.24156
1990,1st Quintile,Rural regions,At least once per month,0.15378,61,418,0.11915,0.18840
1990,1st Quintile,Rural regions,Seldom,0.28120,109,418,0.23804,0.32435
1990,1st Quintile,Rural regions,Never,0.36207,164,418,0.31594,0.40820
1990,2nd Quintile,Urban regions,At least once per week,0.16164,248,1483,0.14290,0.18039
1990,2nd Quintile,Urban regions,At least once per month,0.10951,163,1483,0.09361,0.12541
1990,2nd Quintile,Urban regions,Seldom,0.30433,462,1483,0.28090,0.32776
1990,2nd Quintile,Urban regions,Never,0.42451,610,1483,0.39935,0.44968
1990,2nd Quintile,Rural regions,At least once per week,0.15749,62,398,0.12165,0.19332
1990,2nd Quintile,Rural regions,At least once per month,0.15750,56,398,0.12166,0.19333
1990,2nd Quintile,Rural regions,Seldom,0.37436,150,398,0.32676,0.42197
1990,2nd Quintile,Rural regions,Never,0.31065,130,398,0.26513,0.35618
1990,3rd Quintile,Urban regions,At least once per week,0.13083,203,1533,0.11394,0.14772
1990,3rd Quintile,Urban regions,At least once per month,0.09745,176,1533,0.08260,0.11230
1990,3rd Quintile,Urban regions,Seldom,0.33486,498,1533,0.31122,0.35849
1990,3rd Quintile,Urban regions,Never,0.43686,656,1533,0.41203,0.46170
1990,3rd Quintile,Rural regions,At least once per week,0.21470,73,350,0.17162,0.25778
1990,3rd Quintile,Rural regions,At least once per month,0.12880,49,350,0.09366,0.16395
1990,3rd Quintile,Rural regions,Seldom,0.39036,125,350,0.33917,0.44154
1990,3rd Quintile,Rural regions,Never,0.26614,103,350,0.21977,0.31251
1990,4th Quintile,Urban regions,At least once per week,0.11807,196,1473,0.10158,0.13455
1990,4th Quintile,Urban regions,At least once per month,0.10066,172,1473,0.08529,0.11603
1990,4th Quintile,Urban regions,Seldom,0.31218,460,1473,0.28850,0.33585
1990,4th Quintile,Urban regions,Never,0.46910,645,1473,0.44360,0.49459
1990,4th Quintile,Rural regions,At least once per week,0.16920,70,464,0.13505,0.20335
1990,4th Quintile,Rural regions,At least once per month,0.18117,76,464,0.14609,0.21626
1990,4th Quintile,Rural regions,Seldom,0.32587,151,464,0.28318,0.36856
1990,4th Quintile,Rural regions,Never,0.32376,167,464,0.28114,0.36638
1990,5th Quintile,Urban regions,At least once per week,0.12939,192,1501,0.11240,0.14637
1990,5th Quintile,Urban regions,At least once per month,0.09710,149,1501,0.08212,0.11209
