"pli0098_h","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Taeglich","1990","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Taeglich","1990","(noch) kein Abschluss","Hamburg","","","",""
"Taeglich","1990","(noch) kein Abschluss","Niedersachsen","","","",""
"Taeglich","1990","(noch) kein Abschluss","Bremen","","","",""
"Taeglich","1990","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Taeglich","1990","(noch) kein Abschluss","Hessen","","","",""
"Taeglich","1990","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1990","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Taeglich","1990","(noch) kein Abschluss","Bayern","","","",""
"Taeglich","1990","(noch) kein Abschluss","Saarland","","","",""
"Taeglich","1990","(noch) kein Abschluss","Berlin","","","",""
"Taeglich","1990","(noch) kein Abschluss","Brandenburg","","","",""
"Taeglich","1990","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","(noch) kein Abschluss","Sachsen","","","",""
"Taeglich","1990","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Taeglich","1990","(noch) kein Abschluss","Thueringen","","","",""
"Taeglich","1990","Hauptschulabschluss","Schleswig-Holstein","","","",""
"Taeglich","1990","Hauptschulabschluss","Hamburg","","","",""
"Taeglich","1990","Hauptschulabschluss","Niedersachsen","","","",""
"Taeglich","1990","Hauptschulabschluss","Bremen","","","",""
"Taeglich","1990","Hauptschulabschluss","Nordrhein-Westfalen","","","",""
"Taeglich","1990","Hauptschulabschluss","Hessen","","","",""
"Taeglich","1990","Hauptschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1990","Hauptschulabschluss","Baden-Wuerttemberg","","","",""
"Taeglich","1990","Hauptschulabschluss","Bayern","","","",""
"Taeglich","1990","Hauptschulabschluss","Saarland","","","",""
"Taeglich","1990","Hauptschulabschluss","Berlin","","","",""
"Taeglich","1990","Hauptschulabschluss","Brandenburg","","","",""
"Taeglich","1990","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","Hauptschulabschluss","Sachsen","","","",""
"Taeglich","1990","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"Taeglich","1990","Hauptschulabschluss","Thueringen","","","",""
"Taeglich","1990","Realschulabschluss","Schleswig-Holstein","","","",""
"Taeglich","1990","Realschulabschluss","Hamburg","","","",""
"Taeglich","1990","Realschulabschluss","Niedersachsen","","","",""
"Taeglich","1990","Realschulabschluss","Bremen","","","",""
"Taeglich","1990","Realschulabschluss","Nordrhein-Westfalen","","","",""
"Taeglich","1990","Realschulabschluss","Hessen","","","",""
"Taeglich","1990","Realschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1990","Realschulabschluss","Baden-Wuerttemberg","","","",""
"Taeglich","1990","Realschulabschluss","Bayern","","","",""
"Taeglich","1990","Realschulabschluss","Saarland","","","",""
"Taeglich","1990","Realschulabschluss","Berlin","","","",""
"Taeglich","1990","Realschulabschluss","Brandenburg","","","",""
"Taeglich","1990","Realschulabschluss","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","Realschulabschluss","Sachsen","","","",""
"Taeglich","1990","Realschulabschluss","Sachsen-Anhalt","","","",""
"Taeglich","1990","Realschulabschluss","Thueringen","","","",""
"Taeglich","1990","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Taeglich","1990","(Fach-)Abitur","Hamburg","","","",""
"Taeglich","1990","(Fach-)Abitur","Niedersachsen","","","",""
"Taeglich","1990","(Fach-)Abitur","Bremen","","","",""
"Taeglich","1990","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"Taeglich","1990","(Fach-)Abitur","Hessen","","","",""
"Taeglich","1990","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1990","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"Taeglich","1990","(Fach-)Abitur","Bayern","","","",""
"Taeglich","1990","(Fach-)Abitur","Saarland","","","",""
"Taeglich","1990","(Fach-)Abitur","Berlin","","","",""
"Taeglich","1990","(Fach-)Abitur","Brandenburg","","","",""
"Taeglich","1990","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","(Fach-)Abitur","Sachsen","","","",""
"Taeglich","1990","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Taeglich","1990","(Fach-)Abitur","Thueringen","","","",""
"Taeglich","1990","AkademikerInnen","Schleswig-Holstein","","","",""
"Taeglich","1990","AkademikerInnen","Hamburg","","","",""
"Taeglich","1990","AkademikerInnen","Niedersachsen","","","",""
"Taeglich","1990","AkademikerInnen","Bremen","","","",""
"Taeglich","1990","AkademikerInnen","Nordrhein-Westfalen","","","",""
"Taeglich","1990","AkademikerInnen","Hessen","","","",""
"Taeglich","1990","AkademikerInnen","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1990","AkademikerInnen","Baden-Wuerttemberg","","","",""
"Taeglich","1990","AkademikerInnen","Bayern","","","",""
"Taeglich","1990","AkademikerInnen","Saarland","","","",""
"Taeglich","1990","AkademikerInnen","Berlin","","","",""
"Taeglich","1990","AkademikerInnen","Brandenburg","","","",""
"Taeglich","1990","AkademikerInnen","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","AkademikerInnen","Sachsen","","","",""
"Taeglich","1990","AkademikerInnen","Sachsen-Anhalt","","","",""
"Taeglich","1990","AkademikerInnen","Thueringen","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Hamburg","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Niedersachsen","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Bremen","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Nordrhein-Westfalen","44","0.150095938051735","0.107174259785795","0.193017616317674"
"Min 1x pro Woche","1990","(noch) kein Abschluss","Hessen","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Baden-Wuerttemberg","46","0.129708926529429","0.0843749244257222","0.175042928633137"
"Min 1x pro Woche","1990","(noch) kein Abschluss","Bayern","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Saarland","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Berlin","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Brandenburg","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Sachsen","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Thueringen","","","",""
"Min 1x pro Woche","1990","Hauptschulabschluss","Schleswig-Holstein","","","",""
"Min 1x pro Woche","1990","Hauptschulabschluss","Hamburg","","","",""
"Min 1x pro Woche","1990","Hauptschulabschluss","Niedersachsen","44","0.0793009004109869","0.0567187828111899","0.101883018010784"
"Min 1x pro Woche","1990","Hauptschulabschluss","Bremen","","","",""
"Min 1x pro Woche","1990","Hauptschulabschluss","Nordrhein-Westfalen","199","0.15719428131171","0.13782826580317","0.176560296820251"
"Min 1x pro Woche","1990","Hauptschulabschluss","Hessen","63","0.112497170377555","0.0853909782578444","0.139603362497265"
"Min 1x pro Woche","1990","Hauptschulabschluss","Rheinland-Pfalz,Saarland","80","0.18012729655547","0.144541879242535","0.215712713868405"
"Min 1x pro Woche","1990","Hauptschulabschluss","Baden-Wuerttemberg","215","0.231504743211669","0.206064768553197","0.256944717870141"
"Min 1x pro Woche","1990","Hauptschulabschluss","Bayern","183","0.19521552320851","0.169970831496051","0.220460214920969"
"Min 1x pro Woche","1990","Hauptschulabschluss","Saarland","","","",""
"Min 1x pro Woche","1990","Hauptschulabschluss","Berlin","","","",""
"Min 1x pro Woche","1990","Hauptschulabschluss","Brandenburg","","","",""
"Min 1x pro Woche","1990","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1990","Hauptschulabschluss","Sachsen","","","",""
"Min 1x pro Woche","1990","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1990","Hauptschulabschluss","Thueringen","","","",""
