"pli0098_h","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Taeglich","1990","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1990","kein Migrationshintergrund","weiblich","30","0.00717033167268201","0.00497204037943308","0.00936862296593095"
"Taeglich","1990","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1990","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1990","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1990","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1990","kein Migrationshintergrund","maennlich","456","0.102629918786231","0.0943807352214808","0.110879102350981"
"Min 1x pro Woche","1990","kein Migrationshintergrund","weiblich","644","0.137616037019726","0.128640445005688","0.146591629033764"
"Min 1x pro Woche","1990","direkter Migrationshintergrund","maennlich","199","0.124163421331184","0.106814929213083","0.141511913449285"
"Min 1x pro Woche","1990","direkter Migrationshintergrund","weiblich","219","0.176032656254828","0.155037158508133","0.197028154001523"
"Min 1x pro Woche","1990","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1990","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1990","kein Migrationshintergrund","maennlich","361","0.0794883221823691","0.0721354926305554","0.0868411517341828"
"Min 1x pro Monat","1990","kein Migrationshintergrund","weiblich","592","0.12163365684674","0.113117513381055","0.130149800312425"
"Min 1x pro Monat","1990","direkter Migrationshintergrund","maennlich","178","0.11383124440933","0.0971225576769993","0.130539931141661"
"Min 1x pro Monat","1990","direkter Migrationshintergrund","weiblich","169","0.118571487868098","0.100749414129524","0.136393561606671"
"Min 1x pro Monat","1990","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1990","indirekter Migrationshintergrund","weiblich","","","",""
"Seltener","1990","kein Migrationshintergrund","maennlich","1360","0.289041119164097","0.276718862825537","0.301363375502657"
"Seltener","1990","kein Migrationshintergrund","weiblich","1527","0.283901190839753","0.27215361312009","0.295648768559415"
"Seltener","1990","direkter Migrationshintergrund","maennlich","365","0.265908184196131","0.24266506543351","0.289151302958752"
"Seltener","1990","direkter Migrationshintergrund","weiblich","320","0.263426228663357","0.239142678110745","0.287709779215968"
"Seltener","1990","indirekter Migrationshintergrund","maennlich","44","0.281006382264222","0.20834393292082","0.353668831607624"
"Seltener","1990","indirekter Migrationshintergrund","weiblich","58","0.381494518665869","0.30349877839389","0.459490258937849"
"Nie","1990","kein Migrationshintergrund","maennlich","3009","0.525468601138803","0.511895032464837","0.539042169812769"
"Nie","1990","kein Migrationshintergrund","weiblich","2866","0.449678783621099","0.436717811662953","0.462639755579245"
"Nie","1990","direkter Migrationshintergrund","maennlich","622","0.482612854554782","0.456324668621409","0.508901040488156"
"Nie","1990","direkter Migrationshintergrund","weiblich","544","0.434333338578416","0.407007944813141","0.461658732343691"
"Nie","1990","indirekter Migrationshintergrund","maennlich","69","0.409845317911976","0.330342533126274","0.489348102697678"
"Nie","1990","indirekter Migrationshintergrund","weiblich","61","0.412912497190681","0.333856396735477","0.491968597645885"
"Taeglich","1991","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1991","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1991","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1991","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1991","kein Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1991","kein Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1991","direkter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1991","direkter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1991","kein Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1991","kein Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1991","direkter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1991","direkter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Seltener","1991","kein Migrationshintergrund","maennlich","","","",""
"Seltener","1991","kein Migrationshintergrund","weiblich","","","",""
"Seltener","1991","direkter Migrationshintergrund","maennlich","","","",""
"Seltener","1991","direkter Migrationshintergrund","weiblich","","","",""
"Seltener","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Seltener","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Nie","1991","kein Migrationshintergrund","maennlich","","","",""
"Nie","1991","kein Migrationshintergrund","weiblich","","","",""
"Nie","1991","direkter Migrationshintergrund","maennlich","","","",""
"Nie","1991","direkter Migrationshintergrund","weiblich","","","",""
"Nie","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Nie","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1992","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1992","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1992","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1992","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1992","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1992","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1992","kein Migrationshintergrund","maennlich","397","0.0947608039853894","0.0865693844888386","0.10295222348194"
"Min 1x pro Woche","1992","kein Migrationshintergrund","weiblich","560","0.126276405671693","0.117424480419623","0.135128330923763"
"Min 1x pro Woche","1992","direkter Migrationshintergrund","maennlich","205","0.137134023642753","0.118584149645391","0.155683897640115"
"Min 1x pro Woche","1992","direkter Migrationshintergrund","weiblich","207","0.159402059267979","0.138870053209779","0.17993406532618"
"Min 1x pro Woche","1992","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1992","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1992","kein Migrationshintergrund","maennlich","280","0.0619797390375727","0.0552361032741884","0.068723374800957"
"Min 1x pro Monat","1992","kein Migrationshintergrund","weiblich","456","0.097209132813864","0.0893144131475956","0.105103852480132"
"Min 1x pro Monat","1992","direkter Migrationshintergrund","maennlich","179","0.113520231043174","0.0964134723329095","0.130626989753439"
"Min 1x pro Monat","1992","direkter Migrationshintergrund","weiblich","177","0.139284871585101","0.119863855348936","0.158705887821266"
"Min 1x pro Monat","1992","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1992","indirekter Migrationshintergrund","weiblich","","","",""
"Seltener","1992","kein Migrationshintergrund","maennlich","1219","0.272025228316244","0.2595793405549","0.284471116077588"
"Seltener","1992","kein Migrationshintergrund","weiblich","1461","0.289240287514461","0.277157131191954","0.301323443836967"
"Seltener","1992","direkter Migrationshintergrund","maennlich","313","0.237863153395609","0.214902896252432","0.260823410538787"
"Seltener","1992","direkter Migrationshintergrund","weiblich","270","0.221984475216643","0.198674291741094","0.245294658692192"
"Seltener","1992","indirekter Migrationshintergrund","maennlich","62","0.310568246774882","0.247684184420438","0.373452309129325"
"Seltener","1992","indirekter Migrationshintergrund","weiblich","66","0.280532672054572","0.218578626769402","0.342486717339743"
