year,hhtyp,sampreg,hlf0613,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,West,Yes,0.56072,1652,2859,0.54253,0.57892
2016,Single-person household,West,No,0.43533,1207,2859,0.41716,0.45351
2016,Single-person household,East,Yes,0.51799,477,936,0.48597,0.55002
2016,Single-person household,East,No,0.47779,459,936,0.44577,0.50981
2016,Couple without children,West,Yes,0.62844,2038,3126,0.61150,0.64539
2016,Couple without children,West,No,0.36574,1088,3126,0.34885,0.38263
2016,Couple without children,East,Yes,0.50115,550,1022,0.47048,0.53182
2016,Couple without children,East,No,0.49610,472,1022,0.46543,0.52677
2016,Single parent,West,Yes,0.55534,720,1321,0.52853,0.58215
2016,Single parent,West,No,0.44104,601,1321,0.41426,0.46783
2016,Single parent,East,Yes,0.57104,198,382,0.52135,0.62074
2016,Single parent,East,No,0.42806,184,382,0.37837,0.47774
2016,Couple with children,West,Yes,0.65015,3048,5159,0.63714,0.66317
2016,Couple with children,West,No,0.34702,2111,5159,0.33403,0.36002
2016,Couple with children,East,Yes,0.64902,553,1028,0.61983,0.67822
2016,Couple with children,East,No,0.34624,475,1028,0.31714,0.37533
2016,Multi-generational household,West,Yes,0.54176,56,114,0.44989,0.63363
2016,Multi-generational household,West,No,0.45824,58,114,0.36637,0.55011
2016,Other Combinations,West,Yes,0.59417,161,328,0.54095,0.64740
2016,Other Combinations,West,No,0.37727,167,328,0.32473,0.42980
2017,Single-person household,West,Yes,0.59649,1948,3237,0.57958,0.61339
2017,Single-person household,West,No,0.40119,1289,3237,0.38430,0.41808
2017,Single-person household,East,Yes,0.52995,557,1047,0.49970,0.56020
2017,Single-person household,East,No,0.46488,490,1047,0.43465,0.49510
2017,Couple without children,West,Yes,0.66245,2414,3565,0.64693,0.67798
2017,Couple without children,West,No,0.33560,1151,3565,0.32009,0.35110
2017,Couple without children,East,Yes,0.51954,633,1136,0.49047,0.54860
2017,Couple without children,East,No,0.47305,503,1136,0.44400,0.50210
2017,Single parent,West,Yes,0.56695,758,1383,0.54082,0.59307
2017,Single parent,West,No,0.43087,625,1383,0.40476,0.45698
2017,Single parent,East,Yes,0.63120,212,376,0.58237,0.68003
2017,Single parent,East,No,0.36867,164,376,0.31984,0.41750
2017,Couple with children,West,Yes,0.70823,3509,5676,0.69640,0.72006
2017,Couple with children,West,No,0.29049,2167,5676,0.27868,0.30230
2017,Couple with children,East,Yes,0.68105,652,1137,0.65395,0.70815
2017,Couple with children,East,No,0.31710,485,1137,0.29004,0.34416
2017,Multi-generational household,West,Yes,0.58117,61,135,0.49763,0.66471
2017,Multi-generational household,West,No,0.41883,74,135,0.33529,0.50237
2017,Other Combinations,West,Yes,0.68487,236,452,0.64200,0.72775
2017,Other Combinations,West,No,0.31434,216,452,0.27149,0.35719
2017,Other Combinations,East,No,0.47115,40,40,0.31448,0.62781
2018,Single-person household,West,Yes,0.62170,2098,3359,0.60529,0.63810
2018,Single-person household,West,No,0.37481,1261,3359,0.35844,0.39118
2018,Single-person household,East,Yes,0.53743,590,1092,0.50785,0.56702
2018,Single-person household,East,No,0.46257,502,1092,0.43298,0.49215
2018,Couple without children,West,Yes,0.68193,2436,3490,0.66648,0.69739
2018,Couple without children,West,No,0.31360,1054,3490,0.29820,0.32900
2018,Couple without children,East,Yes,0.55080,672,1139,0.52190,0.57970
2018,Couple without children,East,No,0.44863,467,1139,0.41973,0.47752
2018,Single parent,West,Yes,0.59874,778,1365,0.57272,0.62475
2018,Single parent,West,No,0.40087,587,1365,0.37486,0.42688
2018,Single parent,East,Yes,0.61285,201,375,0.56348,0.66222
2018,Single parent,East,No,0.38715,174,375,0.33778,0.43652
2018,Couple with children,West,Yes,0.73995,3432,5351,0.72819,0.75170
2018,Couple with children,West,No,0.25721,1919,5351,0.24550,0.26893
2018,Couple with children,East,Yes,0.67069,646,1094,0.64283,0.69855
2018,Couple with children,East,No,0.32875,448,1094,0.30090,0.35660
2018,Multi-generational household,West,Yes,0.57736,64,133,0.49309,0.66163
2018,Multi-generational household,West,No,0.42188,69,133,0.33763,0.50614
2018,Other Combinations,West,Yes,0.69347,201,361,0.64584,0.74110
2018,Other Combinations,West,No,0.30635,160,361,0.25873,0.35397
2019,Single-person household,West,Yes,0.64350,2150,3091,0.62661,0.66039
2019,Single-person household,West,No,0.34581,941,3091,0.32904,0.36258
2019,Single-person household,East,Yes,0.55923,627,1007,0.52855,0.58991
2019,Single-person household,East,No,0.43495,380,1007,0.40432,0.46559
2019,Couple without children,West,Yes,0.69432,2807,3817,0.67970,0.70894
2019,Couple without children,West,No,0.30348,1010,3817,0.28889,0.31807
2019,Couple without children,East,Yes,0.60326,827,1260,0.57624,0.63028
2019,Couple without children,East,No,0.39603,433,1260,0.36901,0.42304
2019,Single parent,West,Yes,0.65057,725,1088,0.62222,0.67891
2019,Single parent,West,No,0.33517,363,1088,0.30710,0.36323
2019,Single parent,East,Yes,0.67183,207,323,0.62054,0.72312
2019,Single parent,East,No,0.31153,116,323,0.26095,0.36212
2019,Couple with children,West,Yes,0.73626,3272,4208,0.72294,0.74957
2019,Couple with children,West,No,0.24753,936,4208,0.23449,0.26058
2019,Couple with children,East,Yes,0.69719,680,941,0.66782,0.72657
2019,Couple with children,East,No,0.28618,261,941,0.25729,0.31508
2019,Multi-generational household,West,Yes,0.69328,59,59,0.57460,0.81196
2019,Other Combinations,West,Yes,0.72557,144,189,0.66178,0.78936
2019,Other Combinations,West,No,0.23306,45,189,0.17263,0.29350
2021,Single-person household,West,Yes,0.46862,1399,2763,0.45001,0.48723
2021,Single-person household,West,No,0.52845,1364,2763,0.50983,0.54706
2021,Single-person household,East,Yes,0.47512,374,764,0.43968,0.51055
2021,Single-person household,East,No,0.52178,390,764,0.48634,0.55723
2021,Couple without children,West,Yes,0.51812,1478,2654,0.49911,0.53714
2021,Couple without children,West,No,0.48061,1176,2654,0.46160,0.49963
2021,Couple without children,East,Yes,0.47383,424,822,0.43967,0.50798
2021,Couple without children,East,No,0.52145,398,822,0.48728,0.55562
2021,Single parent,West,Yes,0.51851,368,768,0.48315,0.55387
2021,Single parent,West,No,0.48149,400,768,0.44613,0.51685
2021,Single parent,East,Yes,0.43617,114,256,0.37530,0.49704
2021,Single parent,East,No,0.55370,142,256,0.49268,0.61471
2021,Couple with children,West,Yes,0.59147,1830,3344,0.57481,0.60814
2021,Couple with children,West,No,0.40511,1514,3344,0.38847,0.42176
2021,Couple with children,East,Yes,0.56504,356,655,0.52705,0.60304
2021,Couple with children,East,No,0.43495,299,655,0.39696,0.47295
2021,Multi-generational household,West,Yes,0.71210,41,72,0.60677,0.81742
2021,Multi-generational household,West,No,0.28790,31,72,0.18258,0.39323
2021,Other Combinations,West,Yes,0.50999,145,302,0.45351,0.56646
2021,Other Combinations,West,No,0.48242,157,302,0.42597,0.53887
