year,sampreg,hlf0613,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,West,Yes,0.60103,7675,12907,0.59258,0.60948
2016,West,No,0.39443,5232,12907,0.38600,0.40287
2016,East,Yes,0.54059,1815,3453,0.52396,0.55721
2016,East,No,0.45539,1638,3453,0.43878,0.47201
2017,West,Yes,0.64031,8926,14448,0.63248,0.64813
2017,West,No,0.35775,5522,14448,0.34993,0.36556
2017,East,Yes,0.55881,2089,3785,0.54299,0.57463
2017,East,No,0.43476,1696,3785,0.41896,0.45055
2018,West,Yes,0.66478,9009,14059,0.65697,0.67258
2018,West,No,0.33182,5050,14059,0.32404,0.33960
2018,East,Yes,0.56873,2145,3776,0.55293,0.58453
2018,East,No,0.43100,1631,3776,0.41520,0.44679
2019,West,Yes,0.68049,9157,12473,0.67231,0.68868
2019,West,No,0.30937,3316,12473,0.30125,0.31748
2019,East,Yes,0.60397,2379,3589,0.58797,0.61997
2019,East,No,0.38894,1210,3589,0.37299,0.40490
2021,West,Yes,0.51354,5289,9953,0.50372,0.52336
2021,West,No,0.48397,4664,9953,0.47415,0.49379
2021,East,Yes,0.48783,1308,2582,0.46854,0.50711
2021,East,No,0.50871,1274,2582,0.48942,0.52799
