year,regtyp,hlf0613,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Yes,0.61274,6459,10805,0.60355,0.62192
2016,Urban regions,No,0.38477,4346,10805,0.37559,0.39394
2016,Rural regions,Yes,0.54134,3031,5555,0.52823,0.55444
2016,Rural regions,No,0.45001,2524,5555,0.43693,0.46310
2017,Urban regions,Yes,0.64315,7439,12002,0.63458,0.65172
2017,Urban regions,No,0.35566,4563,12002,0.34709,0.36422
2017,Rural regions,Yes,0.58723,3576,6231,0.57500,0.59945
2017,Rural regions,No,0.40658,2655,6231,0.39438,0.41877
2018,Urban regions,Yes,0.66679,7615,11912,0.65832,0.67525
2018,Urban regions,No,0.33080,4297,11912,0.32235,0.33925
2018,Rural regions,Yes,0.60548,3539,5923,0.59303,0.61793
2018,Rural regions,No,0.39071,2384,5923,0.37828,0.40313
2019,Urban regions,Yes,0.67519,7552,10305,0.66615,0.68423
2019,Urban regions,No,0.31460,2753,10305,0.30564,0.32357
2019,Rural regions,Yes,0.64371,3668,5353,0.63087,0.65654
2019,Rural regions,No,0.34750,1685,5353,0.33474,0.36026
2021,Urban regions,Yes,0.51949,4633,8596,0.50893,0.53006
2021,Urban regions,No,0.47750,3963,8596,0.46694,0.48806
2021,Rural regions,Yes,0.48560,1963,3938,0.46999,0.50121
2021,Rural regions,No,0.51248,1975,3938,0.49687,0.52810
