year,hhtyp,quintil_oecd_hh,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,1st Quintile,No,0.95772,409,409,0.93820,0.97725
1996,Single-person household,2nd Quintile,No,0.99085,290,290,0.97987,1.00183
1996,Single-person household,3rd Quintile,No,0.97107,264,264,0.95082,0.99133
1996,Single-person household,4th Quintile,No,0.99736,245,245,0.99091,1.00380
1996,Single-person household,5th Quintile,No,0.98857,188,188,0.97333,1.00381
1996,Couple without children,1st Quintile,No,0.93327,209,209,0.89935,0.96718
1996,Couple without children,2nd Quintile,No,0.92930,298,298,0.90014,0.95845
1996,Couple without children,3rd Quintile,Yes,0.08045,33,385,0.05324,0.10765
1996,Couple without children,3rd Quintile,No,0.91955,352,385,0.89235,0.94676
1996,Couple without children,4th Quintile,No,0.94172,401,401,0.91876,0.96468
1996,Couple without children,5th Quintile,No,0.96506,465,465,0.94835,0.98176
1996,Single parent,1st Quintile,No,0.90393,149,149,0.85645,0.95141
1996,Single parent,2nd Quintile,No,0.87538,71,71,0.79801,0.95276
1996,Single parent,3rd Quintile,No,0.92011,51,51,0.84497,0.99526
1996,Single parent,4th Quintile,No,0.86191,45,45,0.75997,0.96385
1996,Single parent,5th Quintile,No,0.95451,35,35,0.88447,1.02455
1996,Couple with children,1st Quintile,Yes,0.13742,64,541,0.10838,0.16645
1996,Couple with children,1st Quintile,No,0.86258,477,541,0.83355,0.89162
1996,Couple with children,2nd Quintile,Yes,0.15802,92,659,0.13015,0.18589
1996,Couple with children,2nd Quintile,No,0.84198,567,659,0.81411,0.86985
1996,Couple with children,3rd Quintile,Yes,0.15200,91,613,0.12356,0.18045
1996,Couple with children,3rd Quintile,No,0.84800,522,613,0.81955,0.87644
1996,Couple with children,4th Quintile,Yes,0.13040,71,505,0.10100,0.15980
1996,Couple with children,4th Quintile,No,0.86960,434,505,0.84020,0.89900
1996,Couple with children,5th Quintile,Yes,0.12542,45,368,0.09153,0.15930
1996,Couple with children,5th Quintile,No,0.87458,323,368,0.84070,0.90847
1996,Other Combinations,3rd Quintile,No,0.89091,34,34,0.78454,0.99728
1996,Other Combinations,4th Quintile,No,0.89891,34,34,0.79605,1.00176
2001,Single-person household,1st Quintile,Yes,0.04280,35,828,0.02901,0.05660
2001,Single-person household,1st Quintile,No,0.95720,793,828,0.94340,0.97099
2001,Single-person household,2nd Quintile,No,0.97650,588,588,0.96424,0.98875
2001,Single-person household,3rd Quintile,No,0.97080,527,527,0.95641,0.98519
2001,Single-person household,4th Quintile,No,0.97297,482,482,0.95847,0.98746
2001,Single-person household,5th Quintile,No,0.98492,447,447,0.97361,0.99623
2001,Couple without children,1st Quintile,No,0.93482,380,380,0.90997,0.95967
2001,Couple without children,2nd Quintile,Yes,0.10567,75,624,0.08153,0.12980
2001,Couple without children,2nd Quintile,No,0.89433,549,624,0.87020,0.91847
2001,Couple without children,3rd Quintile,Yes,0.05357,49,732,0.03725,0.06990
2001,Couple without children,3rd Quintile,No,0.94643,683,732,0.93010,0.96275
2001,Couple without children,4th Quintile,Yes,0.04896,48,843,0.03439,0.06354
2001,Couple without children,4th Quintile,No,0.95104,795,843,0.93646,0.96561
2001,Couple without children,5th Quintile,Yes,0.04378,47,980,0.03096,0.05660
2001,Couple without children,5th Quintile,No,0.95622,933,980,0.94340,0.96904
2001,Single parent,1st Quintile,Yes,0.14590,45,298,0.10575,0.18604
2001,Single parent,1st Quintile,No,0.85410,253,298,0.81396,0.89425
2001,Single parent,2nd Quintile,No,0.84059,146,146,0.78101,0.90017
2001,Single parent,3rd Quintile,No,0.89832,100,100,0.83879,0.95786
2001,Single parent,4th Quintile,No,0.93032,70,70,0.87025,0.99040
2001,Single parent,5th Quintile,No,0.97334,48,48,0.92728,1.01939
2001,Couple with children,1st Quintile,Yes,0.12480,87,642,0.09922,0.15039
2001,Couple with children,1st Quintile,No,0.87520,555,642,0.84961,0.90078
2001,Couple with children,2nd Quintile,Yes,0.18774,172,995,0.16346,0.21202
2001,Couple with children,2nd Quintile,No,0.81226,823,995,0.78798,0.83654
2001,Couple with children,3rd Quintile,Yes,0.15311,151,996,0.13074,0.17549
2001,Couple with children,3rd Quintile,No,0.84689,845,996,0.82451,0.86926
2001,Couple with children,4th Quintile,Yes,0.15515,128,896,0.13143,0.17887
2001,Couple with children,4th Quintile,No,0.84485,768,896,0.82113,0.86857
2001,Couple with children,5th Quintile,Yes,0.11086,75,646,0.08663,0.13509
2001,Couple with children,5th Quintile,No,0.88914,571,646,0.86491,0.91337
2001,Multi-generational household,2nd Quintile,No,0.75738,36,36,0.61536,0.89940
2006,Single-person household,1st Quintile,Yes,0.03445,36,847,0.02216,0.04673
2006,Single-person household,1st Quintile,No,0.96555,811,847,0.95327,0.97784
2006,Single-person household,2nd Quintile,No,0.97848,630,630,0.96713,0.98982
2006,Single-person household,3rd Quintile,No,0.98448,586,586,0.97447,0.99450
2006,Single-person household,4th Quintile,No,0.98164,579,579,0.97069,0.99258
2006,Single-person household,5th Quintile,No,0.99280,592,592,0.98599,0.99962
2006,Couple without children,1st Quintile,No,0.94703,398,398,0.92499,0.96906
2006,Couple without children,2nd Quintile,Yes,0.06043,51,664,0.04229,0.07857
2006,Couple without children,2nd Quintile,No,0.93957,613,664,0.92143,0.95771
2006,Couple without children,3rd Quintile,Yes,0.08289,60,770,0.06340,0.10237
2006,Couple without children,3rd Quintile,No,0.91711,710,770,0.89763,0.93660
2006,Couple without children,4th Quintile,Yes,0.04033,46,834,0.02697,0.05369
2006,Couple without children,4th Quintile,No,0.95967,788,834,0.94631,0.97303
2006,Couple without children,5th Quintile,Yes,0.05388,69,1463,0.04231,0.06546
2006,Couple without children,5th Quintile,No,0.94612,1394,1463,0.93454,0.95769
2006,Single parent,1st Quintile,Yes,0.17609,55,336,0.13530,0.21688
2006,Single parent,1st Quintile,No,0.82391,281,336,0.78312,0.86470
2006,Single parent,2nd Quintile,No,0.81628,133,133,0.75022,0.88235
2006,Single parent,3rd Quintile,No,0.91397,106,106,0.86033,0.96760
2006,Single parent,4th Quintile,No,0.91036,86,86,0.84964,0.97109
2006,Single parent,5th Quintile,No,0.87270,54,54,0.78297,0.96244
2006,Couple with children,1st Quintile,Yes,0.17337,91,459,0.13869,0.20804
2006,Couple with children,1st Quintile,No,0.82663,368,459,0.79196,0.86131
2006,Couple with children,2nd Quintile,Yes,0.18123,142,709,0.15286,0.20961
2006,Couple with children,2nd Quintile,No,0.81877,567,709,0.79039,0.84714
2006,Couple with children,3rd Quintile,Yes,0.21629,158,857,0.18871,0.24387
2006,Couple with children,3rd Quintile,No,0.78371,699,857,0.75613,0.81129
2006,Couple with children,4th Quintile,Yes,0.20330,186,920,0.17728,0.22932
2006,Couple with children,4th Quintile,No,0.79670,734,920,0.77068,0.82272
2006,Couple with children,5th Quintile,Yes,0.12884,118,892,0.10684,0.15084
2006,Couple with children,5th Quintile,No,0.87116,774,892,0.84916,0.89316
2006,Other Combinations,5th Quintile,No,0.85433,32,32,0.73015,0.97852
2011,Single-person household,1st Quintile,Yes,0.03919,42,1017,0.02726,0.05113
2011,Single-person household,1st Quintile,No,0.96081,975,1017,0.94887,0.97274
2011,Single-person household,2nd Quintile,No,0.97429,709,709,0.96263,0.98595
2011,Single-person household,3rd Quintile,No,0.95936,631,631,0.94394,0.97478
2011,Single-person household,4th Quintile,No,0.97920,530,530,0.96703,0.99136
2011,Single-person household,5th Quintile,No,0.99226,555,555,0.98497,0.99956
2011,Couple without children,1st Quintile,No,0.94874,450,450,0.92834,0.96914
2011,Couple without children,2nd Quintile,Yes,0.07373,51,721,0.05464,0.09282
2011,Couple without children,2nd Quintile,No,0.92627,670,721,0.90718,0.94536
2011,Couple without children,3rd Quintile,Yes,0.04441,38,804,0.03016,0.05866
2011,Couple without children,3rd Quintile,No,0.95559,766,804,0.94134,0.96984
2011,Couple without children,4th Quintile,Yes,0.04079,46,955,0.02824,0.05334
2011,Couple without children,4th Quintile,No,0.95921,909,955,0.94666,0.97176
2011,Couple without children,5th Quintile,Yes,0.04840,67,1416,0.03722,0.05958
