year,regtyp,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Yes,0.06956,351,4407,0.06205,0.07707
1996,Urban regions,No,0.93044,4056,4407,0.92293,0.93795
1996,Rural regions,Yes,0.08203,234,2223,0.07062,0.09344
1996,Rural regions,No,0.91797,1989,2223,0.90656,0.92938
2001,Urban regions,Yes,0.06641,602,7783,0.06088,0.07195
2001,Urban regions,No,0.93359,7181,7783,0.92805,0.93912
2001,Rural regions,Yes,0.10293,462,3897,0.09339,0.11247
2001,Rural regions,No,0.89707,3435,3897,0.88753,0.90661
2006,Urban regions,Yes,0.06935,670,8168,0.06384,0.07486
2006,Urban regions,No,0.93065,7498,8168,0.92514,0.93616
2006,Rural regions,Yes,0.10509,497,4097,0.09570,0.11449
2006,Rural regions,No,0.89491,3600,4097,0.88551,0.90430
2011,Urban regions,Yes,0.05538,589,7873,0.05032,0.06043
2011,Urban regions,No,0.94462,7284,7873,0.93957,0.94968
2011,Rural regions,Yes,0.08786,447,4211,0.07930,0.09641
2011,Rural regions,No,0.91214,3764,4211,0.90359,0.92070
2016,Urban regions,Yes,0.01844,237,9376,0.01572,0.02116
2016,Urban regions,No,0.98156,9139,9376,0.97884,0.98428
2016,Rural regions,Yes,0.03520,204,4925,0.03005,0.04035
2016,Rural regions,No,0.96480,4721,4925,0.95965,0.96995
2021,Urban regions,Yes,0.02274,213,7409,0.01934,0.02613
2021,Urban regions,No,0.97726,7196,7409,0.97387,0.98066
2021,Rural regions,Yes,0.04039,185,3646,0.03400,0.04678
2021,Rural regions,No,0.95961,3461,3646,0.95322,0.96600
