year,regtyp,rentown,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Owner,Yes,0.09413,144,1397,0.07881,0.10945
1996,Urban regions,Owner,No,0.90587,1253,1397,0.89055,0.92119
1996,Urban regions,Tenant,Yes,0.05523,207,3010,0.04707,0.06339
1996,Urban regions,Tenant,No,0.94477,2803,3010,0.93661,0.95293
1996,Rural regions,Owner,Yes,0.10548,138,998,0.08642,0.12455
1996,Rural regions,Owner,No,0.89452,860,998,0.87545,0.91358
1996,Rural regions,Tenant,Yes,0.06047,96,1225,0.04712,0.07382
1996,Rural regions,Tenant,No,0.93953,1129,1225,0.92618,0.95288
2001,Urban regions,Owner,Yes,0.07963,283,3142,0.07016,0.08910
2001,Urban regions,Owner,No,0.92037,2859,3142,0.91090,0.92984
2001,Urban regions,Tenant,Yes,0.05826,319,4641,0.05152,0.06500
2001,Urban regions,Tenant,No,0.94174,4322,4641,0.93500,0.94848
2001,Rural regions,Owner,Yes,0.13821,323,2125,0.12354,0.15289
2001,Rural regions,Owner,No,0.86179,1802,2125,0.84711,0.87646
2001,Rural regions,Tenant,Yes,0.06575,139,1772,0.05421,0.07730
2001,Rural regions,Tenant,No,0.93425,1633,1772,0.92270,0.94579
2006,Urban regions,Owner,Yes,0.08304,342,3709,0.07416,0.09193
2006,Urban regions,Owner,No,0.91696,3367,3709,0.90807,0.92584
2006,Urban regions,Tenant,Yes,0.06114,328,4458,0.05410,0.06817
2006,Urban regions,Tenant,No,0.93886,4130,4458,0.93183,0.94590
2006,Rural regions,Owner,Yes,0.13190,327,2294,0.11805,0.14575
2006,Rural regions,Owner,No,0.86810,1967,2294,0.85425,0.88195
2006,Rural regions,Tenant,Yes,0.07806,170,1802,0.06567,0.09045
2006,Rural regions,Tenant,No,0.92194,1632,1802,0.90955,0.93433
2011,Urban regions,Owner,Yes,0.06411,282,3595,0.05610,0.07212
2011,Urban regions,Owner,No,0.93589,3313,3595,0.92788,0.94390
2011,Urban regions,Tenant,Yes,0.04874,307,4278,0.04229,0.05520
2011,Urban regions,Tenant,No,0.95126,3971,4278,0.94480,0.95771
2011,Rural regions,Owner,Yes,0.11377,315,2349,0.10092,0.12661
2011,Rural regions,Owner,No,0.88623,2034,2349,0.87339,0.89908
2011,Rural regions,Tenant,Yes,0.05816,132,1862,0.04752,0.06879
2011,Rural regions,Tenant,No,0.94184,1730,1862,0.93121,0.95248
2016,Urban regions,Owner,Yes,0.02097,104,3770,0.01639,0.02554
2016,Urban regions,Owner,No,0.97903,3666,3770,0.97446,0.98361
2016,Urban regions,Tenant,Yes,0.01651,133,5605,0.01317,0.01985
2016,Urban regions,Tenant,No,0.98349,5472,5605,0.98015,0.98683
2016,Rural regions,Owner,Yes,0.04554,125,2531,0.03741,0.05366
2016,Rural regions,Owner,No,0.95446,2406,2531,0.94634,0.96259
2016,Rural regions,Tenant,Yes,0.02376,79,2394,0.01766,0.02987
2016,Rural regions,Tenant,No,0.97624,2315,2394,0.97013,0.98234
2021,Urban regions,Owner,Yes,0.03035,127,3126,0.02434,0.03637
2021,Urban regions,Owner,No,0.96965,2999,3126,0.96363,0.97566
2021,Urban regions,Tenant,Yes,0.01663,86,4279,0.01280,0.02047
2021,Urban regions,Tenant,No,0.98337,4193,4279,0.97953,0.98720
2021,Rural regions,Owner,Yes,0.05353,126,1954,0.04354,0.06351
2021,Rural regions,Owner,No,0.94647,1828,1954,0.93649,0.95646
2021,Rural regions,Tenant,Yes,0.02584,59,1691,0.01828,0.03341
2021,Rural regions,Tenant,No,0.97416,1632,1691,0.96659,0.98172
