year,pgisced97,regtyp,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,Urban regions,No,0.82345,52,52,0.71881,0.92810
2009,Pre-primary Level,Urban regions,No,0.89892,66,66,0.82564,0.97220
2009,Lower Secondary Level,Urban regions,No,0.93959,145,145,0.90068,0.97850
2009,Lower Secondary Level,Rural regions,No,0.87929,58,58,0.79471,0.96387
2009,Upper Secondary Level,Urban regions,Yes,0.06207,45,684,0.04398,0.08017
2009,Upper Secondary Level,Urban regions,No,0.93793,639,684,0.91983,0.95602
2009,Upper Secondary Level,Rural regions,No,0.93932,246,246,0.90942,0.96921
2009,Post-secondary Non-tertiary Level,Urban regions,No,0.93963,101,101,0.89295,0.98631
2009,First Stage of Tertiary Education,Urban regions,No,0.95889,75,75,0.91365,1.00413
2009,First Stage of Tertiary Education,Rural regions,No,0.74533,32,32,0.59197,0.89870
2009,Second Stage of Tertiary Education,Urban regions,Yes,0.09694,36,456,0.06976,0.12413
2009,Second Stage of Tertiary Education,Urban regions,No,0.90306,420,456,0.87587,0.93024
2009,Second Stage of Tertiary Education,Rural regions,No,0.93927,116,116,0.89562,0.98292
2014,No answer / don't know,Urban regions,No,0.88879,85,85,0.82155,0.95602
2014,No answer / don't know,Rural regions,No,0.98794,36,36,0.95179,1.02410
2014,Pre-primary Level,Urban regions,No,0.82854,90,90,0.75023,0.90685
2014,Pre-primary Level,Rural regions,No,0.86152,50,50,0.76481,0.95824
2014,Primary Level,Urban regions,No,0.90935,53,53,0.83132,0.98739
2014,Lower Secondary Level,Urban regions,No,0.93756,238,238,0.90675,0.96836
2014,Lower Secondary Level,Rural regions,No,0.88718,101,101,0.82517,0.94919
2014,Upper Secondary Level,Urban regions,Yes,0.04241,59,873,0.02903,0.05578
2014,Upper Secondary Level,Urban regions,No,0.95759,814,873,0.94422,0.97097
2014,Upper Secondary Level,Rural regions,No,0.92799,416,416,0.90311,0.95286
2014,Post-secondary Non-tertiary Level,Urban regions,No,0.93667,184,184,0.90139,0.97196
2014,Post-secondary Non-tertiary Level,Rural regions,No,0.97113,49,49,0.92377,1.01850
2014,First Stage of Tertiary Education,Urban regions,No,0.91382,77,77,0.85073,0.97691
2014,First Stage of Tertiary Education,Rural regions,No,0.97319,45,45,0.92545,1.02092
2014,Second Stage of Tertiary Education,Urban regions,Yes,0.09565,54,698,0.07381,0.11748
2014,Second Stage of Tertiary Education,Urban regions,No,0.90435,644,698,0.88252,0.92619
2014,Second Stage of Tertiary Education,Rural regions,No,0.94720,154,154,0.91176,0.98264
2019,No answer / don't know,Urban regions,No,0.88575,78,78,0.81470,0.95681
2019,Pre-primary Level,Urban regions,No,0.86917,84,84,0.79663,0.94172
2019,Primary Level,Urban regions,No,0.97704,51,51,0.93552,1.01856
2019,Lower Secondary Level,Urban regions,No,0.95542,187,187,0.92576,0.98508
2019,Lower Secondary Level,Rural regions,No,0.98915,121,121,0.97062,1.00769
2019,Upper Secondary Level,No answer / don't know,No,0.94341,63,63,0.88589,1.00092
2019,Upper Secondary Level,Urban regions,Yes,0.05089,53,873,0.03630,0.06548
2019,Upper Secondary Level,Urban regions,No,0.94911,820,873,0.93452,0.96370
2019,Upper Secondary Level,Rural regions,No,0.90930,333,333,0.87841,0.94019
2019,Post-secondary Non-tertiary Level,Urban regions,No,0.92482,227,227,0.89044,0.95920
2019,Post-secondary Non-tertiary Level,Rural regions,No,0.74355,64,64,0.63572,0.85138
2019,First Stage of Tertiary Education,Urban regions,No,0.96881,79,79,0.93024,1.00739
2019,First Stage of Tertiary Education,Rural regions,No,0.76800,45,45,0.64327,0.89272
2019,Second Stage of Tertiary Education,No answer / don't know,No,0.90224,43,43,0.81242,0.99206
2019,Second Stage of Tertiary Education,Urban regions,Yes,0.05851,47,793,0.04216,0.07486
2019,Second Stage of Tertiary Education,Urban regions,No,0.94149,746,793,0.92514,0.95784
2019,Second Stage of Tertiary Education,Rural regions,No,0.94609,191,191,0.91398,0.97820
