year,migback,sex,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,male,Yes,0.07809,61,912,0.06067,0.09551
2009,No migration background,male,No,0.92191,851,912,0.90449,0.93933
2009,No migration background,female,Yes,0.08257,67,792,0.06339,0.10175
2009,No migration background,female,No,0.91743,725,792,0.89825,0.93661
2009,Direct migration background,male,No,0.93619,163,163,0.89855,0.97383
2009,Direct migration background,female,No,0.88042,141,141,0.82667,0.93417
2009,Indirect migration background,male,No,0.91838,84,84,0.85948,0.97728
2009,Indirect migration background,female,No,0.91935,86,86,0.86147,0.97724
2014,No migration background,male,Yes,0.05642,67,1026,0.04229,0.07054
2014,No migration background,male,No,0.94358,959,1026,0.92946,0.95771
2014,No migration background,female,Yes,0.07805,85,1070,0.06197,0.09413
2014,No migration background,female,No,0.92195,985,1070,0.90587,0.93803
2014,Direct migration background,male,No,0.94171,379,379,0.91809,0.96533
2014,Direct migration background,female,Yes,0.09216,34,404,0.06392,0.12040
2014,Direct migration background,female,No,0.90784,370,404,0.87960,0.93608
2014,Indirect migration background,male,No,0.90301,176,176,0.85917,0.94686
2014,Indirect migration background,female,No,0.90895,183,183,0.86715,0.95074
2019,No migration background,male,Yes,0.06817,69,1259,0.05424,0.08209
2019,No migration background,male,No,0.93183,1190,1259,0.91791,0.94576
2019,No migration background,female,Yes,0.07257,79,1105,0.05726,0.08787
2019,No migration background,female,No,0.92743,1026,1105,0.91213,0.94274
2019,Direct migration background,male,No,0.97251,311,311,0.95431,0.99071
2019,Direct migration background,female,No,0.91133,346,346,0.88133,0.94133
2019,Indirect migration background,male,No,0.92784,171,171,0.88895,0.96674
2019,Indirect migration background,female,No,0.90614,170,170,0.86217,0.95011
