year,bula_h,pgisced97,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Lower Saxony,Upper Secondary Level,No,0.98846,81,81,0.96506,1.01186
2009,Lower Saxony,Second Stage of Tertiary Education,No,0.98596,41,41,0.94949,1.02242
2009,North Rhine-Westphalia,Lower Secondary Level,No,0.97141,57,57,0.92776,1.01506
2009,North Rhine-Westphalia,Upper Secondary Level,No,0.93167,158,158,0.89221,0.97114
2009,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.94894,99,99,0.90536,0.99252
2009,Hesse,Upper Secondary Level,No,0.93638,87,87,0.88479,0.98796
2009,Hesse,Second Stage of Tertiary Education,No,0.81720,46,46,0.70427,0.93013
2009,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.94349,47,47,0.87676,1.01022
2009,Baden-Wuerttemberg,Lower Secondary Level,No,0.97600,35,35,0.92455,1.02745
2009,Baden-Wuerttemberg,Upper Secondary Level,No,0.93794,129,129,0.89615,0.97974
2009,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.77971,65,65,0.67818,0.88125
2009,Bavaria,Lower Secondary Level,No,0.86572,32,32,0.74570,0.98575
2009,Bavaria,Upper Secondary Level,No,0.96023,161,161,0.92995,0.99051
2009,Bavaria,Second Stage of Tertiary Education,No,0.93416,98,98,0.88481,0.98351
2009,Berlin,Upper Secondary Level,No,0.92421,43,43,0.84417,1.00425
2009,Berlin,Second Stage of Tertiary Education,No,0.94832,45,45,0.88290,1.01373
2009,Saxony,Upper Secondary Level,No,0.98513,53,53,0.95224,1.01803
2009,Saxony,Second Stage of Tertiary Education,No,0.97119,34,34,0.91412,1.02826
2014,Schleswig-Holstein,Upper Secondary Level,No,0.93861,54,54,0.87399,1.00324
2014,Lower Saxony,Lower Secondary Level,No,0.97011,32,32,0.91016,1.03005
2014,Lower Saxony,Upper Secondary Level,No,0.97247,137,137,0.94498,0.99997
2014,Lower Saxony,Second Stage of Tertiary Education,No,0.96984,80,80,0.93212,1.00755
2014,North Rhine-Westphalia,No answer / don't know,No,0.89975,32,32,0.79403,1.00548
2014,North Rhine-Westphalia,Pre-primary Level,No,0.87054,33,33,0.75422,0.98686
2014,North Rhine-Westphalia,Lower Secondary Level,No,0.96636,97,97,0.93029,1.00243
2014,North Rhine-Westphalia,Upper Secondary Level,No,0.95033,211,211,0.92094,0.97971
2014,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.99200,63,63,0.96982,1.01418
2014,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.85176,150,150,0.79470,0.90881
2014,Hesse,Upper Secondary Level,No,0.95935,93,93,0.91900,0.99970
2014,Hesse,Second Stage of Tertiary Education,No,0.82965,84,84,0.74877,0.91053
2014,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.98431,78,78,0.95656,1.01207
2014,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,0.85314,32,32,0.72853,0.97775
2014,Baden-Wuerttemberg,Lower Secondary Level,No,0.93953,51,51,0.87346,1.00560
2014,Baden-Wuerttemberg,Upper Secondary Level,No,0.92755,180,180,0.88958,0.96553
2014,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.93002,105,105,0.88099,0.97905
2014,Bavaria,Lower Secondary Level,No,0.95132,52,52,0.89226,1.01038
2014,Bavaria,Upper Secondary Level,No,0.91370,251,251,0.87890,0.94851
2014,Bavaria,Second Stage of Tertiary Education,No,0.95364,132,132,0.91764,0.98965
2014,Berlin,Upper Secondary Level,No,0.95558,52,52,0.89904,1.01212
2014,Berlin,Second Stage of Tertiary Education,No,0.96783,67,67,0.92526,1.01040
2014,Saxony,Upper Secondary Level,No,0.99680,47,47,0.98049,1.01312
2014,Saxony,Second Stage of Tertiary Education,No,0.98681,34,34,0.94789,1.02573
2014,Saxony-Anhalt,Upper Secondary Level,No,0.94145,34,34,0.86134,1.02155
2014,Thuringa,Upper Secondary Level,No,0.98123,33,33,0.93420,1.02825
2019,Schleswig-Holstein,Upper Secondary Level,No,0.95511,40,40,0.89013,1.02010
